Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.5, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
5e90fc4b-2772-45a6-9cd5-9c1f62d33375
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6820      0.0800     0.0775     17.0553
00100     2.1983      0.2300     0.3092     71.0060
00200     1.8122      0.4100     0.4414     69.2461
00300     1.5179      0.5000     0.4816     69.4846
00400     1.5224      0.5400     0.5359     71.7353
00500     1.2252      0.5900     0.5469     70.5753
00600     1.2803      0.5400     0.5469     66.9692
00700     1.2739      0.5400     0.5615     68.7393
00800     1.4653      0.5000     0.6056     72.6460
00900     1.4121      0.5200     0.6056     69.8218
01000     1.2069      0.6600     0.6056     69.4245
01100     1.0208      0.7100     0.6062     69.8322
01200     0.9320      0.7100     0.6163     71.6362
01300     1.0778      0.6900     0.6346     72.9040
01400     0.9745      0.6900     0.6406     67.4378
01500     1.0322      0.6500     0.6406     70.5924
01600     1.1962      0.6500     0.6406     67.3979
01700     0.9223      0.7700     0.6449     72.7935
01800     0.9542      0.6900     0.6449     68.9795
01900     1.0163      0.7300     0.6449     68.4449
02000     0.8118      0.7600     0.6449     70.3266
02100     1.1040      0.6100     0.6449     67.4484
02200     1.0076      0.7400     0.6449     67.7355
02300     0.9930      0.6900     0.6449     69.8710
02400     0.9645      0.7200     0.6449     67.2120
02500     0.8101      0.7600     0.6449     71.3661
02600     0.8333      0.7500     0.6449     67.7986
02700     0.9718      0.6900     0.6449     67.6722
02800     0.8858      0.7300     0.6449     72.5388
02900     0.9602      0.6900     0.6485     67.2728
03000     0.8839      0.7400     0.6485     72.6149
03100     0.7519      0.7900     0.6485     67.6845
03200     0.9554      0.7000     0.6485     68.6769
03300     0.9212      0.6900     0.6485     67.3972
03400     0.7646      0.7900     0.6599     66.8670
03500     0.9125      0.7100     0.6599     70.4724
03600     0.9001      0.7200     0.6599     66.7331
03700     1.1660      0.6700     0.6599     69.3468
03800     0.8334      0.7600     0.6599     66.7615
03900     0.8562      0.7600     0.6599     67.5019
04000     0.9406      0.7100     0.6599     72.4261
04100     0.7613      0.7800     0.6599     70.7257
04200     0.7331      0.7900     0.6599     67.2365
04300     1.0857      0.7100     0.6599     68.4116
04400     0.7284      0.7900     0.6599     68.6310
04500     0.7151      0.7700     0.6599     70.4604
04600     0.9738      0.6800     0.6599     69.0137
04700     0.9888      0.7100     0.6599     72.0524
04800     0.9922      0.7300     0.6599     71.2831
04900     1.0361      0.6400     0.6599     68.3952
05000     1.0733      0.6900     0.6599     73.8685
05100     0.9356      0.7300     0.6599     74.6273
05200     0.7335      0.7600     0.6599     71.7132
05300     0.9839      0.7100     0.6599     72.8424
05400     0.8837      0.7200     0.6599     68.3947
05500     0.8808      0.7100     0.6599     70.5019
05600     0.8794      0.7500     0.6599     69.4885
05700     0.7424      0.7800     0.6599     73.1708
05800     0.8818      0.6900     0.6599     68.5006
05900     0.8912      0.7200     0.6599     68.5583
06000     1.0014      0.7200     0.6599     69.9504
06100     0.8458      0.7500     0.6599     71.2314
06200     0.8270      0.7400     0.6599     70.3405
06300     0.7935      0.7500     0.6599     67.3047
06400     0.8338      0.6700     0.6599     71.6496
06500     0.7724      0.7800     0.6599     68.3859
06600     0.9423      0.7000     0.6599     69.8451
06700     0.9384      0.6500     0.6599     72.6951
06800     0.9179      0.6700     0.6599     72.9752
06900     0.9211      0.7000     0.6599     69.5098
07000     0.6816      0.7500     0.6599     68.6026
07100     0.9966      0.6500     0.6599     68.5587
07200     1.1163      0.5900     0.6599     70.6518
07300     0.8842      0.6900     0.6599     67.7978
07400     0.7480      0.8000     0.6599     67.7704
07500     0.8689      0.7400     0.6599     72.5603
07600     0.7480      0.7500     0.6599     68.1887
07700     0.9136      0.7300     0.6599     68.1136
07800     0.9298      0.7300     0.6599     72.0585
07900     0.6658      0.8200     0.6599     73.0030
08000     0.7706      0.7800     0.6599     68.1658
08100     0.8935      0.7400     0.6599     69.2269
08200     0.8090      0.7100     0.6599     69.2375
08300     0.8659      0.6900     0.6599     68.7878
08400     0.8167      0.7900     0.6599     69.4390
08500     0.9825      0.6800     0.6599     66.0539
08600     0.8034      0.7700     0.6599     70.9127
08700     0.7607      0.7600     0.6599     72.0392
08800     0.8678      0.7100     0.6599     66.5224
08900     0.9148      0.7300     0.6599     70.5225
09000     0.6902      0.7900     0.6599     72.0711
09100     0.8522      0.6800     0.6599     72.5999
09200     0.8215      0.7300     0.6599     70.9296
09300     0.7855      0.7800     0.6599     69.1756
09400     0.8673      0.7400     0.6599     68.6260
09500     0.8073      0.7200     0.6599     68.2222
09600     0.7696      0.7300     0.6599     72.1636
09700     0.8801      0.6800     0.6599     69.1681
09800     0.5861      0.7800     0.6599     73.2925
09900     0.7072      0.7900     0.6599     66.7558
10000     0.7685      0.8000     0.6599     73.0602
10100     0.6841      0.8400     0.6599     69.9619
10200     0.8468      0.7600     0.6599     71.7798
10300     0.7657      0.7600     0.6599     70.5656
10400     0.8786      0.7100     0.6599     69.7159
10500     0.6239      0.8200     0.6599     66.9324
10600     0.6852      0.7700     0.6599     73.1520
10700     0.8313      0.7700     0.6599     68.5782
10800     0.6288      0.8400     0.6599     71.3946
10900     0.5462      0.8100     0.6599     71.0732
11000     0.7853      0.7600     0.6599     69.9799
11100     0.7767      0.7900     0.6599     68.4601
11200     0.5960      0.8200     0.6599     74.0342
11300     0.7103      0.8000     0.6599     72.4956
11400     0.7056      0.7900     0.6599     74.2024
11500     0.6640      0.8200     0.6599     72.1303
11600     0.6776      0.7800     0.6599     74.3492
11700     0.6562      0.7700     0.6599     67.6817
11800     0.6455      0.8100     0.6599     68.9687
11900     0.6381      0.8600     0.6599     70.2237
12000     0.6118      0.8500     0.6599     73.0882
12100     0.7841      0.7200     0.6599     69.0200
12200     0.8442      0.7100     0.6599     71.1352
12300     0.8088      0.7300     0.6599     72.8056
12400     0.7680      0.7500     0.6599     67.0491
12500     0.8051      0.7400     0.6599     70.7823
12600     0.6087      0.8200     0.6599     68.6639
12700     0.6598      0.8000     0.6599     70.9878
12800     0.8068      0.8000     0.6599     69.1489
12900     0.7706      0.7300     0.6599     72.4190
13000     0.6448      0.7900     0.6599     72.3845
13100     0.7613      0.7800     0.6599     72.2417
13200     1.0787      0.6700     0.6599     74.5593
13300     0.8320      0.7300     0.6599     70.5984
13400     0.7113      0.7500     0.6599     73.7087
13500     0.7863      0.7600     0.6599     71.2732
13600     0.7314      0.7800     0.6599     69.2535
13700     0.7543      0.7400     0.6599     69.0524
13800     0.5579      0.8700     0.6599     70.4054
13900     0.6773      0.8300     0.6599     69.2194
14000     0.6880      0.7600     0.6599     69.4751
14100     0.5606      0.8300     0.6599     67.6223
14200     0.7268      0.7600     0.6599     73.1377
14300     0.9109      0.7000     0.6599     68.4279
14400     0.6144      0.8000     0.6599     71.7270
14500     0.6269      0.8400     0.6599     71.9652
14600     0.6690      0.8100     0.6599     68.1198
14700     0.7212      0.7900     0.6599     70.1847
14800     0.6133      0.7900     0.6599     70.6107
14900     0.6580      0.7800     0.6599     68.1820
15000     0.6055      0.8300     0.6599     72.4893
15100     0.7364      0.7000     0.6599     73.3891
15200     0.6430      0.8300     0.6599     70.3640
15300     0.8565      0.7400     0.6599     74.3294
15400     0.9154      0.6500     0.6599     69.9767
15500     0.7622      0.7300     0.6599     72.7492
15600     0.6457      0.7600     0.6599     68.7709
15700     0.6572      0.8000     0.6599     69.7101
15800     0.8606      0.7300     0.6599     67.5067
15900     0.5948      0.8300     0.6599     71.9909
16000     0.6265      0.8200     0.6599     69.1154
16100     0.6492      0.8100     0.6599     72.7325
16200     0.8280      0.7400     0.6599     73.2149
