Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.5, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f766b6a6-a12c-4a78-a531-2af3c8143279
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5944      0.1300     0.1015     17.4141
00100     2.0607      0.3100     0.3854     69.8700
00200     1.6900      0.4500     0.4712     68.5833
00300     1.5645      0.5200     0.5324     68.7208
00400     1.3893      0.5600     0.5555     65.5441
00500     1.3399      0.5300     0.5825     66.3785
00600     1.2295      0.6000     0.5825     64.9052
00700     1.2644      0.5800     0.5825     64.4828
00800     1.2907      0.5700     0.5825     64.9379
00900     1.0302      0.6900     0.5825     65.3956
01000     1.1342      0.6800     0.5825     65.9201
01100     1.1007      0.6900     0.5825     66.0047
01200     1.2080      0.6700     0.5825     65.4586
01300     1.0366      0.7000     0.5825     67.1002
01400     1.0993      0.7400     0.5825     68.5126
01500     1.1943      0.6100     0.5825     72.6009
01600     0.8905      0.7000     0.5825     66.1119
01700     1.1288      0.6500     0.5825     70.3649
01800     0.8712      0.7300     0.5825     70.6354
01900     1.0919      0.6400     0.5825     68.7597
02000     1.1304      0.6300     0.5825     70.4220
02100     0.9651      0.6700     0.5825     68.3417
02200     1.0462      0.6300     0.5825     66.3367
02300     0.8381      0.7200     0.5825     70.3927
02400     1.0369      0.6800     0.5825     66.3152
02500     0.9315      0.7100     0.5825     65.0831
02600     0.9818      0.6800     0.5825     69.4108
02700     0.9484      0.7100     0.5825     71.2919
02800     0.8730      0.7000     0.5825     68.7809
02900     0.9632      0.7300     0.5825     67.4705
03000     0.8479      0.7400     0.5825     69.1182
03100     0.9292      0.7200     0.5825     68.2736
03200     0.9661      0.7300     0.5825     70.2464
03300     0.8968      0.7100     0.5825     71.2004
03400     0.8635      0.7500     0.5825     72.6074
03500     1.0734      0.6500     0.5825     66.9161
03600     0.9514      0.6700     0.5825     69.9135
03700     0.8118      0.7500     0.5825     70.3603
03800     1.0655      0.6700     0.5825     67.1641
03900     0.7574      0.7700     0.5825     68.0762
04000     0.8158      0.7400     0.5825     68.2634
04100     1.0158      0.6100     0.5825     67.3820
04200     0.9110      0.7300     0.5825     65.0148
04300     0.8608      0.6600     0.5825     65.0824
04400     0.9954      0.7100     0.5825     65.5702
04500     0.8082      0.7300     0.5825     68.6321
04600     0.9447      0.6900     0.5825     66.5617
04700     0.9505      0.7000     0.5825     67.1787
04800     0.9109      0.6700     0.5825     69.8265
04900     0.9264      0.7000     0.5825     71.6541
05000     0.8696      0.7200     0.5825     66.7758
05100     0.8544      0.7100     0.5825     70.0182
05200     0.7154      0.8000     0.5825     71.3871
05300     0.8591      0.7800     0.5825     75.6918
05400     1.0550      0.6300     0.5825     69.2022
05500     1.0314      0.6800     0.5825     66.3893
05600     0.8454      0.7500     0.5825     66.8768
05700     0.7981      0.7600     0.5825     67.3522
05800     1.0566      0.6400     0.5825     68.5291
05900     0.8021      0.7200     0.5825     66.9199
06000     1.0413      0.6400     0.5825     66.6271
06100     0.8454      0.6800     0.5825     69.5156
06200     0.8651      0.7300     0.5825     71.7501
06300     0.9062      0.6800     0.5825     66.4681
06400     0.8107      0.7900     0.5825     68.0873
06500     0.9093      0.6800     0.5825     66.6272
06600     0.9194      0.7200     0.5825     63.2725
06700     0.9689      0.6900     0.5825     66.9520
06800     0.9461      0.6900     0.5825     66.4201
06900     1.0692      0.6800     0.5825     66.9213
07000     0.7908      0.7600     0.5825     67.2163
07100     0.7881      0.7700     0.5825     68.8822
07200     0.8473      0.7900     0.5825     65.9924
