Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.6, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
47669148-0c05-48c7-95f5-660c5b341a99
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6793      0.1300     0.0817     14.4929
00100     2.1579      0.3200     0.3094     53.9003
00200     1.9919      0.3500     0.4543     54.6387
00300     1.6492      0.4700     0.5032     54.6104
00400     1.6404      0.4300     0.5461     55.0937
00500     1.4561      0.6200     0.5681     53.9154
00600     1.3204      0.5500     0.5681     54.5122
00700     1.5304      0.4200     0.5681     55.1856
00800     1.2480      0.6100     0.5681     54.6106
00900     1.3259      0.5700     0.5681     54.4507
01000     1.3474      0.5100     0.5681     54.5049
01100     1.2944      0.5500     0.5681     54.7783
01200     1.3989      0.5800     0.5681     54.8678
01300     1.1920      0.6700     0.5912     55.2813
01400     1.0498      0.6700     0.5912     54.6525
01500     1.2844      0.6300     0.5912     54.7133
01600     1.1263      0.6100     0.5912     54.4957
01700     1.1006      0.6200     0.5912     54.1770
01800     1.0590      0.6700     0.6148     54.6250
01900     1.2271      0.6000     0.6148     55.1463
02000     0.9903      0.7000     0.6148     54.8448
02100     1.0735      0.6600     0.6148     55.3636
02200     1.2067      0.6400     0.6148     54.8230
02300     1.1140      0.5800     0.6148     55.0174
02400     1.1979      0.6300     0.6148     54.6863
02500     1.0463      0.6700     0.6148     55.2433
02600     0.9520      0.7400     0.6148     55.2296
02700     0.9351      0.7200     0.6148     55.0714
02800     1.0638      0.6100     0.6148     54.5274
02900     0.9438      0.6900     0.6148     55.5104
03000     1.0292      0.7000     0.6148     54.8541
03100     0.9328      0.7100     0.6148     54.3692
03200     1.0248      0.7000     0.6148     55.0663
03300     0.9762      0.6900     0.6148     54.5986
03400     0.8176      0.7700     0.6148     55.0326
03500     0.8456      0.7700     0.6148     54.8379
03600     1.1296      0.6300     0.6148     54.7414
03700     1.0390      0.6800     0.6148     54.4192
03800     0.8554      0.7500     0.6148     55.0855
03900     0.9385      0.7000     0.6148     55.8433
04000     0.7511      0.8000     0.6148     55.5741
04100     0.9327      0.7100     0.6148     55.4033
04200     0.8347      0.7600     0.6148     55.9447
04300     0.9777      0.7100     0.6148     55.8254
04400     0.8826      0.7600     0.6148     56.6549
04500     1.1247      0.6400     0.6148     55.7453
04600     0.8909      0.7300     0.6148     56.1024
04700     0.9551      0.6600     0.6148     55.8295
04800     0.9711      0.7000     0.6148     56.2270
04900     0.9263      0.7300     0.6148     55.7841
05000     1.0202      0.6700     0.6148     55.1168
05100     0.7836      0.7500     0.6148     54.4320
05200     1.1087      0.6300     0.6148     54.8407
05300     0.9526      0.7300     0.6148     55.0820
05400     0.8677      0.7500     0.6148     55.0117
05500     0.8344      0.7200     0.6148     55.7740
05600     0.8638      0.7200     0.6148     54.9854
05700     1.0230      0.6200     0.6148     56.1702
05800     0.9062      0.7000     0.6148     55.2730
05900     1.0200      0.7300     0.6148     55.5457
06000     0.8098      0.7200     0.6148     55.4545
06100     1.0951      0.6000     0.6148     55.3732
06200     0.7965      0.7800     0.6148     55.5083
06300     0.8875      0.7200     0.6148     56.3502
06400     0.7791      0.7500     0.6148     54.8908
06500     0.8562      0.7000     0.6148     55.1643
06600     0.9202      0.7500     0.6148     54.4962
06700     0.6897      0.8100     0.6148     55.7106
06800     1.0528      0.6500     0.6148     55.2499
06900     0.8031      0.7400     0.6148     55.1692
07000     0.9940      0.7400     0.6148     55.7668
07100     0.9645      0.7100     0.6148     56.7130
07200     0.9388      0.6400     0.6148     55.6170
07300     0.9081      0.7300     0.6148     54.9366
07400     0.9172      0.7100     0.6148     55.1679
07500     0.8722      0.7500     0.6148     54.8190
07600     0.9421      0.7300     0.6148     55.0620
07700     0.9281      0.7000     0.6148     54.9529
07800     1.0000      0.6800     0.6148     55.3164
07900     0.7313      0.7700     0.6148     54.8339
08000     0.8680      0.7600     0.6148     55.0999
08100     0.9092      0.6800     0.6148     54.5495
08200     0.9437      0.6800     0.6148     55.0376
08300     0.9471      0.6800     0.6148     54.7059
08400     0.8620      0.7200     0.6148     55.1949
08500     0.8038      0.7900     0.6148     55.0661
08600     0.7003      0.8000     0.6148     55.7635
08700     0.9766      0.7300     0.6148     56.4965
08800     0.8331      0.7500     0.6148     55.0221
08900     0.9086      0.7200     0.6148     55.2393
09000     0.7920      0.7500     0.6148     54.7931
09100     1.0957      0.6300     0.6148     55.0094
09200     0.9343      0.6900     0.6148     55.8530
09300     0.7220      0.8100     0.6148     55.3102
09400     0.8642      0.7000     0.6148     55.4029
09500     0.7174      0.7700     0.6148     55.7780
09600     0.9048      0.6600     0.6148     54.6674
09700     1.0395      0.6500     0.6148     54.3676
09800     0.7421      0.7700     0.6148     55.2161
09900     0.8125      0.7600     0.6148     55.0828
10000     0.8331      0.7400     0.6148     54.8254
10100     0.7467      0.8000     0.6148     54.8659
10200     0.8145      0.7600     0.6148     54.5156
10300     0.5918      0.8100     0.6148     54.3484
10400     0.8885      0.7000     0.6148     54.3575
10500     0.8943      0.7200     0.6148     55.3613
10600     0.6049      0.7800     0.6148     54.9402
10700     0.7822      0.8000     0.6148     54.5767
10800     0.7911      0.7100     0.6148     56.1697
10900     0.7340      0.7900     0.6148     53.8203
11000     0.7584      0.7500     0.6148     54.7056
11100     0.9632      0.7000     0.6148     54.8287
11200     0.7057      0.7900     0.6148     54.4701
11300     0.9969      0.6900     0.6148     54.5381
11400     0.7429      0.7400     0.6148     55.8828
11500     0.7301      0.7500     0.6148     58.0244
11600     0.6863      0.7800     0.6148     57.3312
11700     0.5701      0.8300     0.6148     58.0028
11800     0.6495      0.7700     0.6148     56.7906
11900     0.7231      0.7100     0.6148     57.0736
12000     0.7450      0.7900     0.6148     55.5522
12100     0.7367      0.7700     0.6148     56.1757
