Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1e2ad3a6-d77d-487f-b77a-3524f4db68f5
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8987      0.0900     0.1138     18.2311
00100     2.1997      0.2100     0.3202     73.9602
00200     1.6158      0.4700     0.4704     73.3926
00300     1.3780      0.5500     0.5590     73.8273
00400     1.2461      0.5300     0.5933     73.5048
00500     1.2366      0.6100     0.6572     74.2198
00600     1.0631      0.6400     0.6572     73.8395
00700     1.0368      0.6500     0.6937     74.0086
00800     1.0617      0.6700     0.6980     73.4863
00900     1.0580      0.6500     0.7075     73.6316
01000     0.8995      0.7400     0.7104     73.7882
01100     1.0714      0.6600     0.7104     74.3796
01200     0.8943      0.7100     0.7476     73.6562
01300     0.9161      0.6700     0.7476     74.5351
01400     0.7778      0.7300     0.7476     73.8472
01500     0.9632      0.6900     0.7476     74.0476
01600     1.0043      0.6800     0.7635     74.3004
01700     0.9765      0.6900     0.7635     74.8074
01800     1.0533      0.6200     0.7691     73.8979
01900     1.0591      0.6900     0.7691     73.7828
02000     0.8563      0.7400     0.7691     74.0506
02100     0.9170      0.7400     0.7691     74.4784
02200     0.8200      0.7700     0.7691     74.0540
02300     1.0234      0.6800     0.7734     74.2054
02400     0.8154      0.7200     0.7734     74.0717
02500     0.7616      0.7400     0.7734     74.1067
02600     0.7353      0.7500     0.7734     74.5937
02700     0.8789      0.7000     0.7734     74.5871
02800     0.7690      0.7900     0.7826     74.2019
02900     0.8725      0.7200     0.7860     74.1717
03000     0.8362      0.7600     0.7918     75.1349
