Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e44e13dc-b30a-46ed-af88-4160f74b1ab5
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0037      0.0600     0.0796     17.0139
00100     2.2591      0.2400     0.3142     55.8928
00200     1.6754      0.4600     0.4541     55.3961
00300     1.6282      0.4300     0.5301     59.0218
00400     1.2857      0.5200     0.5935     58.9567
00500     1.4079      0.5800     0.6505     56.0014
00600     1.0751      0.6400     0.6852     56.9596
00700     0.9591      0.7200     0.6950     56.2509
00800     0.9431      0.7000     0.6950     55.7206
00900     1.0336      0.6800     0.7062     56.6307
01000     1.1264      0.5900     0.7376     57.6645
01100     1.0458      0.7100     0.7420     57.5273
01200     0.9480      0.7300     0.7509     56.2655
01300     0.9050      0.7100     0.7509     57.8170
01400     0.6980      0.7800     0.7509     55.8335
01500     0.8253      0.7200     0.7509     58.6715
01600     0.7158      0.7500     0.7568     57.2652
01700     0.8839      0.6900     0.7646     56.1264
01800     0.9549      0.6600     0.7773     55.6999
01900     0.9699      0.6700     0.7773     58.5215
02000     0.9602      0.6800     0.7773     57.8100
02100     0.8027      0.7700     0.7773     55.9370
02200     0.9192      0.6700     0.7773     57.8393
02300     0.7871      0.7700     0.7819     55.7001
02400     0.8359      0.7400     0.7860     62.0079
02500     0.8903      0.7200     0.7860     58.5827
02600     1.0015      0.6600     0.7860     58.1212
02700     0.8618      0.7200     0.7860     59.5173
02800     0.7277      0.7300     0.7860     58.3900
02900     0.8691      0.7400     0.7860     58.1235
03000     0.6702      0.8200     0.7860     58.2179
03100     0.7454      0.7900     0.7949     58.9177
03200     0.9407      0.6800     0.7949     56.1320
03300     0.8751      0.7500     0.7949     55.7087
03400     0.9251      0.6900     0.7956     57.4410
03500     0.7581      0.7600     0.7956     59.3927
03600     0.8653      0.7000     0.7956     58.3667
03700     0.7205      0.7400     0.7956     56.5883
03800     0.6656      0.7900     0.7956     56.8517
03900     0.8141      0.7300     0.8104     58.0391
04000     0.8222      0.7100     0.8104     59.7322
04100     0.8697      0.7500     0.8104     57.2739
04200     0.7191      0.7700     0.8104     56.3807
04300     0.5975      0.8200     0.8104     57.5839
04400     0.5561      0.8500     0.8104     55.6478
04500     0.7359      0.7800     0.8104     58.8658
04600     0.9027      0.6900     0.8104     56.0983
04700     0.7871      0.6800     0.8104     57.8782
04800     0.6163      0.8100     0.8104     56.4147
04900     0.7431      0.7500     0.8104     55.5131
05000     0.7875      0.7700     0.8104     61.0867
05100     0.6151      0.7800     0.8125     58.8711
05200     0.6834      0.7500     0.8125     56.5627
05300     0.6509      0.7800     0.8125     57.4704
05400     0.6670      0.7700     0.8125     61.0350
05500     0.9667      0.7000     0.8133     59.8378
05600     0.8986      0.7300     0.8133     57.2418
05700     0.7213      0.7800     0.8133     60.1040
05800     0.8258      0.7500     0.8133     60.3995
05900     0.6294      0.8100     0.8133     62.4097
06000     0.6619      0.8000     0.8133     58.0706
06100     0.5261      0.8000     0.8133     57.6227
06200     0.7651      0.7800     0.8233     60.3228
06300     0.6173      0.8400     0.8233     56.1844
06400     0.7016      0.7300     0.8233     55.1991
06500     0.7873      0.7300     0.8233     56.9960
06600     0.5490      0.8400     0.8233     55.5922
06700     0.6927      0.7800     0.8233     59.7654
06800     0.7102      0.7800     0.8233     59.7943
06900     0.6603      0.8000     0.8233     57.7999
07000     0.8343      0.7300     0.8233     58.2020
07100     0.6009      0.8300     0.8233     57.6928
07200     0.7413      0.7700     0.8233     60.1008
07300     0.6130      0.8200     0.8233     58.2103
07400     0.8936      0.7300     0.8233     60.9289
07500     0.7360      0.7800     0.8233     56.8196
07600     0.6806      0.7400     0.8233     58.3266
07700     0.7067      0.7500     0.8233     57.2344
07800     0.6761      0.7800     0.8233     56.0369
07900     0.5728      0.8300     0.8233     59.1863
08000     0.6593      0.8200     0.8233     58.9967
08100     0.6786      0.7700     0.8233     56.0296
08200     0.8396      0.7300     0.8233     59.0474
08300     0.6061      0.8000     0.8233     58.3208
08400     0.6516      0.8000     0.8233     55.9484
08500     0.6663      0.8000     0.8233     55.5111
08600     0.4842      0.8500     0.8233     59.2753
08700     0.6129      0.7600     0.8242     57.1019
08800     0.7125      0.7900     0.8281     59.3123
08900     0.6596      0.8200     0.8281     55.7252
09000     0.8774      0.7300     0.8281     56.2868
09100     0.5276      0.8600     0.8281     55.7647
09200     0.5040      0.8600     0.8281     59.1862
