Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=256, hop_length=350, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=4000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
cdce3cd9-b377-4e1a-b08a-3b3720a10f14
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5168      0.0723     0.0830     0.2488
00100     2.4675      0.0957     0.1315     0.1380
00200     2.4297      0.1465     0.1665     0.1412
00300     2.4546      0.1211     0.1665     0.1596
00400     2.4578      0.1230     0.1665     0.1379
00500     2.4353      0.1348     0.1665     0.1349
00600     2.4507      0.1328     0.1665     0.1427
00700     2.4254      0.1699     0.1665     0.1428
00800     2.4291      0.1504     0.1665     0.1407
00900     2.4423      0.1289     0.1665     0.1299
01000     2.4603      0.0938     0.1665     0.1515
01100     2.4849      0.0938     0.1665     0.1393
01200     2.4849      0.0781     0.1665     0.1436
01300     2.4849      0.1133     0.1665     0.1322
01400     2.4849      0.0820     0.1665     0.1586
01500     2.4849      0.0645     0.1665     0.1374
01600     2.4849      0.0859     0.1665     0.1426
01700     2.4849      0.0762     0.1665     0.1395
01800     2.4849      0.0918     0.1665     0.1564
01900     2.4849      0.0938     0.1665     0.1486
02000     2.4849      0.0742     0.1665     0.1395
02100     2.4853      0.0781     0.1665     0.1398
02200     2.4849      0.0820     0.1665     0.1339
02300     2.4849      0.0938     0.1665     0.1386
02400     2.4849      0.1055     0.1665     0.1411
02500     2.4849      0.1074     0.1665     0.1372
02600     2.4849      0.0762     0.1665     0.1399
02700     2.4849      0.0938     0.1665     0.1505
02800     2.4849      0.0801     0.1665     0.1332
02900     2.4849      0.0859     0.1665     0.1414
03000     2.4849      0.1016     0.1665     0.1521
03100     2.4849      0.0859     0.1665     0.1405
03200     2.4849      0.0918     0.1665     0.1406
03300     2.4849      0.0762     0.1665     0.1395
03400     2.4849      0.0840     0.1665     0.1503
03500     2.4849      0.0840     0.1665     0.1556
03600     2.4849      0.1035     0.1665     0.1349
03700     2.4849      0.0957     0.1665     0.1319
03800     2.4849      0.0820     0.1665     0.1447
03900     2.4849      0.1016     0.1665     0.1367
04000     2.4849      0.0703     0.1665     0.1388
04100     2.4849      0.0859     0.1665     0.1341
04200     2.4849      0.0918     0.1665     0.1392
04300     2.4849      0.0957     0.1665     0.1531
04400     2.4849      0.0859     0.1665     0.1379
04500     2.4849      0.0684     0.1665     0.1407
04600     2.4849      0.0957     0.1665     0.1368
04700     2.4849      0.0859     0.1665     0.1420
04800     2.4849      0.1133     0.1665     0.1634
04900     2.4849      0.0898     0.1665     0.1437
05000     2.4849      0.0898     0.1665     0.1437
05100     2.4849      0.0938     0.1665     0.1448
05200     2.4849      0.0820     0.1665     0.1390
05300     2.4849      0.1074     0.1665     0.1401
05400     2.4849      0.0781     0.1665     0.1403
05500     2.4849      0.1133     0.1665     0.1384
05600     2.4849      0.0820     0.1665     0.1406
05700     2.4849      0.0898     0.1665     0.1540
05800     2.4849      0.0879     0.1665     0.1296
05900     2.4849      0.0723     0.1665     0.1397
06000     2.4849      0.1016     0.1665     0.1599
06100     2.4849      0.0820     0.1665     0.1608
06200     2.4849      0.0742     0.1665     0.1433
06300     2.4849      0.0977     0.1665     0.1666
06400     2.4849      0.0957     0.1665     0.1401
06500     2.4849      0.0898     0.1665     0.1420
06600     2.4849      0.0801     0.1665     0.1320
06700     2.4849      0.0742     0.1665     0.1412
06800     2.4849      0.0703     0.1665     0.1530
06900     2.4849      0.0684     0.1665     0.1424
07000     2.4849      0.0801     0.1665     0.1338
07100     2.4849      0.0801     0.1665     0.1349
