Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, fp_train=0, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_act=None, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7a5a9df7-2007-4a9e-ba04-8a8ebdbcfec5
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5038      0.0859     0.0800     0.3172
00100     2.4259      0.1152     0.1480     0.1825
00200     2.3283      0.1523     0.1930     0.1487
00300     2.2728      0.2129     0.2290     0.1792
00400     2.1875      0.2324     0.2550     0.1799
00500     2.1561      0.2539     0.2770     0.1796
00600     1.9746      0.2930     0.3360     0.1536
00700     1.8168      0.3359     0.3850     0.1914
00800     1.7886      0.3340     0.3870     0.1754
00900     2.0265      0.2637     0.3870     0.1672
01000     2.1689      0.2188     0.3870     0.1733
01100     1.9434      0.2812     0.3870     0.1872
01200     1.9356      0.2949     0.3870     0.2113
01300     1.8450      0.2930     0.3870     0.1723
01400     1.9754      0.3164     0.3870     0.1983
01500     1.7805      0.3691     0.3870     0.1684
01600     1.8029      0.3379     0.3980     0.1760
01700     2.3808      0.1875     0.3980     0.1712
01800     2.3340      0.1973     0.3980     0.1855
01900     2.2964      0.2129     0.3980     0.1749
02000     2.2250      0.2227     0.3980     0.1919
02100     2.1219      0.2520     0.3980     0.1873
02200     2.1584      0.2402     0.3980     0.1961
02300     2.1665      0.2012     0.3980     0.1494
02400     1.9211      0.2578     0.3980     0.1764
02500     1.9239      0.2852     0.3980     0.1855
02600     1.8586      0.3145     0.3980     0.1606
02700     1.8056      0.3535     0.3980     0.1677
02800     1.7806      0.3203     0.3980     0.1819
02900     1.7138      0.3242     0.4060     0.1699
03000     1.6110      0.3672     0.4080     0.1796
03100     1.6889      0.4043     0.4230     0.1504
03200     1.6369      0.3867     0.4230     0.1961
03300     1.5762      0.4414     0.4550     0.1556
03400     1.5845      0.3789     0.4660     0.2007
03500     1.6324      0.4180     0.4860     0.1687
03600     1.4971      0.4746     0.4870     0.1626
03700     1.4281      0.4629     0.5150     0.1676
03800     1.5056      0.4375     0.5380     0.1881
03900     1.4155      0.4668     0.5460     0.1535
04000     1.3524      0.5117     0.5630     0.1709
04100     1.3279      0.5488     0.5860     0.1835
04200     1.3214      0.5605     0.5910     0.1883
04300     1.3025      0.5469     0.6110     0.1705
04400     1.2901      0.5449     0.6280     0.1965
04500     1.2875      0.5742     0.6280     0.1825
04600     1.1414      0.6055     0.6520     0.1670
04700     1.2302      0.5742     0.6760     0.1749
04800     1.3759      0.5215     0.6760     0.1825
04900     1.2282      0.5996     0.6760     0.1653
05000     1.0289      0.6680     0.6760     0.1726
05100     1.0712      0.6289     0.6760     0.1940
05200     1.0073      0.6680     0.6880     0.1699
05300     1.0676      0.6523     0.7010     0.1813
05400     0.9498      0.6914     0.7150     0.1776
05500     0.9046      0.6855     0.7260     0.1750
05600     0.9613      0.6953     0.7310     0.1724
05700     1.0173      0.6582     0.7370     0.2139
05800     1.0410      0.6484     0.7370     0.1875
05900     0.9016      0.6914     0.7620     0.1812
06000     0.9244      0.7109     0.7620     0.2067
06100     0.8505      0.7109     0.7620     0.1845
06200     0.9378      0.6934     0.7690     0.1876
06300     0.9826      0.7070     0.7800     0.1768
06400     0.9066      0.6992     0.7800     0.1863
06500     0.8855      0.7363     0.7800     0.1764
06600     0.9305      0.7148     0.7950     0.1836
06700     0.7513      0.7461     0.7950     0.1733
06800     0.8381      0.7148     0.7980     0.1782
06900     0.7861      0.7578     0.7980     0.1937
07000     0.8083      0.7285     0.8010     0.1812
07100     0.8236      0.7266     0.8010     0.2020
07200     0.8473      0.7246     0.8100     0.2001
07300     0.7264      0.7754     0.8230     0.1702
07400     0.6886      0.7773     0.8230     0.1952
07500     0.7449      0.7715     0.8230     0.1832
07600     0.7019      0.7754     0.8230     0.1736
07700     0.5690      0.8145     0.8230     0.1754
07800     0.6818      0.7812     0.8230     0.1732
07900     0.6557      0.7949     0.8280     0.1786
08000     0.7410      0.7773     0.8280     0.1928
08100     0.5593      0.8320     0.8380     0.1888
08200     0.6729      0.7773     0.8380     0.1985
08300     0.6625      0.7988     0.8430     0.1615
08400     0.5973      0.8262     0.8510     0.1908
08500     0.5986      0.8047     0.8510     0.1764
08600     0.7177      0.7910     0.8510     0.1826
08700     0.5864      0.8164     0.8510     0.1701
08800     0.5345      0.8418     0.8540     0.2223
08900     0.6561      0.7988     0.8680     0.1748
09000     0.5327      0.8340     0.8680     0.2321
09100     0.6393      0.7910     0.8680     0.2119
09200     0.7683      0.7578     0.8680     0.1667
09300     0.5127      0.8496     0.8680     0.2019
09400     0.4361      0.8555     0.8680     0.1905
09500     0.5957      0.8066     0.8700     0.2206
09600     0.4215      0.8555     0.8700     0.1619
09700     0.5445      0.8145     0.8700     0.1838
09800     0.5343      0.8281     0.8700     0.2197
09900     0.4595      0.8516     0.8700     0.1949
10000     0.5751      0.8184     0.8790     0.1642
10100     0.5097      0.8301     0.8800     0.2023
10200     0.4699      0.8652     0.8800     0.2135
10300     0.4648      0.8574     0.8800     0.1838
10400     0.4904      0.8438     0.8800     0.1769
10500     0.4996      0.8457     0.8800     0.1763
10600     0.5484      0.8262     0.8800     0.2472
10700     0.5604      0.8281     0.8800     0.1957
10800     0.4213      0.8750     0.8800     0.1797
10900     0.4095      0.8613     0.8800     0.1829
11000     0.4900      0.8438     0.8800     0.2151
11100     0.4526      0.8535     0.8870     0.1881
