Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, fp_train=0, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=80, noise_injection=0.1, quant_act=None, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
98bcee05-ae4e-405c-8cf9-84e8200264a2
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5204      0.0742     0.0690     0.2909
00100     2.3796      0.2031     0.2100     0.1769
00200     2.2860      0.2344     0.2830     0.1704
00300     2.1519      0.3086     0.4210     0.1696
00400     1.9491      0.3613     0.4740     0.1726
00500     1.7335      0.4551     0.4790     0.1733
00600     1.7600      0.4473     0.5240     0.1786
00700     1.5225      0.5293     0.5510     0.1835
00800     1.4323      0.5527     0.5610     0.1690
00900     1.5492      0.5527     0.5830     0.1795
01000     1.5116      0.5176     0.5980     0.1827
01100     1.4206      0.5605     0.6090     0.1928
01200     1.3890      0.5820     0.6130     0.1796
01300     1.4244      0.5586     0.6130     0.1829
01400     1.4114      0.5742     0.6330     0.1677
01500     1.4101      0.5742     0.6350     0.1872
01600     1.3377      0.5918     0.6460     0.1752
01700     1.1746      0.6309     0.6550     0.1962
01800     1.2857      0.6016     0.6550     0.1789
01900     1.2318      0.6035     0.6740     0.1742
02000     1.1375      0.6504     0.6780     0.1609
02100     1.1802      0.6582     0.6830     0.1813
02200     1.1405      0.6777     0.7050     0.1803
02300     1.1820      0.6445     0.7290     0.1734
02400     1.0241      0.6895     0.7290     0.1758
02500     0.9485      0.7402     0.7290     0.1713
02600     1.1065      0.6855     0.7330     0.1811
02700     1.0532      0.6816     0.7510     0.1782
02800     1.0100      0.7148     0.7590     0.1849
02900     0.8753      0.7383     0.7710     0.1659
03000     0.9541      0.7344     0.7740     0.1817
03100     0.9704      0.7207     0.7980     0.1747
03200     0.7631      0.7734     0.7980     0.1749
03300     0.9077      0.7285     0.7980     0.1812
03400     0.9365      0.7324     0.7980     0.1734
03500     0.8526      0.7520     0.7980     0.1890
03600     0.8578      0.7598     0.7980     0.1835
03700     0.8886      0.7539     0.8040     0.1809
03800     0.8620      0.7441     0.8040     0.1759
03900     0.7216      0.7871     0.8040     0.2067
04000     0.7669      0.7773     0.8090     0.1644
04100     0.7437      0.7734     0.8090     0.1627
04200     0.7676      0.7793     0.8090     0.1739
04300     0.7777      0.7578     0.8090     0.1569
04400     0.7247      0.7773     0.8190     0.1863
04500     0.6617      0.7910     0.8280     0.1747
04600     0.8342      0.7422     0.8280     0.1953
04700     0.6859      0.7949     0.8280     0.1690
04800     0.6760      0.7949     0.8280     0.1628
04900     0.6734      0.7988     0.8280     0.1752
05000     0.6709      0.7930     0.8280     0.1808
05100     0.7832      0.7598     0.8330     0.1564
05200     0.7263      0.7969     0.8330     0.1782
05300     0.7193      0.7852     0.8330     0.1737
05400     0.6538      0.8105     0.8330     0.1730
05500     0.7547      0.7637     0.8330     0.1530
05600     0.7115      0.7891     0.8330     0.1817
05700     0.7024      0.7832     0.8330     0.1737
05800     0.6477      0.8086     0.8330     0.1724
05900     0.7046      0.7754     0.8340     0.1714
06000     0.6542      0.7969     0.8340     0.1794
06100     0.6613      0.7871     0.8340     0.1655
06200     0.5463      0.8242     0.8340     0.1912
06300     0.6584      0.8047     0.8500     0.1859
06400     0.5388      0.8262     0.8500     0.1919
06500     0.5420      0.8223     0.8500     0.1877
06600     0.5740      0.8340     0.8500     0.1905
06700     0.5550      0.8164     0.8500     0.1821
06800     0.5397      0.8379     0.8500     0.1796
06900     0.5119      0.8418     0.8500     0.1813
07000     0.5458      0.8242     0.8500     0.1961
07100     0.7079      0.7793     0.8500     0.1798
07200     0.5305      0.8320     0.8500     0.1733
07300     0.5775      0.8281     0.8520     0.1683
07400     0.4503      0.8574     0.8520     0.1824
07500     0.6089      0.8047     0.8520     0.1766
07600     0.5404      0.8359     0.8520     0.1707
07700     0.4981      0.8379     0.8520     0.1992
07800     0.6164      0.7988     0.8520     0.1742
07900     0.6052      0.7949     0.8520     0.1767
08000     0.5055      0.8320     0.8520     0.1776
08100     0.5207      0.8340     0.8520     0.1700
08200     0.5748      0.8184     0.8540     0.1572
08300     0.5084      0.8262     0.8540     0.1750
08400     0.5194      0.8281     0.8540     0.1780
08500     0.4570      0.8516     0.8540     0.1798
08600     0.4901      0.8320     0.8540     0.1766
08700     0.4892      0.8496     0.8540     0.1756
08800     0.4358      0.8555     0.8580     0.1728
08900     0.5126      0.8301     0.8590     0.1609
09000     0.4972      0.8398     0.8590     0.1785
09100     0.4716      0.8457     0.8590     0.1749
