Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.75, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7b658e23-888d-4698-91c0-96e6a4f3e5ec
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0258      0.0600     0.0808     14.8056
00100     2.3172      0.2500     0.2818     57.3304
00200     1.9723      0.3100     0.4137     52.5294
00300     1.5942      0.4800     0.5118     54.5891
00400     1.3283      0.5400     0.5861     59.3503
00500     1.3170      0.5900     0.6395     60.0526
00600     1.0744      0.6700     0.6665     58.9656
00700     1.1175      0.6600     0.7092     60.6795
00800     0.9094      0.7400     0.7093     52.6815
00900     0.8899      0.6800     0.7251     55.1675
01000     0.9708      0.6700     0.7420     60.9857
01100     0.9967      0.7000     0.7448     61.3272
01200     0.7676      0.7700     0.7529     60.9911
01300     0.6449      0.8000     0.7628     55.1507
01400     0.6805      0.8000     0.7640     53.3092
01500     0.9188      0.7300     0.7689     63.2396
01600     0.9943      0.7100     0.7689     61.1595
01700     0.7659      0.7700     0.7763     59.2736
01800     0.7359      0.7200     0.7763     59.1640
01900     0.9256      0.6900     0.7772     62.4279
02000     0.6783      0.8200     0.7791     57.4487
02100     0.8772      0.7000     0.8031     56.6576
02200     0.7523      0.7300     0.8031     57.0980
02300     0.8193      0.7400     0.8067     53.8996
02400     0.7032      0.7700     0.8143     57.8437
02500     0.7559      0.7600     0.8162     55.8389
02600     0.8506      0.7500     0.8163     59.7528
02700     0.7693      0.7800     0.8163     58.3102
02800     0.7852      0.7800     0.8163     59.9201
02900     0.7254      0.7800     0.8196     61.3310
03000     0.8875      0.7300     0.8196     53.4082
03100     0.8312      0.7900     0.8231     54.8531
03200     0.5887      0.8100     0.8231     56.0689
03300     0.6303      0.7600     0.8231     58.6710
03400     0.6953      0.7800     0.8231     54.6560
03500     0.6847      0.7800     0.8238     55.3495
03600     0.7105      0.7500     0.8238     60.5640
03700     0.7995      0.7000     0.8238     58.3722
03800     0.7626      0.7400     0.8238     59.3020
03900     0.6642      0.7300     0.8238     59.7881
04000     0.6352      0.7600     0.8345     56.5487
04100     0.6643      0.7700     0.8345     58.5777
04200     0.5696      0.8500     0.8345     54.9911
04300     0.7388      0.7700     0.8345     55.9090
04400     0.6329      0.8100     0.8345     59.8861
04500     0.7002      0.7700     0.8345     62.7869
04600     0.5973      0.8100     0.8345     57.1436
04700     0.5554      0.8300     0.8345     58.4370
04800     0.6801      0.8000     0.8345     54.1132
04900     0.8993      0.7500     0.8345     58.4373
05000     0.5089      0.9000     0.8345     56.0314
05100     0.7601      0.7900     0.8345     59.6453
05200     0.7068      0.7600     0.8345     56.2776
05300     0.4052      0.8800     0.8432     59.2535
05400     0.5428      0.8100     0.8432     52.1188
05500     0.5696      0.8300     0.8432     53.0130
05600     0.6403      0.7900     0.8432     56.3732
05700     0.7930      0.7500     0.8432     59.3639
05800     0.7616      0.7600     0.8432     53.5729
05900     0.5397      0.8600     0.8432     58.3005
06000     0.5108      0.8300     0.8457     53.7102
06100     0.6219      0.7900     0.8457     56.7442
06200     0.5820      0.8400     0.8468     60.2250
06300     0.4453      0.8400     0.8506     60.3808
06400     0.6418      0.8300     0.8506     57.1648
06500     0.6558      0.8200     0.8506     53.4408
06600     0.5336      0.8600     0.8506     55.2277
06700     0.3863      0.9000     0.8506     59.7048
06800     0.7390      0.7400     0.8506     58.9364
06900     0.5444      0.8200     0.8506     55.3645
07000     0.5714      0.8300     0.8506     57.1394
07100     0.6210      0.8300     0.8506     55.6667
07200     0.5426      0.8400     0.8506     53.5378
07300     0.4957      0.8500     0.8506     59.4595
07400     0.4207      0.8800     0.8506     53.4384
