Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.03, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b624da00-03bb-4cd2-a394-67d66e6af11a
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5338      0.1100     0.0712     14.9780
00100     2.4457      0.1900     0.1419     57.4613
00200     2.3692      0.1800     0.1878     58.2631
00300     2.1604      0.2100     0.2937     57.5766
00400     2.0885      0.3600     0.3634     55.5236
00500     1.9108      0.3700     0.4417     57.0022
00600     1.7200      0.4800     0.4714     56.8300
00700     1.5935      0.5600     0.5229     56.7400
00800     1.4256      0.5500     0.5493     55.8160
00900     1.4072      0.5400     0.5931     55.1103
01000     1.3783      0.5500     0.6064     54.6180
01100     1.4122      0.5700     0.6287     56.1772
01200     1.3244      0.5900     0.6291     56.8341
01300     1.2065      0.6500     0.6492     55.2749
01400     1.2812      0.5900     0.6598     55.3562
01500     1.4903      0.5400     0.6609     55.9200
01600     1.3293      0.6300     0.6609     55.6837
01700     1.3163      0.6200     0.6609     56.5299
01800     1.2355      0.6700     0.6862     55.0509
01900     1.4348      0.5200     0.6862     57.3458
02000     1.0217      0.6600     0.6862     56.7138
02100     1.2592      0.5700     0.7165     55.7862
02200     1.1379      0.6400     0.7232     57.2481
02300     1.1951      0.5600     0.7259     54.1160
02400     1.0302      0.7000     0.7339     56.6152
02500     1.0757      0.7100     0.7385     56.5082
02600     1.1610      0.6100     0.7385     55.7655
02700     1.0447      0.7100     0.7397     56.1616
02800     0.9874      0.6900     0.7397     54.0150
02900     0.9231      0.7200     0.7440     55.4575
03000     1.1530      0.6000     0.7440     55.3729
03100     1.1669      0.6500     0.7605     54.1319
03200     0.9940      0.7300     0.7605     54.5446
03300     0.8993      0.7400     0.7605     55.2340
03400     1.0594      0.6400     0.7650     55.0783
03500     1.1336      0.6500     0.7650     54.3627
03600     1.1208      0.7100     0.7651     54.8840
03700     1.1296      0.6600     0.7666     56.1008
03800     1.0954      0.6800     0.7666     54.5707
03900     1.0887      0.6400     0.7666     54.3538
04000     0.8907      0.7400     0.7876     55.9305
04100     0.9251      0.7600     0.7947     54.9269
04200     0.9119      0.7200     0.7947     54.7015
04300     0.9640      0.7100     0.7947     56.3273
04400     1.0280      0.7100     0.7947     57.2910
04500     1.0769      0.7100     0.7947     55.7273
04600     0.9793      0.7600     0.7947     54.9055
04700     0.9820      0.7200     0.7947     55.6953
04800     1.0416      0.6900     0.7947     54.6341
04900     1.2130      0.6400     0.7947     54.9084
05000     0.9377      0.7400     0.7947     54.4222
05100     1.0434      0.7200     0.7947     55.0513
05200     1.1591      0.6700     0.7947     54.2198
05300     0.7716      0.8000     0.8035     55.4275
05400     0.9412      0.7400     0.8035     54.7395
05500     0.8807      0.7700     0.8035     54.1703
05600     0.9383      0.7500     0.8035     54.1810
05700     1.0036      0.7300     0.8075     55.9568
05800     1.2471      0.6500     0.8075     56.2200
05900     0.9541      0.7300     0.8075     56.0700
06000     0.9521      0.7100     0.8075     56.5287
06100     0.9224      0.7600     0.8075     54.8205
06200     0.9072      0.7400     0.8075     55.3832
06300     0.8250      0.7700     0.8095     56.5971
06400     1.0570      0.6500     0.8095     55.1285
06500     1.0205      0.6800     0.8095     54.8625
06600     0.8337      0.7200     0.8095     54.9574
06700     0.6746      0.8500     0.8095     55.7757
06800     1.0799      0.6500     0.8095     55.6220
06900     0.9416      0.7200     0.8143     56.4978
07000     0.9858      0.7600     0.8143     55.6477
07100     1.0099      0.7900     0.8143     56.4160
07200     0.9502      0.7100     0.8143     54.5104
07300     0.9374      0.7300     0.8143     54.6377
07400     0.9188      0.7500     0.8143     54.0566
07500     1.0148      0.7200     0.8143     54.8850
07600     1.0307      0.7100     0.8143     56.0243
07700     0.9415      0.7500     0.8143     54.6791
07800     0.8957      0.7700     0.8143     55.8052
07900     0.8214      0.8300     0.8143     55.3921
08000     1.0715      0.7400     0.8143     56.0939
08100     0.9338      0.7400     0.8143     54.4724
08200     0.9904      0.7200     0.8143     55.3891
08300     1.0427      0.7300     0.8143     56.8854
08400     0.9957      0.7300     0.8143     54.2372
08500     1.0176      0.7100     0.8165     55.8678
08600     0.8565      0.7600     0.8165     56.4253
08700     0.9723      0.7600     0.8264     57.4315
08800     1.0163      0.6800     0.8264     55.6688
08900     0.9321      0.7300     0.8264     55.7489
09000     0.9405      0.7000     0.8264     54.7331
09100     1.1937      0.6400     0.8264     55.2147
09200     0.7890      0.7700     0.8264     54.6399
09300     0.8924      0.7500     0.8264     55.8016
09400     0.9602      0.7900     0.8264     55.6224
09500     1.0348      0.6700     0.8264     55.2598
09600     1.0392      0.7200     0.8264     55.1595
09700     0.9948      0.7700     0.8264     55.2718
09800     0.7630      0.8300     0.8264     55.1617
09900     0.9093      0.7200     0.8264     55.4235
09999     0.9242      0.7500     0.8264     55.1321
Start testing:
Test Accuracy: 0.7950
