Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.06, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
51a99cef-c018-44a5-b5d8-00b2ea41edc5
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6229      0.0500     0.0928     12.4255
00100     2.4606      0.1500     0.1955     46.1666
00200     2.1325      0.2400     0.3400     44.1779
00300     1.9110      0.3200     0.4388     44.7975
00400     1.6854      0.4200     0.4936     44.9932
00500     1.6312      0.4200     0.5712     45.2222
00600     1.4179      0.5600     0.6050     44.7732
00700     1.2614      0.6100     0.6643     44.9851
00800     1.1435      0.6700     0.6768     45.1565
00900     1.1741      0.6400     0.6939     44.8483
01000     1.0880      0.7000     0.6998     44.6015
01100     1.1383      0.6800     0.7204     45.0757
01200     0.9663      0.7300     0.7204     44.8991
01300     0.8840      0.7600     0.7377     44.9790
01400     0.9396      0.7500     0.7487     45.3347
01500     1.1407      0.6500     0.7699     44.9180
01600     1.1331      0.7000     0.7699     44.6308
01700     1.0450      0.6400     0.7699     45.4798
01800     0.9388      0.7300     0.7699     44.6005
01900     1.2146      0.6200     0.7699     45.1422
02000     0.7693      0.7500     0.7864     45.0154
02100     0.9439      0.7100     0.7928     45.6824
02200     0.8814      0.7000     0.7968     44.4759
02300     0.9553      0.7000     0.8015     44.8326
02400     0.7910      0.7300     0.8015     44.4207
02500     0.8302      0.7800     0.8097     44.9725
02600     0.9124      0.7100     0.8097     45.4278
02700     0.8601      0.7200     0.8142     44.6642
02800     0.7789      0.7600     0.8142     44.8350
02900     0.7770      0.7500     0.8146     44.5713
03000     0.8419      0.7600     0.8146     45.1307
03100     0.8892      0.7200     0.8146     45.4464
03200     0.6794      0.8200     0.8146     45.0147
03300     0.6180      0.8100     0.8146     44.4351
03400     0.7978      0.7200     0.8146     44.5496
03500     0.8527      0.7600     0.8146     44.7342
03600     0.9069      0.7100     0.8146     44.3404
03700     0.8894      0.7500     0.8146     44.4730
03800     0.9015      0.7600     0.8146     45.3378
03900     0.8934      0.6700     0.8146     44.3123
04000     0.6869      0.7500     0.8265     44.5793
04100     0.7330      0.7900     0.8282     45.1804
04200     0.7307      0.7700     0.8282     45.0910
04300     0.8055      0.7500     0.8320     45.3823
04400     0.8759      0.6900     0.8320     45.0518
04500     0.8774      0.7500     0.8320     44.8936
04600     0.7785      0.7800     0.8320     44.9623
04700     0.7778      0.8000     0.8320     45.6469
04800     0.7879      0.8000     0.8320     44.7019
04900     0.9555      0.7100     0.8320     45.3076
05000     0.6192      0.7900     0.8320     44.9643
05100     0.7905      0.7700     0.8320     45.0340
05200     0.8596      0.7400     0.8320     46.1795
05300     0.5500      0.8300     0.8370     45.3192
05400     0.7676      0.7700     0.8370     44.7588
05500     0.7724      0.7600     0.8370     45.0623
05600     0.7599      0.7400     0.8370     45.3045
05700     0.9080      0.6800     0.8370     46.8850
05800     0.9038      0.7000     0.8370     45.7840
05900     0.6016      0.8200     0.8370     44.6469
06000     0.7328      0.7700     0.8370     44.3914
06100     0.6980      0.7900     0.8370     44.8299
06200     0.6945      0.7800     0.8370     44.8023
06300     0.5926      0.8400     0.8370     44.5641
06400     0.8634      0.7300     0.8370     45.0350
06500     0.8467      0.7100     0.8370     45.4204
06600     0.6280      0.7900     0.8370     44.5778
06700     0.4452      0.8700     0.8370     44.7238
06800     0.7977      0.7100     0.8370     44.9087
06900     0.7647      0.7700     0.8370     44.3087
07000     0.6014      0.8700     0.8388     44.9050
07100     0.7534      0.8000     0.8388     45.5292
07200     0.6638      0.8000     0.8388     44.4880
07300     0.6351      0.7700     0.8388     44.5611
07400     0.6782      0.8000     0.8388     44.4547
07500     0.7085      0.7900     0.8388     44.7364
07600     0.7732      0.7700     0.8388     45.8323
07700     0.7034      0.7900     0.8388     45.1212
07800     0.6535      0.8100     0.8388     45.1194
07900     0.6729      0.8300     0.8388     45.2624
08000     0.8178      0.7600     0.8388     45.1258
08100     0.7759      0.7800     0.8388     45.2520
08200     0.6692      0.8100     0.8412     45.2807
08300     0.7537      0.7800     0.8412     44.7970
08400     0.7837      0.7700     0.8412     44.6547
08500     0.7229      0.8100     0.8455     44.7669
08600     0.5837      0.8300     0.8455     44.8881
08700     0.7396      0.7800     0.8455     44.5387
08800     0.7773      0.7400     0.8455     45.3926
08900     0.6846      0.7900     0.8500     46.3245
