Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.07, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
83ec5b18-b713-4a06-b4ff-1df82f25edf8
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6454      0.1000     0.0853     14.1550
00100     2.3932      0.1800     0.2248     45.4679
00200     2.0883      0.3100     0.3597     45.5908
00300     1.8582      0.3700     0.4620     45.7507
00400     1.6421      0.4400     0.5062     45.7064
00500     1.5614      0.4600     0.5710     45.6948
00600     1.3758      0.5800     0.6117     45.3077
00700     1.2078      0.6200     0.6680     45.2460
00800     1.1239      0.7000     0.6756     45.1049
00900     1.1409      0.6500     0.6980     45.5267
01000     1.0452      0.6700     0.7146     45.2624
01100     1.1015      0.6800     0.7319     45.3131
01200     0.9898      0.6700     0.7463     45.6779
01300     0.7919      0.8400     0.7579     45.5912
01400     0.8977      0.7300     0.7584     45.5252
01500     1.0262      0.6800     0.7677     45.4686
01600     1.0593      0.7000     0.7677     45.7378
01700     1.0179      0.6900     0.7677     45.4807
01800     0.9061      0.7200     0.7677     45.6302
01900     1.0796      0.6900     0.7739     45.3072
02000     0.6948      0.7800     0.7777     45.1764
02100     0.9972      0.6800     0.7961     46.1993
02200     0.9148      0.6900     0.7961     45.4734
02300     0.9401      0.7300     0.7961     45.4012
02400     0.8013      0.7800     0.7961     45.0130
02500     0.8723      0.7200     0.8057     45.4797
02600     0.8030      0.7400     0.8057     45.3091
02700     0.8037      0.7600     0.8057     45.7967
02800     0.7339      0.8000     0.8090     45.9385
02900     0.7228      0.7400     0.8148     46.2237
03000     0.8787      0.7300     0.8175     46.0740
03100     0.9377      0.7200     0.8175     45.6483
03200     0.6464      0.8100     0.8175     45.0769
03300     0.6178      0.8300     0.8175     45.2925
03400     0.7740      0.7700     0.8175     45.4493
03500     0.8151      0.7800     0.8175     45.5632
03600     0.8608      0.7400     0.8175     45.0484
03700     0.8354      0.7300     0.8175     45.0624
03800     0.9062      0.6900     0.8175     45.1615
03900     0.8429      0.6800     0.8175     45.0011
04000     0.6549      0.7800     0.8243     45.5231
04100     0.8032      0.7500     0.8243     45.5602
04200     0.6725      0.8100     0.8243     45.4420
04300     0.7744      0.7400     0.8336     45.1403
04400     0.7687      0.7000     0.8336     45.2820
04500     0.8379      0.7300     0.8336     45.0495
04600     0.7213      0.8000     0.8336     45.1961
04700     0.6820      0.7600     0.8336     45.5850
04800     0.7950      0.7300     0.8336     45.9664
04900     0.9627      0.7000     0.8336     46.4214
05000     0.5988      0.8400     0.8336     45.8233
05100     0.7854      0.7800     0.8340     45.9823
05200     0.8332      0.7700     0.8340     45.1075
05300     0.4733      0.8800     0.8356     45.6721
05400     0.7260      0.7400     0.8415     45.5014
05500     0.6444      0.8500     0.8415     44.8319
05600     0.6689      0.7800     0.8415     45.8775
05700     0.8214      0.7400     0.8415     45.5728
05800     0.8521      0.7400     0.8415     46.7370
05900     0.5814      0.8400     0.8415     46.2753
06000     0.6687      0.7500     0.8447     46.1924
06100     0.6507      0.7900     0.8447     45.5618
06200     0.6930      0.8000     0.8447     45.3928
06300     0.5830      0.8500     0.8462     46.0363
06400     0.8709      0.7100     0.8462     45.9678
06500     0.6832      0.8100     0.8462     45.2100
06600     0.6376      0.7900     0.8476     45.8096
06700     0.4709      0.8600     0.8476     45.8374
06800     0.8015      0.7200     0.8476     45.4076
06900     0.7001      0.8100     0.8476     45.0184
07000     0.5467      0.8400     0.8523     46.0566
07100     0.6536      0.8200     0.8523     45.1276
07200     0.5946      0.8000     0.8523     45.5323
07300     0.5854      0.8200     0.8523     45.9877
07400     0.6541      0.7800     0.8523     45.4496
07500     0.6644      0.7800     0.8523     45.3263
07600     0.7693      0.7400     0.8523     44.7064
07700     0.6904      0.7800     0.8523     45.2647
07800     0.6631      0.8000     0.8523     45.2139
07900     0.6176      0.8300     0.8523     45.2550
08000     0.8595      0.7600     0.8523     45.6610
08100     0.6177      0.8400     0.8523     45.0373
08200     0.6932      0.7900     0.8523     45.9243
08300     0.7114      0.7700     0.8528     45.3163
08400     0.7566      0.7700     0.8528     45.6173
08500     0.6706      0.8200     0.8578     46.0012
08600     0.6244      0.8300     0.8578     46.4805
08700     0.6906      0.7400     0.8578     45.3462
08800     0.7213      0.7800     0.8578     45.1451
08900     0.6584      0.8000     0.8578     46.1275
09000     0.5704      0.8100     0.8578     45.4235
09100     0.8502      0.7600     0.8578     45.4275
09200     0.5438      0.8200     0.8578     44.8224
09300     0.7318      0.8100     0.8578     45.2405
09400     0.7328      0.7800     0.8578     45.3262
09500     0.7787      0.7700     0.8578     45.4828
09600     0.8118      0.7400     0.8578     45.6373
09700     0.7606      0.7800     0.8578     46.1295
09800     0.4227      0.8800     0.8578     46.0727
09900     0.6210      0.8100     0.8578     45.1971
