Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.18, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
98d46435-5b6d-436f-abc9-98fdb1e2f33a
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9581      0.0500     0.0790     15.4776
00100     2.2971      0.2200     0.2831     57.7990
00200     1.8800      0.4000     0.4178     58.2079
00300     1.6426      0.4400     0.5120     57.6503
00400     1.3796      0.5800     0.5741     57.8932
00500     1.3920      0.5000     0.6406     58.2926
00600     1.1776      0.6500     0.6732     59.2796
00700     1.0221      0.7000     0.7007     58.8000
00800     0.9378      0.7200     0.7099     57.1942
00900     0.9557      0.7300     0.7201     57.7931
01000     0.8871      0.7400     0.7312     58.0792
01100     0.9130      0.6800     0.7398     58.7437
01200     0.7765      0.7600     0.7486     59.1579
01300     0.6627      0.8200     0.7595     57.4999
01400     0.7184      0.8100     0.7649     57.9939
01500     0.9450      0.7000     0.7670     57.2147
01600     1.0120      0.7300     0.7685     57.5471
01700     0.8776      0.7000     0.7687     57.9723
01800     0.7476      0.7800     0.7687     57.5648
01900     1.0121      0.7200     0.7747     57.3972
02000     0.6734      0.7800     0.7851     57.5035
02100     0.8521      0.7600     0.8023     57.2485
02200     0.8107      0.7400     0.8048     58.0391
02300     0.8772      0.7100     0.8048     57.6127
02400     0.6990      0.7500     0.8048     57.9828
02500     0.7951      0.7700     0.8083     58.1050
02600     0.8514      0.7100     0.8083     57.0246
02700     0.8128      0.7700     0.8129     58.2038
02800     0.7490      0.7900     0.8129     58.7412
02900     0.6797      0.7700     0.8129     59.0281
03000     0.8045      0.7100     0.8148     57.4486
03100     0.8913      0.7400     0.8159     57.5612
03200     0.6294      0.8400     0.8159     57.1102
03300     0.5632      0.8300     0.8182     57.6642
03400     0.7305      0.7500     0.8187     58.0484
03500     0.7782      0.7500     0.8192     57.2944
03600     0.7397      0.7800     0.8192     57.4587
03700     0.8529      0.7100     0.8192     58.2604
03800     0.7567      0.7700     0.8192     58.0497
03900     0.7000      0.7400     0.8192     58.1543
04000     0.6754      0.7800     0.8292     58.6194
04100     0.6794      0.7900     0.8292     58.4227
04200     0.5919      0.7700     0.8292     58.1251
04300     0.6916      0.7600     0.8321     58.4361
04400     0.6845      0.7900     0.8321     58.0931
04500     0.7030      0.7700     0.8321     58.0990
04600     0.6007      0.8200     0.8321     57.6153
04700     0.6828      0.7700     0.8321     57.8367
04800     0.7021      0.7700     0.8321     58.3981
04900     0.8872      0.7300     0.8321     58.9512
05000     0.4670      0.8600     0.8321     58.3228
05100     0.7183      0.7700     0.8321     59.2707
05200     0.7434      0.7300     0.8321     57.8115
05300     0.4249      0.8800     0.8427     58.5404
05400     0.7088      0.7800     0.8427     58.4048
05500     0.6313      0.8400     0.8427     59.0767
05600     0.7663      0.7500     0.8427     58.1866
05700     0.7493      0.7800     0.8427     58.2084
05800     0.8166      0.7300     0.8427     57.9806
05900     0.5025      0.8700     0.8427     57.5998
06000     0.5731      0.8200     0.8427     57.5970
06100     0.6016      0.8100     0.8427     57.5872
06200     0.5618      0.8700     0.8427     58.1368
06300     0.5259      0.8500     0.8427     57.4206
06400     0.7048      0.7900     0.8427     57.4976
06500     0.7069      0.7900     0.8427     57.2360
06600     0.5744      0.8400     0.8427     57.7039
06700     0.4223      0.9000     0.8427     57.6239
06800     0.7788      0.7000     0.8427     58.0676
06900     0.5598      0.8500     0.8427     58.7092
07000     0.5176      0.8600     0.8427     58.3434
07100     0.5863      0.8200     0.8427     59.0333
07200     0.5759      0.8300     0.8427     59.0492
07300     0.4925      0.8200     0.8427     58.5789
07400     0.4714      0.9100     0.8427     58.1733
07500     0.5895      0.8200     0.8448     58.1653
07600     0.6588      0.7800     0.8448     58.7502
07700     0.6106      0.8400     0.8448     58.2701
07800     0.5402      0.8000     0.8448     58.0994
07900     0.5413      0.8600     0.8448     57.5457
08000     0.6824      0.7700     0.8448     57.9751
08100     0.5825      0.8200     0.8448     58.6949
08200     0.6325      0.8200     0.8521     58.5755
08300     0.5806      0.8300     0.8521     57.6519
08400     0.6266      0.8500     0.8521     58.6434
08500     0.7014      0.8000     0.8521     58.3105
08600     0.4270      0.8900     0.8521     57.8922
08700     0.7172      0.7500     0.8521     57.6838
08800     0.6785      0.8000     0.8521     57.9963
08900     0.5675      0.8100     0.8521     57.4609
09000     0.4777      0.8100     0.8521     58.4209
09100     0.6725      0.7800     0.8525     60.4042
09200     0.4556      0.8700     0.8525     58.2851
09300     0.7437      0.7500     0.8525     58.6562
09400     0.5932      0.8400     0.8525     57.6489
09500     0.5949      0.8000     0.8525     57.9321
09600     0.7238      0.8000     0.8525     58.6862
09700     0.6736      0.7600     0.8525     57.6724
09800     0.3684      0.9200     0.8525     57.5895
09900     0.4739      0.8600     0.8546     57.4246
09999     0.6591      0.8100     0.8546     54.9335
Start testing:
Test Accuracy: 0.8233
