Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
752e351d-b0e4-4ca1-977f-908170daead4
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6711      0.0738     0.0809     11.0261
00100     1.6851      0.4241     0.5240     54.0765
00200     1.2317      0.5823     0.6423     54.4214
00300     1.0958      0.6646     0.6996     55.2673
00400     1.0297      0.6456     0.7507     54.7122
00500     0.8994      0.6962     0.7769     54.7555
00600     0.8612      0.7257     0.7965     54.1124
00700     0.7768      0.7827     0.8004     54.4307
00800     0.7649      0.7574     0.8004     54.2358
00900     0.7734      0.7890     0.8004     54.3332
01000     0.7641      0.7616     0.8073     54.3862
01100     0.6589      0.8017     0.8073     54.1937
01200     0.7191      0.7764     0.8073     54.4904
01300     0.7465      0.7806     0.8073     54.9381
01400     0.7170      0.7827     0.8188     53.6844
01500     0.7482      0.7785     0.8209     55.8494
01600     0.7638      0.7722     0.8209     54.4219
01700     0.6940      0.7700     0.8209     53.9271
01800     0.6850      0.7911     0.8274     54.5151
01900     0.7224      0.7827     0.8274     53.9837
02000     0.7078      0.7869     0.8275     54.5510
02100     0.7756      0.7447     0.8275     55.0940
02200     0.6705      0.7890     0.8275     53.3579
02300     0.6929      0.7806     0.8320     53.8844
02400     0.6909      0.7785     0.8320     54.7502
02500     0.6541      0.8101     0.8367     54.5931
02600     0.7099      0.7827     0.8367     54.5796
02700     0.6998      0.7911     0.8442     53.6042
