Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
30d6f1e1-b909-44ac-84b1-edbf54dcafc0
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0304      0.0886     0.0795     9.4691
00100     1.7105      0.4578     0.4600     52.9349
00200     1.2437      0.6013     0.5952     53.1951
00300     1.0957      0.6245     0.6849     53.2382
00400     1.0702      0.6540     0.7129     52.9354
00500     0.8315      0.7384     0.7652     52.7270
00600     0.8498      0.7300     0.7652     53.0818
00700     0.7877      0.7300     0.7722     53.1053
00800     0.9030      0.7215     0.7916     53.2050
00900     0.7507      0.7511     0.7916     52.7141
01000     0.7523      0.7532     0.7916     52.8156
01100     0.7473      0.7532     0.7923     53.6587
01200     0.6873      0.7743     0.7931     52.9894
01300     0.7667      0.7532     0.7940     53.6919
01400     0.7290      0.7468     0.8068     53.0323
01500     0.7940      0.7511     0.8206     53.1016
01600     0.7278      0.7553     0.8206     53.2167
01700     0.6390      0.7869     0.8206     52.6792
01800     0.6912      0.7827     0.8206     52.4587
01900     0.6866      0.7637     0.8206     53.3718
02000     0.6295      0.8249     0.8274     52.8356
02100     0.6614      0.7764     0.8274     53.6962
02200     0.6815      0.7869     0.8274     52.8214
02300     0.6633      0.7827     0.8274     52.9429
02400     0.6786      0.7785     0.8274     53.3976
02500     0.6793      0.7700     0.8274     53.3802
02600     0.6964      0.7785     0.8342     53.4466
02700     0.6631      0.7890     0.8342     53.1669
02800     0.6237      0.7996     0.8342     52.7009
02900     0.6669      0.7806     0.8402     54.3078
03000     0.6215      0.8143     0.8402     52.2728
03100     0.6495      0.8017     0.8402     52.8347
03200     0.6107      0.8080     0.8402     53.4859
03300     0.5991      0.8059     0.8402     52.9649
03400     0.6041      0.8207     0.8402     54.9105
03500     0.5754      0.8291     0.8402     53.0322
03600     0.5956      0.8165     0.8402     53.4620
03700     0.5517      0.8481     0.8402     54.6446
03800     0.6081      0.8270     0.8402     54.6288
03900     0.5541      0.8312     0.8402     54.7160
04000     0.6298      0.7954     0.8402     53.2758
04100     0.6511      0.7932     0.8402     52.5296
04200     0.6498      0.7785     0.8402     54.0588
04300     0.5634      0.8186     0.8402     55.5594
04400     0.6047      0.8122     0.8402     52.3116
04500     0.5455      0.8270     0.8402     53.5971
04600     0.5833      0.8228     0.8402     52.2862
04700     0.6024      0.8186     0.8402     55.0232
04800     0.5634      0.8270     0.8402     52.1193
04900     0.5588      0.8291     0.8402     51.4769
05000     0.5638      0.8270     0.8402     53.6453
05100     0.5457      0.8186     0.8463     53.7621
05200     0.5964      0.8059     0.8463     53.6471
05300     0.5587      0.8228     0.8463     53.8653
05400     0.6811      0.7932     0.8463     54.1025
05500     0.5737      0.8165     0.8463     52.9607
05600     0.5912      0.8017     0.8463     52.7954
05700     0.5516      0.8186     0.8463     53.7823
05800     0.4728      0.8608     0.8463     52.8567
05900     0.5680      0.8397     0.8463     53.4989
06000     0.5437      0.8397     0.8463     53.2344
06100     0.5968      0.7996     0.8463     52.7677
06200     0.4850      0.8481     0.8463     54.9771
06300     0.4986      0.8418     0.8463     53.0895
06400     0.5332      0.8333     0.8463     55.0870
06500     0.5253      0.8312     0.8463     54.8218
06600     0.5867      0.7996     0.8463     53.8778
06700     0.5375      0.8270     0.8463     54.5232
06800     0.5287      0.8397     0.8463     54.4044
06900     0.5004      0.8418     0.8463     53.1613
07000     0.4877      0.8502     0.8463     52.2238
07100     0.5873      0.8270     0.8463     53.5995
07200     0.5604      0.8165     0.8463     52.4443
07300     0.5337      0.8312     0.8463     53.2074
07400     0.5004      0.8565     0.8463     53.5827
07500     0.5746      0.8017     0.8463     53.9484
07600     0.5009      0.8354     0.8463     53.4827
07700     0.5043      0.8418     0.8463     52.8061
07800     0.5097      0.8544     0.8463     53.6225
07900     0.6063      0.8038     0.8463     51.8326
08000     0.5661      0.8059     0.8463     52.7824
08100     0.4563      0.8671     0.8463     53.6883
08200     0.5724      0.8186     0.8463     51.7311
08300     0.5640      0.8207     0.8463     54.1655
08400     0.5206      0.8376     0.8463     53.7493
08500     0.4835      0.8418     0.8463     53.1333
08600     0.5381      0.8333     0.8463     53.3497
08700     0.5585      0.8207     0.8463     52.9670
08800     0.4472      0.8544     0.8463     54.0283
08900     0.5290      0.8418     0.8463     54.2985
09000     0.4305      0.8629     0.8463     53.4806
09100     0.5687      0.8186     0.8463     52.4844
09200     0.5798      0.7890     0.8463     53.0772
09300     0.5651      0.8228     0.8463     54.6508
09400     0.4794      0.8502     0.8463     54.7125
09500     0.4852      0.8312     0.8463     53.2500
09600     0.5196      0.8544     0.8463     53.9042
09700     0.5137      0.8312     0.8575     53.6289
09800     0.5356      0.8228     0.8575     52.7040
09900     0.4794      0.8460     0.8575     51.8121
10000     0.4120      0.8713     0.8575     54.2732
10100     0.4034      0.8797     0.8575     53.0352
