Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e87a126b-55f8-4aaf-8d05-d36fd97e17a8
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9853      0.0527     0.0722     11.1324
00100     1.7794      0.4241     0.4368     54.0716
00200     1.2289      0.6097     0.6112     54.1049
00300     1.1561      0.6245     0.6891     55.1764
00400     1.0050      0.6920     0.7167     53.0699
00500     0.9424      0.6962     0.7622     54.5965
00600     0.8994      0.7046     0.7837     53.8322
00700     0.8309      0.7236     0.7837     53.0282
00800     0.8243      0.7363     0.7837     53.7285
00900     0.8165      0.7300     0.7837     53.6248
01000     0.8343      0.7152     0.7837     54.0046
01100     0.8686      0.7152     0.8050     54.3026
01200     0.7011      0.7954     0.8050     53.2592
01300     0.7192      0.7911     0.8050     53.8884
01400     0.7387      0.7637     0.8050     53.5775
01500     0.7184      0.7848     0.8050     53.3950
01600     0.8135      0.7511     0.8050     55.2489
01700     0.6253      0.8122     0.8050     53.2113
01800     0.7397      0.7806     0.8050     53.7134
01900     0.5890      0.8017     0.8050     54.1517
02000     0.7271      0.7553     0.8050     53.4105
02100     0.7205      0.7637     0.8050     53.5429
02200     0.7615      0.7595     0.8050     52.9585
02300     0.6300      0.7932     0.8050     53.9061
02400     0.6921      0.7827     0.8050     53.6701
02500     0.6996      0.7595     0.8050     53.7915
02600     0.7296      0.7532     0.8050     53.6582
02700     0.6492      0.8038     0.8116     51.3476
02800     0.6411      0.7975     0.8116     52.5170
02900     0.5908      0.8186     0.8116     52.7955
03000     0.6231      0.8080     0.8116     51.4579
03100     0.6839      0.7869     0.8116     52.5427
03200     0.6580      0.7869     0.8116     51.9252
03300     0.6042      0.8122     0.8116     53.2340
03400     0.6222      0.7954     0.8116     53.3714
03500     0.5951      0.8143     0.8116     51.7676
03600     0.5835      0.8017     0.8116     51.0921
03700     0.5936      0.8165     0.8116     53.9370
03800     0.6493      0.7932     0.8116     52.5629
03900     0.6548      0.7954     0.8116     54.4624
04000     0.5918      0.8059     0.8116     52.2071
04100     0.5450      0.8312     0.8116     52.3247
04200     0.6283      0.7996     0.8116     53.2613
04300     0.5695      0.8312     0.8116     53.1102
04400     0.6171      0.7932     0.8116     51.1227
04500     0.5743      0.8165     0.8116     51.7071
04600     0.6039      0.8165     0.8116     51.4127
04700     0.5021      0.8608     0.8116     55.1150
04800     0.6339      0.8059     0.8116     52.0573
04900     0.5504      0.8207     0.8116     51.1767
05000     0.5317      0.8312     0.8116     51.8950
05100     0.6148      0.8059     0.8116     52.5210
05200     0.5407      0.8270     0.8116     51.3565
05300     0.5397      0.8354     0.8178     53.1743
05400     0.5343      0.8333     0.8178     53.3954
05500     0.6167      0.8080     0.8178     51.8804
05600     0.5698      0.8143     0.8437     52.8227
05700     0.5397      0.8270     0.8437     52.9686
05800     0.5232      0.8207     0.8437     51.8969
05900     0.4826      0.8354     0.8437     52.0255
06000     0.5075      0.8291     0.8437     54.1941
06100     0.5662      0.8080     0.8437     53.9277
06200     0.5611      0.8270     0.8437     53.1467
06300     0.6095      0.7954     0.8437     52.6598
06400     0.6414      0.8059     0.8437     53.2946
06500     0.5848      0.8122     0.8437     53.9609
06600     0.5376      0.8354     0.8437     52.4388
06700     0.4628      0.8502     0.8437     53.0989
06800     0.5645      0.8333     0.8437     52.0858
06900     0.5357      0.8333     0.8456     52.5494
07000     0.5296      0.8354     0.8456     53.3108
07100     0.5135      0.8376     0.8456     52.1637
07200     0.5696      0.8186     0.8456     53.0219
07300     0.5152      0.8397     0.8456     51.0837
07400     0.6169      0.7954     0.8456     52.0577
07500     0.5327      0.8333     0.8456     51.7991
07600     0.4713      0.8565     0.8456     51.7028
07700     0.5068      0.8249     0.8473     53.6552
07800     0.5027      0.8544     0.8473     53.4541
07900     0.4272      0.8586     0.8473     51.4416
08000     0.4925      0.8354     0.8473     53.3102
08100     0.4965      0.8565     0.8473     51.2487
08200     0.6248      0.7911     0.8473     52.6909
08300     0.5079      0.8228     0.8473     51.5692
08400     0.5216      0.8270     0.8473     54.1431
08500     0.5020      0.8291     0.8473     53.1703
