Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=2, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ed4b4071-28a5-41aa-be17-a705baba9574
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9834      0.0781     0.0804     10.5850
00100     1.8239      0.4008     0.4546     68.8323
00200     1.2416      0.6287     0.6211     70.2746
00300     1.1340      0.6076     0.6840     70.9082
00400     1.0859      0.6582     0.7201     68.8498
00500     0.8271      0.7321     0.7456     68.3913
00600     0.9659      0.7025     0.7817     69.7526
00700     0.8435      0.7089     0.7817     69.1728
00800     0.9013      0.6899     0.7817     71.8562
00900     0.7856      0.7511     0.7817     68.0794
01000     0.7347      0.7637     0.7817     67.3432
01100     0.7004      0.7722     0.7817     70.2896
01200     0.6779      0.7722     0.7817     69.0400
01300     0.8007      0.7405     0.7817     69.2380
01400     0.6702      0.7869     0.8080     70.1427
01500     0.7882      0.7384     0.8080     68.3639
01600     0.7610      0.7384     0.8080     68.9484
01700     0.7269      0.7700     0.8080     67.6110
01800     0.6646      0.7827     0.8080     70.4521
01900     0.6613      0.7785     0.8080     70.2371
02000     0.7391      0.7532     0.8137     69.4922
02100     0.7768      0.7447     0.8137     70.4205
02200     0.6638      0.7890     0.8157     68.8714
02300     0.6964      0.7975     0.8157     69.3512
02400     0.6559      0.7954     0.8188     70.7851
02500     0.6322      0.7911     0.8188     67.3844
02600     0.6378      0.8101     0.8188     69.8619
02700     0.6169      0.8059     0.8188     70.9647
02800     0.5912      0.8291     0.8188     70.1656
02900     0.6312      0.8312     0.8188     69.9261
03000     0.6498      0.8038     0.8188     68.4819
03100     0.6513      0.7996     0.8188     69.7624
03200     0.7025      0.7743     0.8188     71.5015
03300     0.6111      0.8207     0.8188     70.0361
03400     0.6285      0.8059     0.8188     69.6947
03500     0.5920      0.8249     0.8271     69.7938
03600     0.6023      0.8017     0.8271     70.0431
03700     0.6425      0.7954     0.8271     69.9747
03800     0.6243      0.7932     0.8271     70.5208
03900     0.6129      0.7996     0.8271     70.5171
04000     0.5725      0.8101     0.8271     70.2350
04100     0.5716      0.8165     0.8271     69.3944
04200     0.4933      0.8376     0.8271     69.3135
04300     0.5874      0.8122     0.8271     70.3346
04400     0.6883      0.7658     0.8271     69.5552
04500     0.6603      0.7996     0.8271     69.2271
04600     0.6193      0.8038     0.8271     67.8497
04700     0.6568      0.8059     0.8271     70.3033
04800     0.5619      0.8376     0.8271     71.4297
04900     0.5904      0.8101     0.8271     69.1686
05000     0.5883      0.8122     0.8271     68.8007
05100     0.6223      0.8186     0.8271     67.8935
05200     0.6227      0.7911     0.8271     68.8308
05300     0.6497      0.7911     0.8271     70.5672
05400     0.6121      0.8165     0.8271     68.4997
05500     0.5544      0.8143     0.8271     69.6082
05600     0.5286      0.8544     0.8271     70.9804
05700     0.5975      0.8122     0.8271     68.5360
05800     0.5878      0.7975     0.8271     70.5422
05900     0.5430      0.8439     0.8271     71.3365
06000     0.5338      0.8270     0.8271     69.0957
06100     0.5585      0.8207     0.8271     68.6587
06200     0.5377      0.8101     0.8271     70.2148
06300     0.5871      0.8101     0.8271     69.8845
06400     0.4826      0.8376     0.8271     70.6299
06500     0.5320      0.8291     0.8271     70.3918
06600     0.5446      0.8143     0.8271     69.7844
06700     0.5878      0.8249     0.8271     67.6003
06800     0.5719      0.8017     0.8271     68.3739
06900     0.6088      0.8101     0.8271     67.4284
07000     0.5447      0.8270     0.8271     65.7457
07100     0.5446      0.8312     0.8271     67.1114
07200     0.6721      0.7932     0.8271     65.7643
07300     0.4951      0.8692     0.8271     65.9175
07400     0.5425      0.8354     0.8449     67.0376
07500     0.5814      0.8228     0.8449     66.2181
07600     0.5691      0.8354     0.8449     66.9162
07700     0.5296      0.8397     0.8449     56.6233
07800     0.4722      0.8565     0.8449     56.5371
07900     0.5059      0.8460     0.8449     59.1119
08000     0.5038      0.8354     0.8449     62.1828
08100     0.4878      0.8481     0.8449     58.0881
08200     0.5452      0.8249     0.8449     58.6255
08300     0.5054      0.8523     0.8449     56.9083
08400     0.4706      0.8523     0.8449     62.1113
08500     0.5415      0.8101     0.8449     56.6556
08600     0.5299      0.8397     0.8449     57.3123
08700     0.4172      0.8797     0.8449     57.0323
08800     0.5341      0.8312     0.8449     56.2996
08900     0.5104      0.8544     0.8449     62.5796
09000     0.5257      0.8207     0.8449     56.5343
09100     0.4990      0.8376     0.8449     56.8820
09200     0.5009      0.8502     0.8449     57.1741
09300     0.4543      0.8481     0.8449     57.3664
09400     0.5297      0.8207     0.8449     63.8065
09500     0.4676      0.8481     0.8449     56.7959
09600     0.4485      0.8629     0.8449     56.5923
09700     0.4752      0.8586     0.8449     56.9602
09800     0.4423      0.8608     0.8449     64.8969
09900     0.4906      0.8565     0.8449     60.9903
10000     0.5532      0.8186     0.8449     62.8929
10100     0.4055      0.8650     0.8449     57.0436
10200     0.4882      0.8397     0.8449     56.8297
10300     0.4531      0.8439     0.8449     58.8835
10400     0.5240      0.8207     0.8449     59.8946
10500     0.5258      0.8333     0.8449     61.3326
10600     0.4587      0.8565     0.8449     56.9104
10700     0.4489      0.8544     0.8449     56.8765
10800     0.4421      0.8460     0.8449     57.4464
10900     0.4319      0.8565     0.8449     58.9006
11000     0.4578      0.8650     0.8449     57.5280
11100     0.3545      0.8840     0.8449     57.1597
11200     0.5155      0.8481     0.8449     57.0426
11300     0.4166      0.8734     0.8449     58.5695
11400     0.4779      0.8629     0.8449     66.1510
11500     0.4207      0.8840     0.8449     63.5663
11600     0.4267      0.8586     0.8449     58.0644
11700     0.4588      0.8608     0.8449     65.2179
11800     0.4440      0.8565     0.8449     58.4390
11900     0.5014      0.8439     0.8449     58.0398
12000     0.3820      0.8903     0.8449     59.0040
12100     0.5006      0.8439     0.8449     57.5788
12200     0.3889      0.8755     0.8449     57.1050
12300     0.3942      0.8734     0.8449     59.1993
12400     0.4143      0.8776     0.8449     57.5377
12500     0.3884      0.8797     0.8449     63.6185
