Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.5, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ac2af9bc-13e4-4dde-aee2-934f6910b2f9
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7606      0.0600     0.0846     14.4323
00100     1.9658      0.3200     0.3433     54.4213
00200     1.4937      0.5800     0.5091     53.7816
00300     1.3822      0.5700     0.5851     54.2788
00400     1.3501      0.5300     0.6296     54.3941
00500     1.0551      0.6300     0.6734     53.8584
00600     0.9381      0.7000     0.7070     54.0259
00700     1.0096      0.6900     0.7162     55.1883
00800     0.9391      0.7300     0.7209     54.2497
00900     1.0477      0.6600     0.7209     54.5720
01000     1.0856      0.6400     0.7252     54.9371
01100     1.2615      0.6000     0.7444     54.9636
01200     0.8317      0.7300     0.7457     53.9700
01300     0.9639      0.7100     0.7457     54.0895
01400     0.7811      0.7700     0.7457     54.7976
01500     0.7055      0.8000     0.7598     55.0000
01600     1.0518      0.6600     0.7598     54.8205
01700     1.0445      0.6400     0.7639     54.8493
01800     0.8874      0.7100     0.7640     54.9258
01900     1.0682      0.6700     0.7640     54.9166
02000     0.7520      0.7900     0.7640     54.2845
02100     1.0350      0.7200     0.7753     54.9274
02200     0.8970      0.7400     0.7753     54.1156
02300     0.8151      0.7500     0.7753     54.6180
02400     0.9564      0.6800     0.7825     54.3331
02500     0.9677      0.6600     0.7825     54.8820
02600     0.9375      0.6900     0.7825     54.5778
02700     0.7178      0.8000     0.7825     54.9162
02800     0.8125      0.7900     0.7825     54.5553
02900     0.7107      0.8000     0.7825     54.4216
03000     0.5848      0.8300     0.7825     54.8102
03100     0.7549      0.7100     0.7825     54.1549
03200     0.9019      0.6800     0.7826     54.3250
03300     0.8501      0.7600     0.7826     54.4178
03400     0.7078      0.7800     0.7826     54.9626
03500     0.7826      0.7800     0.7855     54.5173
03600     0.8591      0.7700     0.7855     55.2634
03700     0.7093      0.7600     0.7950     54.6626
03800     0.8633      0.7600     0.7950     54.5472
03900     0.6749      0.7900     0.7950     55.1358
04000     0.6246      0.8300     0.7950     55.0791
04100     0.6015      0.8400     0.8001     54.9162
04200     1.0262      0.6700     0.8060     54.8209
04300     0.7712      0.7600     0.8060     54.7095
04400     0.7685      0.7600     0.8060     54.1016
04500     0.9671      0.7000     0.8060     54.9389
04600     0.6240      0.8000     0.8060     54.6688
04700     0.6795      0.8000     0.8060     54.6472
04800     0.7523      0.7700     0.8060     54.6243
04900     0.7183      0.7700     0.8060     54.5887
05000     0.8103      0.7400     0.8060     53.8605
05100     0.7679      0.7900     0.8060     55.5989
05200     0.7114      0.7800     0.8179     54.4834
05300     0.7863      0.7500     0.8179     54.4352
05400     0.5466      0.8500     0.8179     54.1459
05500     0.6037      0.8100     0.8179     54.6964
05600     0.7015      0.7700     0.8179     54.4590
05700     0.8389      0.7400     0.8179     55.2100
05800     0.7982      0.7500     0.8179     54.6030
05900     0.9374      0.6800     0.8179     54.7319
06000     0.6642      0.7800     0.8179     54.6558
