Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.5, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=False, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c0c56293-df43-4030-950e-83a0493c8725
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7772      0.0600     0.0999     17.1422
00100     1.8595      0.4500     0.4047     61.8923
00200     1.4691      0.5100     0.5315     62.7951
00300     1.4135      0.5500     0.6021     61.9119
00400     1.2586      0.5700     0.6336     61.9890
00500     1.2760      0.5700     0.6635     61.9679
00600     1.1767      0.5900     0.7047     61.9331
00700     1.0910      0.6100     0.7094     62.5440
00800     1.0057      0.6900     0.7094     62.4409
00900     0.7838      0.7900     0.7355     62.1216
01000     1.0410      0.6600     0.7483     62.0908
01100     1.0649      0.6500     0.7483     62.7818
01200     0.8947      0.7100     0.7524     62.5212
01300     1.0836      0.6600     0.7664     62.6736
01400     0.8700      0.7100     0.7664     63.1226
01500     0.9233      0.7000     0.7664     63.1122
01600     0.7432      0.7500     0.7738     63.3142
01700     0.8608      0.7200     0.7738     63.1289
01800     0.9509      0.7500     0.7738     62.8188
01900     0.8425      0.7500     0.7812     62.5334
02000     0.9878      0.6700     0.7812     62.5921
02100     0.8528      0.7500     0.7852     63.3490
02200     0.7761      0.7700     0.7914     62.6639
02300     0.7862      0.7700     0.7914     64.5148
02400     0.7419      0.7700     0.7914     62.7420
02500     0.7090      0.8200     0.7956     61.8587
02600     0.8594      0.7000     0.7956     64.2477
02700     1.0828      0.6900     0.7956     63.4491
02800     0.9165      0.7000     0.7956     63.8212
02900     0.6870      0.7700     0.7992     63.4115
03000     0.8929      0.7500     0.7992     62.4811
03100     0.7854      0.7900     0.7992     63.6158
03200     0.7852      0.7100     0.7992     63.9086
03300     0.7371      0.7800     0.7992     63.2886
03400     0.8305      0.7700     0.7992     62.9531
03500     0.7420      0.7600     0.7992     63.0676
03600     0.8031      0.7500     0.7997     63.2771
03700     0.9441      0.7400     0.7997     63.4160
03800     0.9530      0.6600     0.8016     62.7860
03900     0.8108      0.7400     0.8016     63.8178
04000     0.7966      0.7100     0.8016     63.8878
04100     0.7296      0.7700     0.8016     62.6739
04200     0.6830      0.7600     0.8048     63.3610
04300     0.8233      0.7500     0.8159     62.8168
04400     0.7465      0.7900     0.8159     62.4587
04500     0.8171      0.7700     0.8159     63.0963
04600     0.7336      0.7900     0.8159     63.3652
