Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.5, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
561a78b8-a8a9-4ddb-8417-6db5f6b592f9
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.1229      0.1100     0.0836     14.1913
00100     1.9484      0.3200     0.3612     58.4912
00200     1.6380      0.4800     0.4882     58.1031
00300     1.2704      0.5200     0.5581     56.2318
00400     1.2877      0.6500     0.5976     60.7008
00500     1.2285      0.5400     0.6616     54.7156
00600     1.0162      0.6900     0.6784     57.9540
00700     0.9324      0.6600     0.6935     58.5457
00800     0.9857      0.6600     0.6935     55.8002
00900     0.9465      0.6400     0.7177     55.2615
01000     0.9491      0.6900     0.7177     56.0164
01100     1.0148      0.5800     0.7236     55.9118
01200     0.8590      0.7300     0.7406     55.0610
01300     0.8354      0.6900     0.7504     61.5181
01400     0.8185      0.6900     0.7504     58.6138
01500     0.7807      0.7200     0.7543     55.8699
01600     0.7548      0.7400     0.7743     55.5047
01700     1.0139      0.6100     0.7743     58.5186
01800     0.7490      0.7200     0.7743     57.3512
01900     0.7970      0.7600     0.7743     57.9639
02000     0.9377      0.6800     0.7794     56.0943
02100     0.7717      0.7700     0.7794     56.5118
02200     0.7047      0.7200     0.7794     58.7801
02300     0.5945      0.8300     0.7794     56.9188
02400     0.6320      0.7800     0.7794     58.6189
02500     0.7253      0.7500     0.7851     56.0790
02600     0.7430      0.8100     0.7856     55.9366
02700     0.6952      0.7600     0.7856     55.2845
02800     0.6586      0.7700     0.7856     55.9406
02900     0.5648      0.7900     0.7856     54.9554
03000     0.7701      0.7500     0.7929     56.9560
03100     0.5886      0.7800     0.7929     55.9800
03200     0.7682      0.7300     0.7929     56.7638
03300     0.5209      0.8100     0.7929     57.6729
03400     0.6404      0.7500     0.7988     56.6526
03500     0.5379      0.8100     0.7988     55.3203
03600     0.7004      0.7400     0.7988     58.8385
03700     0.7625      0.7300     0.7988     58.6226
03800     0.7440      0.7200     0.7988     56.4122
03900     0.6138      0.8000     0.7988     55.7382
04000     0.7653      0.7300     0.7988     57.5401
04100     0.7998      0.7500     0.8026     56.3699
04200     0.6814      0.7700     0.8026     55.4697
04300     0.6111      0.7900     0.8026     57.3271
04400     0.5776      0.8000     0.8026     56.3288
04500     0.8606      0.7000     0.8026     58.0899
04600     0.5982      0.7600     0.8026     58.7340
04700     0.5807      0.7500     0.8026     55.1930
04800     0.6273      0.7300     0.8026     59.7617
04900     0.5211      0.8100     0.8026     54.8249
05000     0.6533      0.7700     0.8026     58.5338
05100     0.5774      0.7900     0.8026     59.6038
05200     0.5207      0.7900     0.8026     56.0786
05300     0.7723      0.7600     0.8026     54.9435
05400     0.7030      0.7400     0.8026     55.8768
05500     0.7097      0.7100     0.8026     61.2615
05600     0.7658      0.7300     0.8026     56.2292
05700     0.5252      0.8100     0.8176     55.4443
05800     0.5125      0.8000     0.8176     56.7347
05900     0.6512      0.7500     0.8176     55.5744
06000     0.5172      0.7900     0.8176     60.3654
06100     0.8345      0.6900     0.8176     56.5370
06200     0.5095      0.8200     0.8176     58.0646
06300     0.5900      0.7700     0.8176     56.5133
06400     0.8675      0.7100     0.8176     55.2608
06500     0.5456      0.8200     0.8176     57.3967
06600     0.4107      0.8400     0.8176     54.9759
06700     0.5708      0.8200     0.8176     57.6129
06800     0.4260      0.8300     0.8176     55.9326
06900     0.7374      0.7400     0.8176     56.6129
07000     0.5861      0.7800     0.8176     55.9542
07100     0.5553      0.8200     0.8176     55.2910
07200     0.6915      0.6900     0.8176     55.2260
07300     0.5275      0.7700     0.8212     54.5863
07400     0.3666      0.8500     0.8230     55.8585
07500     0.4689      0.8300     0.8265     54.4851
07600     0.5292      0.8000     0.8265     55.2483
07700     0.4957      0.8400     0.8265     55.1400
