Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=100, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=100000, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.0, noise_injectionT=0.0, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
284ff1dc-f0fb-42e3-a4f5-bb4ed3ebf386
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8510      0.1500     0.0843     6.3238
00100     2.2936      0.2800     0.3003     14.1457
00200     1.8594      0.4200     0.4213     13.8598
00300     1.6010      0.4700     0.5415     14.1837
00400     1.1510      0.6700     0.6210     14.4132
00500     1.2058      0.6100     0.6762     14.3336
00600     1.0734      0.7000     0.7149     14.1326
00700     0.9829      0.6700     0.7369     14.2259
00800     0.8556      0.7700     0.7510     13.8546
00900     0.6823      0.8000     0.7692     14.1094
01000     0.6484      0.8000     0.7837     13.6748
01100     0.8295      0.7900     0.7850     13.6490
01200     0.8079      0.7700     0.7936     13.9606
01300     0.5637      0.8500     0.8086     13.7001
01400     0.5426      0.8500     0.8110     14.0177
01500     0.8217      0.7900     0.8117     14.1133
01600     0.7178      0.7500     0.8135     13.9449
01700     0.6228      0.8100     0.8240     14.2341
01800     0.5875      0.8100     0.8311     13.9467
01900     0.6890      0.8200     0.8311     13.6060
02000     0.6064      0.8100     0.8311     13.9726
02100     0.6117      0.8100     0.8373     14.3538
02200     0.6630      0.8100     0.8380     14.4792
02300     0.4675      0.8600     0.8380     14.3932
02400     0.5020      0.8600     0.8422     13.6441
02500     0.4900      0.8600     0.8466     14.2574
02600     0.5526      0.8700     0.8487     13.7908
02700     0.3855      0.8800     0.8487     14.3413
02800     0.6277      0.8000     0.8586     14.1659
02900     0.3879      0.8900     0.8612     13.6002
03000     0.5137      0.8700     0.8612     14.0977
03100     0.4911      0.8600     0.8632     14.2719
03200     0.4540      0.8900     0.8718     14.0184
03300     0.5162      0.8600     0.8718     14.3389
03400     0.3451      0.9000     0.8718     13.9380
03500     0.4243      0.8900     0.8718     14.3203
03600     0.4977      0.8200     0.8718     13.9113
03700     0.4878      0.8600     0.8718     14.3201
03800     0.5074      0.8500     0.8718     13.6020
03900     0.3020      0.9000     0.8718     13.9891
04000     0.4188      0.8800     0.8718     14.3886
04100     0.3483      0.9200     0.8804     14.4258
04200     0.5328      0.8000     0.8809     14.5146
04300     0.3270      0.9200     0.8809     13.5686
04400     0.4359      0.8500     0.8809     14.3873
04500     0.3744      0.8900     0.8809     13.8524
04600     0.5329      0.8500     0.8820     13.7915
04700     0.3292      0.8900     0.8820     14.1487
04800     0.3675      0.8900     0.8820     13.9981
04900     0.3239      0.9100     0.8828     14.4885
05000     0.2639      0.9300     0.8828     14.2128
05100     0.3229      0.8900     0.8861     13.7669
05200     0.3109      0.9000     0.8861     14.0313
05300     0.3782      0.9100     0.8861     14.0177
05400     0.3723      0.8900     0.8861     13.9630
05500     0.3319      0.9300     0.8861     13.9090
05600     0.1969      0.9400     0.8861     14.1092
05700     0.3378      0.8900     0.8861     13.7552
05800     0.2786      0.9100     0.8889     14.1881
05900     0.3213      0.9200     0.8889     13.7717
06000     0.3930      0.9000     0.8947     14.0406
