Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=100000, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.0, noise_injectionT=0.0, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b3f8899e-e5fd-4514-87f8-8c1217060ae6
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.1159      0.0900     0.0777     5.3762
00100     2.2773      0.2800     0.3099     12.9565
00200     1.8306      0.4300     0.4562     13.9268
00300     1.4265      0.5100     0.5650     13.7756
00400     1.1867      0.6500     0.6333     13.2991
00500     1.2629      0.6000     0.6849     13.7561
00600     0.9178      0.7100     0.7171     13.1828
00700     0.7149      0.7900     0.7481     13.2359
00800     0.6572      0.8000     0.7648     13.6042
00900     0.6397      0.8100     0.7736     13.6492
01000     0.6123      0.8100     0.7878     13.0303
01100     0.6883      0.8000     0.7881     13.4075
01200     0.5671      0.8600     0.7963     13.8136
01300     0.5523      0.8200     0.8216     13.0316
01400     0.5801      0.8200     0.8216     13.2215
01500     0.5901      0.7900     0.8225     13.2792
01600     0.6533      0.8300     0.8230     13.5246
01700     0.4818      0.8900     0.8254     13.2857
01800     0.4487      0.8600     0.8335     13.3203
01900     0.5683      0.8400     0.8399     13.3580
02000     0.4236      0.8500     0.8399     14.2266
02100     0.5791      0.8400     0.8417     13.5809
02200     0.5104      0.8100     0.8459     13.2636
02300     0.5696      0.8100     0.8459     13.1802
02400     0.5133      0.8400     0.8459     13.6920
02500     0.5297      0.8400     0.8482     13.3182
02600     0.4780      0.8500     0.8568     13.5108
02700     0.4409      0.9000     0.8638     13.7604
02800     0.4395      0.8900     0.8638     13.3980
02900     0.3589      0.8800     0.8638     13.1898
03000     0.4948      0.8800     0.8638     13.0184
03100     0.3631      0.8900     0.8638     12.9176
03200     0.3667      0.9100     0.8654     13.2204
03300     0.3493      0.8900     0.8654     13.1706
03400     0.4185      0.8600     0.8654     12.7837
03500     0.3235      0.9400     0.8654     13.1021
03600     0.5282      0.8100     0.8680     13.1360
03700     0.4095      0.8800     0.8680     13.6528
03800     0.3970      0.8800     0.8680     13.6626
03900     0.3924      0.8400     0.8707     13.8268
04000     0.3340      0.9000     0.8707     13.1591
04100     0.4901      0.8800     0.8727     13.2272
04200     0.3614      0.9100     0.8727     12.9990
04300     0.3999      0.8700     0.8743     13.8168
04400     0.3474      0.9000     0.8799     13.2968
04500     0.5155      0.8800     0.8799     13.5868
04600     0.4356      0.8400     0.8799     13.1946
04700     0.2560      0.9100     0.8799     13.3069
04800     0.3039      0.9300     0.8799     13.3554
04900     0.6947      0.8000     0.8799     13.4065
05000     0.2297      0.9500     0.8799     13.2022
05100     0.3509      0.9000     0.8799     13.8342
05200     0.4174      0.8300     0.8799     14.2998
05300     0.1760      0.9500     0.8806     14.2672
05400     0.4621      0.8700     0.8806     13.0997
05500     0.3392      0.9200     0.8823     13.3679
05600     0.3747      0.9200     0.8823     13.7932
05700     0.3830      0.9000     0.8823     13.1787
05800     0.3616      0.9000     0.8823     13.2821
05900     0.1614      0.9700     0.8823     13.2747
06000     0.3070      0.9200     0.8823     13.1519
06100     0.2319      0.9300     0.8823     13.3644
06200     0.4136      0.8600     0.8823     13.4166
06300     0.2207      0.9300     0.8862     13.6897
06400     0.2995      0.9400     0.8862     13.0741
06500     0.2983      0.9100     0.8862     13.6043
06600     0.3181      0.9300     0.8862     13.8077
06700     0.1752      0.9600     0.8862     13.2059
06800     0.3345      0.9000     0.8862     13.2965
06900     0.3170      0.9100     0.8862     12.8308
07000     0.1904      0.9400     0.8862     13.3043
07100     0.3724      0.8800     0.8862     13.3763
07200     0.2766      0.9400     0.8862     13.6593
07300     0.2082      0.9400     0.8866     13.4528
07400     0.2074      0.9500     0.8866     13.0898
07500     0.2978      0.9400     0.8866     13.1603
07600     0.4061      0.8800     0.8868     13.4858
07700     0.2967      0.9300     0.8895     14.0170
07800     0.2764      0.9200     0.8895     13.7150
07900     0.2610      0.9200     0.8895     13.9663
08000     0.2750      0.9500     0.8895     13.9602
08100     0.2950      0.9300     0.8895     13.3879
08200     0.2275      0.9300     0.8919     14.1146
08300     0.2611      0.9100     0.8919     13.2349
08400     0.2789      0.9100     0.8919     14.4146
08500     0.2274      0.9300     0.8925     13.1415
08600     0.1689      0.9500     0.8925     13.2710
08700     0.2832      0.9000     0.8925     14.5520
08800     0.2555      0.9300     0.8925     13.0607
08900     0.2165      0.9200     0.8925     13.2250
09000     0.2436      0.9600     0.8925     13.7572
09100     0.2129      0.9200     0.8925     13.3872
09200     0.1830      0.9400     0.8925     13.3004
09300     0.2665      0.9400     0.8925     14.0860
09400     0.3277      0.9000     0.8925     13.3006
09500     0.1599      0.9600     0.8925     13.0815
09600     0.3804      0.9200     0.8925     13.3162
09700     0.2552      0.9200     0.8925     13.7363
09800     0.1557      0.9700     0.8925     14.0167
09900     0.2104      0.9200     0.8933     13.5944
09999     0.2453      0.9000     0.8944     13.8541
Start testing:
Test Accuracy: 0.8796
