Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=200, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=100000, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.0, noise_injectionT=0.0, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
54d5ce79-bdda-45e9-b611-a166c7eec2f1
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8735      0.1100     0.1716     6.1106
00100     2.0778      0.3600     0.4187     16.5513
00200     1.5007      0.5100     0.5676     17.2794
00300     1.3116      0.6200     0.6546     16.5782
00400     1.0235      0.6900     0.7160     17.7073
00500     0.8812      0.7100     0.7477     16.5004
00600     0.7070      0.8100     0.7776     17.0351
00700     0.6876      0.7800     0.7887     17.2553
00800     0.5581      0.8600     0.8057     16.1758
00900     0.7443      0.7500     0.8162     17.2830
01000     0.6667      0.7800     0.8220     18.5100
01100     0.7115      0.7600     0.8259     17.1423
01200     0.5341      0.8200     0.8319     16.4348
01300     0.5290      0.8400     0.8460     17.5170
01400     0.5148      0.8400     0.8460     16.4677
01500     0.4139      0.8500     0.8460     16.1346
01600     0.5644      0.8400     0.8535     17.2918
01700     0.7294      0.7900     0.8535     17.8408
01800     0.5472      0.8900     0.8535     17.2506
01900     0.3703      0.9300     0.8568     18.0751
02000     0.4744      0.8700     0.8577     16.5652
02100     0.3625      0.9000     0.8602     16.9822
02200     0.5051      0.8600     0.8658     16.4056
02300     0.4305      0.8700     0.8658     16.8157
02400     0.4413      0.8600     0.8658     17.0314
02500     0.3936      0.9000     0.8735     16.7602
02600     0.5087      0.8100     0.8735     16.4829
02700     0.4603      0.8800     0.8752     17.4052
02800     0.5526      0.8600     0.8752     16.7613
02900     0.4232      0.8500     0.8752     16.8087
03000     0.3070      0.9200     0.8752     16.4278
03100     0.3024      0.9000     0.8752     16.4907
03200     0.2710      0.9000     0.8752     16.8456
03300     0.2731      0.9300     0.8783     16.8816
03400     0.3477      0.8900     0.8797     17.2811
03500     0.2121      0.9500     0.8797     16.6579
03600     0.2854      0.8900     0.8814     16.9081
