Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=50, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=100000, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.0, noise_injectionT=0.0, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
4ec2a602-06c0-4477-9cf8-9739e126ab65
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.3708      0.1100     0.0808     6.9609
00100     2.3858      0.2100     0.2667     17.8370
00200     2.1489      0.3400     0.3650     18.3776
00300     1.8467      0.4000     0.4538     17.3709
00400     1.6010      0.5200     0.5265     18.0202
00500     1.3356      0.6100     0.5820     17.8388
00600     1.3071      0.6000     0.6111     17.9530
00700     1.1343      0.6500     0.6390     18.1499
00800     1.1571      0.6600     0.6569     17.7943
00900     1.0967      0.6700     0.6698     18.0888
01000     1.1878      0.6600     0.6892     17.5185
01100     1.1422      0.6600     0.7186     18.1748
01200     0.8198      0.7200     0.7256     18.5717
01300     1.0466      0.7100     0.7311     17.9858
01400     0.8590      0.7100     0.7398     18.3473
01500     0.8179      0.7600     0.7651     17.7722
01600     0.7793      0.7600     0.7651     18.1894
01700     0.7462      0.8000     0.7660     18.0974
01800     0.4669      0.8700     0.7760     18.4581
01900     0.8673      0.7200     0.7803     18.0749
02000     0.8785      0.7300     0.7930     18.0888
02100     0.6959      0.7600     0.7981     17.7322
02200     0.7102      0.7900     0.8031     18.6066
02300     0.5876      0.8000     0.8150     18.1346
02400     0.5827      0.8400     0.8150     17.9743
02500     0.8031      0.7400     0.8150     18.5180
02600     0.6300      0.8100     0.8176     17.9389
02700     0.7822      0.7400     0.8176     18.3595
02800     0.6291      0.8200     0.8176     19.0336
02900     0.6819      0.7800     0.8236     18.4155
03000     0.5995      0.8000     0.8274     18.4195
03100     0.5115      0.8300     0.8274     18.5398
03200     0.6230      0.8700     0.8274     18.4459
03300     0.4176      0.8700     0.8274     18.2262
03400     0.5954      0.8300     0.8324     18.3204
03500     0.6400      0.7900     0.8324     18.2105
03600     0.6363      0.8100     0.8324     17.9024
03700     0.4040      0.9100     0.8371     18.1481
03800     0.4010      0.8500     0.8371     17.7036
03900     0.4872      0.8500     0.8392     18.1816
04000     0.5194      0.8500     0.8392     18.2292
04100     0.5751      0.8400     0.8392     18.6763
04200     0.4364      0.9100     0.8392     18.0697
04300     0.3783      0.9100     0.8416     18.0218
04400     0.5726      0.8200     0.8432     18.8522
04500     0.5686      0.7800     0.8432     18.6707
04600     0.5112      0.8400     0.8491     18.1557
04700     0.4687      0.9000     0.8491     18.4758
04800     0.5671      0.8200     0.8491     18.7493
04900     0.4798      0.8900     0.8499     18.1306
05000     0.5545      0.8400     0.8534     18.9704
05100     0.4574      0.8400     0.8534     18.6440
05200     0.4153      0.8800     0.8534     18.1099
05300     0.4229      0.8700     0.8534     18.4092
05400     0.3609      0.8900     0.8534     18.6326
05500     0.2693      0.9400     0.8534     19.0670
05600     0.5226      0.9000     0.8541     18.8720
05700     0.6471      0.8200     0.8554     18.4188
05800     0.5578      0.8300     0.8554     19.1115
05900     0.4237      0.8900     0.8554     18.8760
06000     0.4300      0.8500     0.8580     19.0624
06100     0.6294      0.8200     0.8649     19.1799
06200     0.3957      0.8800     0.8649     18.3101
06300     0.6494      0.8100     0.8649     18.8640
06400     0.5734      0.8400     0.8649     18.4918
06500     0.4222      0.8800     0.8649     18.4413
06600     0.4939      0.8300     0.8649     19.1650
06700     0.3182      0.9000     0.8664     19.7069
06800     0.4285      0.8500     0.8664     18.5388
06900     0.3884      0.8800     0.8688     18.9812
07000     0.5027      0.8700     0.8688     18.3594
07100     0.3184      0.9100     0.8688     18.6111
07200     0.3303      0.9100     0.8688     18.4807
07300     0.4362      0.8400     0.8688     18.4029
07400     0.2416      0.9100     0.8688     18.7640
07500     0.3660      0.8700     0.8688     18.4899
07600     0.4060      0.8700     0.8688     18.2953
07700     0.3465      0.8900     0.8688     19.0577
07800     0.4244      0.8500     0.8725     18.4364
07900     0.3132      0.9200     0.8725     18.9845
08000     0.3217      0.8900     0.8725     18.4535
08100     0.4878      0.8400     0.8725     18.2939
08200     0.3242      0.9100     0.8725     18.2407
08300     0.5189      0.8100     0.8725     18.6898
08400     0.4975      0.8700     0.8725     18.3240
08500     0.4784      0.8700     0.8725     18.9634
08600     0.3750      0.9000     0.8772     18.5107
08700     0.5331      0.8300     0.8772     18.3057
08800     0.2650      0.9100     0.8772     19.3725
08900     0.3674      0.8800     0.8772     18.3217
