Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.11, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1bc80552-e3a7-4680-beea-e36907ce7d24
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6448      0.1100     0.0808     17.0822
00100     1.9162      0.3300     0.4019     69.1244
00200     1.7231      0.4100     0.5340     67.3361
00300     1.1740      0.6200     0.6178     69.1588
00400     1.2839      0.6000     0.6466     69.2024
00500     1.2043      0.6400     0.6733     70.1341
00600     1.1171      0.6000     0.7062     68.1395
00700     1.2325      0.5600     0.7169     69.8297
00800     0.9114      0.7400     0.7196     74.7034
00900     1.0863      0.6600     0.7279     76.3284
01000     1.2157      0.6200     0.7330     74.5567
01100     1.1351      0.6200     0.7423     69.3898
01200     1.2387      0.6400     0.7510     69.4841
01300     0.9407      0.7200     0.7663     72.3329
01400     0.8996      0.7300     0.7663     72.3985
01500     1.0906      0.6300     0.7739     70.0848
01600     0.9233      0.7200     0.7768     68.6959
01700     0.8557      0.7200     0.7768     71.2741
01800     0.9529      0.7100     0.7849     71.1610
01900     0.9423      0.6600     0.7849     68.5159
02000     0.8752      0.7500     0.7853     74.5995
02100     0.8120      0.7600     0.7915     69.8114
02200     0.9891      0.7200     0.7915     67.9386
02300     0.8537      0.7200     0.7927     69.1984
02400     1.0379      0.6800     0.7927     72.5613
02500     0.9066      0.7400     0.7927     71.2736
02600     0.8267      0.7200     0.7983     72.9899
02700     0.7156      0.7500     0.7983     68.6932
02800     0.8817      0.7200     0.8028     69.3567
02900     0.6349      0.8200     0.8028     71.9869
03000     0.8076      0.7100     0.8028     70.2068
03100     0.7948      0.7400     0.8028     71.6610
03200     0.8487      0.7400     0.8028     68.6021
03300     0.8724      0.7200     0.8115     71.1338
03400     0.6491      0.8300     0.8115     69.1427
03500     0.6842      0.8100     0.8127     67.9058
03600     0.9701      0.7000     0.8151     68.3463
03700     0.9049      0.7300     0.8151     69.3113
03800     0.7238      0.7600     0.8151     68.8379
03900     0.7408      0.7700     0.8151     72.2833
04000     0.5354      0.8400     0.8151     70.9563
04100     0.8245      0.7400     0.8151     67.2346
04200     0.6790      0.7700     0.8151     71.3831
04300     0.7708      0.7300     0.8151     75.1927
04400     0.6829      0.8100     0.8181     70.0814
04500     0.9306      0.6700     0.8181     69.8272
04600     0.7009      0.8200     0.8258     69.6674
04700     0.7687      0.7600     0.8258     67.5095
04800     0.7093      0.8000     0.8258     70.6207
04900     0.7335      0.7800     0.8258     68.3634
05000     0.6857      0.7900     0.8258     69.3684
05100     0.6697      0.8000     0.8258     67.6266
05200     0.8305      0.7100     0.8258     75.2856
05300     0.6175      0.8200     0.8324     69.6860
05400     0.6787      0.7600     0.8324     70.6150
05500     0.6221      0.8200     0.8324     69.9878
05600     0.7211      0.8100     0.8324     71.3645
05700     0.8727      0.7000     0.8324     69.9224
05800     0.9031      0.6900     0.8324     72.8058
05900     0.9103      0.6900     0.8324     70.8619
06000     0.7370      0.7400     0.8324     70.8374
06100     0.9078      0.7300     0.8324     68.3188
06200     0.5965      0.8500     0.8324     68.6239
06300     0.7110      0.8000     0.8324     72.5354
06400     0.7279      0.7800     0.8324     71.4429
06500     0.6421      0.7800     0.8324     74.1024
06600     0.6164      0.8300     0.8324     68.6878
06700     0.4874      0.8700     0.8324     68.1795
06800     0.8504      0.7200     0.8324     69.4527
06900     0.6292      0.8400     0.8324     71.2445
07000     0.8102      0.7300     0.8324     71.7407
07100     0.7596      0.8100     0.8324     73.5720
07200     0.8244      0.7300     0.8330     70.9194
07300     0.8166      0.7600     0.8330     69.7028
07400     0.5630      0.8500     0.8330     69.1396
07500     0.6839      0.7900     0.8472     68.9303
07600     0.7570      0.8000     0.8472     69.1243
07700     0.7301      0.8200     0.8472     68.4026
07800     0.8124      0.7600     0.8472     69.6052
07900     0.6704      0.8100     0.8472     73.1804
08000     0.7330      0.8000     0.8472     73.1084
08100     0.7032      0.8200     0.8472     70.4778
08200     0.7875      0.7400     0.8472     69.9619
08300     0.6936      0.8000     0.8472     68.7415
08400     0.7613      0.7300     0.8472     69.3603
08500     0.6772      0.7800     0.8472     70.8677
08600     0.5962      0.7900     0.8472     69.3496
08700     0.7524      0.7800     0.8472     69.9591
08800     0.5755      0.7900     0.8472     71.8472
08900     0.6544      0.8100     0.8472     69.7622
09000     0.5818      0.8200     0.8472     69.8936
09100     0.7466      0.7700     0.8472     69.8808
09200     0.6339      0.8100     0.8472     70.0002
09300     0.5546      0.8800     0.8472     69.2079
09400     0.6135      0.8100     0.8472     72.8582
09500     0.4567      0.8500     0.8472     69.5724
09600     0.7585      0.7200     0.8472     68.6881
