Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.12, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e1154983-faae-46b3-bf6d-5a692b5333f4
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6865      0.0800     0.0777     18.0121
00100     2.0234      0.3000     0.3480     76.0567
00200     1.5120      0.5200     0.5085     76.2596
00300     1.2618      0.5800     0.5951     73.9955
00400     1.1057      0.6700     0.6384     75.4404
00500     1.0673      0.6200     0.6844     75.7406
00600     1.0211      0.6900     0.7068     76.7260
00700     1.0762      0.6300     0.7102     76.2782
00800     1.2714      0.6000     0.7129     75.7132
00900     1.1841      0.6300     0.7261     77.7894
01000     1.0156      0.6700     0.7441     78.6245
01100     0.7778      0.7500     0.7547     75.7574
01200     0.8088      0.7300     0.7670     75.8935
01300     0.9485      0.7300     0.7670     76.2131
01400     0.8859      0.7000     0.7762     75.7003
01500     0.9434      0.7300     0.7815     75.8805
01600     1.0500      0.6600     0.7815     75.1197
01700     0.7761      0.7800     0.7815     76.7195
01800     0.9177      0.7300     0.7815     77.3757
01900     0.8222      0.7000     0.7840     76.6963
02000     0.7732      0.8000     0.7840     77.6116
02100     0.9880      0.6900     0.7840     75.2104
02200     0.9172      0.7400     0.7840     77.1396
02300     0.8546      0.7600     0.7840     79.0237
02400     0.8735      0.7700     0.7840     75.2227
02500     0.7165      0.7900     0.7840     78.1074
02600     0.6507      0.7800     0.7929     75.2298
02700     0.8854      0.7000     0.7929     74.1035
02800     0.7747      0.7500     0.7929     76.2805
02900     0.7319      0.7400     0.7929     76.6258
03000     0.8571      0.7400     0.7929     76.0474
03100     0.5471      0.8600     0.7929     76.6978
03200     0.8527      0.7400     0.8047     77.8994
03300     0.8839      0.7300     0.8047     78.3063
03400     0.6364      0.8000     0.8047     75.8790
03500     0.7651      0.7600     0.8047     76.9493
03600     0.8075      0.7300     0.8047     77.4269
03700     0.9605      0.6800     0.8098     76.6021
03800     0.6957      0.7400     0.8098     76.7734
03900     0.6338      0.8200     0.8129     77.9275
04000     0.6631      0.7800     0.8133     76.9836
04100     0.6039      0.8000     0.8133     76.8935
04200     0.6163      0.8800     0.8147     77.7227
04300     0.9055      0.7400     0.8147     75.6216
04400     0.5695      0.8200     0.8147     76.7943
04500     0.6657      0.7700     0.8147     76.0235
04600     0.7935      0.7400     0.8191     77.6494
04700     0.7005      0.7900     0.8191     77.2803
04800     0.9667      0.6900     0.8191     76.1962
04900     0.8991      0.6800     0.8191     70.3814
05000     0.9042      0.7000     0.8191     68.2576
05100     0.7822      0.7700     0.8191     68.6582
05200     0.6660      0.7900     0.8206     67.9776
05300     0.8756      0.7300     0.8206     68.5491
05400     0.8115      0.7400     0.8206     68.1127
05500     0.7638      0.7900     0.8206     67.7895
05600     0.7968      0.7800     0.8206     68.8387
05700     0.7170      0.7400     0.8271     68.8723
05800     0.7692      0.7600     0.8271     68.1019
05900     0.8055      0.7800     0.8271     68.6582
06000     0.9346      0.7100     0.8271     68.6887
06100     0.7157      0.7900     0.8271     69.7295
06200     0.6142      0.7900     0.8271     69.4130
06300     0.6687      0.7800     0.8271     68.0354
06400     0.8132      0.7100     0.8271     67.3747
06500     0.5561      0.8400     0.8271     68.6838
06600     0.8404      0.7600     0.8271     69.0390
06700     0.7637      0.7700     0.8279     68.6471
06800     0.7298      0.7500     0.8279     69.3968
06900     0.8809      0.7500     0.8279     67.5010
07000     0.6577      0.7900     0.8279     68.5089
07100     0.8294      0.7600     0.8279     68.8156
07200     0.8661      0.7300     0.8279     69.2874
07300     0.7760      0.7600     0.8308     68.0011
07400     0.6090      0.8000     0.8308     69.2044
07500     0.7838      0.7500     0.8308     68.4918
07600     0.5788      0.8300     0.8308     68.3740
07700     0.7503      0.7800     0.8318     68.4017
07800     0.6060      0.8300     0.8327     69.5003
07900     0.5963      0.8200     0.8327     69.2288
08000     0.5905      0.8400     0.8327     69.3411
08100     0.7581      0.7700     0.8327     69.0187
08200     0.6686      0.7800     0.8327     68.8834
08300     0.6997      0.7900     0.8327     68.1948
08400     0.7746      0.8000     0.8327     68.1730
08500     0.6172      0.7900     0.8327     68.2082
08600     0.7342      0.7700     0.8339     69.9754
08700     0.6176      0.8100     0.8339     68.2066
08800     0.7264      0.7400     0.8368     69.1329
08900     0.6499      0.8200     0.8422     68.1401
09000     0.4443      0.9000     0.8422     68.8102
09100     0.7251      0.7500     0.8422     67.8116
09200     0.6629      0.7800     0.8422     68.4190
09300     0.6331      0.8000     0.8422     68.6468
09400     0.6918      0.8100     0.8422     68.9877
09500     0.6559      0.8100     0.8422     68.6292
09600     0.7336      0.7500     0.8422     70.2264
09700     0.6177      0.7800     0.8422     68.4058
09800     0.3955      0.8800     0.8422     68.9530
09900     0.6573      0.7800     0.8422     68.0018
10000     0.7447      0.7700     0.8422     67.9807
10100     0.6378      0.8200     0.8460     68.5161
10200     0.7630      0.7500     0.8460     67.7087
10300     0.4876      0.8700     0.8482     67.4654
10400     0.6652      0.8000     0.8493     68.0364
10500     0.5132      0.8500     0.8535     67.9389
10600     0.5072      0.8400     0.8535     67.8982
10700     0.5321      0.8700     0.8543     67.7223
10800     0.4136      0.9000     0.8543     67.7377
10900     0.4088      0.9000     0.8563     69.0561
11000     0.5155      0.8500     0.8563     68.0169
11100     0.6539      0.7900     0.8563     68.5236
11200     0.4771      0.8400     0.8563     68.2836
11300     0.4454      0.8900     0.8563     68.3343
11400     0.5006      0.8400     0.8563     67.9556
11500     0.4351      0.8600     0.8602     68.2405
11600     0.4595      0.8600     0.8602     67.4679
11700     0.5558      0.8100     0.8602     68.4828
11800     0.5030      0.8300     0.8602     67.9333
11900     0.4600      0.8600     0.8602     68.4869
12000     0.5538      0.8100     0.8602     68.1240
12100     0.5959      0.7900     0.8602     69.1197
12200     0.6830      0.7700     0.8602     68.7798
12300     0.5655      0.8200     0.8602     68.9510
12400     0.6520      0.8000     0.8602     69.8916
12500     0.5884      0.8500     0.8602     68.2629
12600     0.5042      0.8200     0.8602     67.6828
12700     0.4966      0.8300     0.8602     68.1890
12800     0.6723      0.8100     0.8602     67.5495
12900     0.6132      0.8000     0.8602     68.4454
13000     0.4819      0.8600     0.8602     68.0543
13100     0.5114      0.8400     0.8602     67.8825
13200     0.8897      0.7100     0.8602     68.2661
13300     0.7413      0.7600     0.8602     67.7994
13400     0.5162      0.8600     0.8602     68.3763
13500     0.6010      0.8400     0.8602     68.3034
13600     0.5985      0.8400     0.8602     70.2905
13700     0.6113      0.8100     0.8602     68.3040
13800     0.3996      0.9000     0.8602     68.1812
13900     0.5170      0.8600     0.8602     68.2175
14000     0.5585      0.8300     0.8602     68.1966
14100     0.3845      0.8900     0.8602     68.0656
14200     0.6542      0.8000     0.8602     70.1098
14300     0.6872      0.8100     0.8602     69.7373
14400     0.4177      0.8700     0.8602     68.1781
14500     0.5198      0.8500     0.8602     68.4901
14600     0.5084      0.8600     0.8602     68.6429
14700     0.5917      0.8400     0.8602     67.9900
14800     0.4575      0.8800     0.8615     68.0688
14900     0.4811      0.8600     0.8615     68.6780
15000     0.4576      0.8400     0.8615     68.8819
15100     0.4869      0.8200     0.8615     69.0226
15200     0.5264      0.8100     0.8628     67.9794
15300     0.5313      0.8500     0.8628     68.4041
15400     0.8057      0.7200     0.8628     68.5052
15500     0.5927      0.7900     0.8628     67.1634
15600     0.4931      0.8500     0.8628     67.9909
15700     0.5204      0.8500     0.8628     68.2600
15800     0.5651      0.8400     0.8628     67.8675
15900     0.4700      0.8700     0.8628     68.4510
16000     0.5052      0.8700     0.8628     68.7789
16100     0.5592      0.8600     0.8628     69.0282
16200     0.6530      0.7900     0.8628     69.2652
16300     0.5800      0.8300     0.8628     67.6473
16400     0.5281      0.8200     0.8628     68.5735
16500     0.4519      0.8900     0.8628     68.8973
16600     0.6127      0.7900     0.8628     68.1141
16700     0.5770      0.8000     0.8628     68.1477
16800     0.4113      0.8900     0.8628     67.9092
16900     0.3802      0.8900     0.8628     68.7858
17000     0.5098      0.8700     0.8628     68.1223
17100     0.5913      0.8000     0.8628     67.7403
17200     0.4957      0.8600     0.8628     70.1901
17300     0.4863      0.8600     0.8628     69.9826
17400     0.4877      0.8700     0.8628     68.8764
17500     0.4048      0.8800     0.8628     69.2153
17600     0.6581      0.8100     0.8628     67.9703
17700     0.8335      0.7400     0.8628     69.4347
17800     0.5407      0.8700     0.8628     68.0670
17900     0.8202      0.7400     0.8628     68.0323
18000     0.5944      0.8200     0.8628     67.4065
18100     0.5953      0.8400     0.8628     68.1018
18200     0.6341      0.7900     0.8628     68.5074
18300     0.4506      0.9200     0.8628     68.6850
18400     0.5286      0.8300     0.8628     68.8144
18500     0.7054      0.7900     0.8628     68.1223
18600     0.4833      0.8700     0.8628     67.9847
18700     0.4608      0.8600     0.8628     67.1232
18800     0.4473      0.8800     0.8628     68.0215
18900     0.4139      0.9200     0.8628     68.8105
19000     0.4431      0.8900     0.8628     68.2068
19100     0.3789      0.9000     0.8628     68.2820
19200     0.5750      0.8200     0.8628     68.4410
19300     0.5110      0.8300     0.8628     69.1915
19400     0.6400      0.8000     0.8628     68.0456
19500     0.5538      0.8700     0.8628     68.6995
19600     0.5533      0.8300     0.8628     69.7986
19700     0.5765      0.8200     0.8660     84.3027
19800     0.5175      0.9000     0.8660     71.6335
19900     0.3515      0.9100     0.8660     69.3263
19999     0.4548      0.8400     0.8660     68.4126
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.6266      0.8400     0.8588     17.1703
00100     0.6486      0.7900     0.8614     68.2293
00200     0.5013      0.8900     0.8711     68.1763
00300     0.6802      0.8300     0.8711     68.4170
00400     0.5047      0.8600     0.8712     69.4073
00500     0.5046      0.8500     0.8712     68.6042
00600     0.5098      0.8100     0.8747     69.3448
00700     0.6819      0.8000     0.8747     68.8904
00800     0.4496      0.8800     0.8747     67.8486
00900     0.4423      0.9000     0.8747     68.5167
01000     0.5735      0.8000     0.8747     68.9813
01100     0.7254      0.7500     0.8747     68.5537
01200     0.3246      0.8900     0.8755     70.4596
01300     0.5585      0.8300     0.8755     68.5861
01400     0.4960      0.8600     0.8770     68.8443
01500     0.5401      0.8400     0.8770     69.9133
01600     0.6075      0.8200     0.8770     68.2094
01700     0.7221      0.7900     0.8770     68.3435
01800     0.5721      0.8000     0.8770     67.8805
01900     0.5166      0.8500     0.8770     69.0447
02000     0.5429      0.8500     0.8770     69.4035
02100     0.5475      0.8400     0.8770     68.3344
02200     0.4017      0.8700     0.8770     69.2257
02300     0.5100      0.8300     0.8770     68.5119
02400     0.5824      0.8000     0.8770     68.1833
02500     0.4827      0.8400     0.8806     69.8102
02600     0.4267      0.9100     0.8806     70.4044
02700     0.4474      0.8400     0.8806     68.9944
02800     0.4110      0.8800     0.8806     71.2025
02900     0.4672      0.8500     0.8806     68.9417
03000     0.4479      0.8500     0.8806     70.3509
03100     0.4003      0.9100     0.8806     69.4426
03200     0.4095      0.9000     0.8806     68.8775
03300     0.6901      0.7900     0.8806     69.7890
03400     0.6514      0.8300     0.8806     68.9428
03500     0.5150      0.8400     0.8806     68.2325
03600     0.6235      0.7900     0.8806     68.2297
03700     0.6753      0.8000     0.8806     68.8636
03800     0.6652      0.8100     0.8806     68.1229
03900     0.5382      0.8300     0.8806     68.4260
04000     0.6091      0.8500     0.8806     68.4789
04100     0.4329      0.8600     0.8806     68.4839
04200     0.4469      0.8800     0.8806     68.7677
04300     0.4882      0.8600     0.8806     68.2586
04400     0.5860      0.8300     0.8806     67.5900
04500     0.4307      0.8600     0.8806     67.9468
04600     0.4050      0.9000     0.8806     67.8559
04700     0.5068      0.8400     0.8806     68.1909
04800     0.4687      0.8900     0.8806     67.8341
04900     0.5342      0.8400     0.8806     69.0817
05000     0.5197      0.8500     0.8806     68.5137
05100     0.4047      0.9000     0.8806     69.9019
05200     0.3889      0.8900     0.8806     68.7468
05300     0.5970      0.8400     0.8806     68.7410
05400     0.5088      0.8500     0.8806     68.9665
05500     0.5542      0.8300     0.8806     69.7868
05600     0.5308      0.8300     0.8806     71.1158
05700     0.4415      0.8500     0.8806     69.0917
05800     0.5448      0.8200     0.8806     71.8371
05900     0.5005      0.8700     0.8806     68.9496
06000     0.6223      0.8500     0.8806     69.2633
06100     0.4999      0.8500     0.8806     69.1082
06200     0.6249      0.7900     0.8806     71.1584
06300     0.4756      0.8600     0.8806     68.6509
06400     0.5130      0.8700     0.8806     68.6596
06500     0.5174      0.8200     0.8806     68.2221
06600     0.5262      0.8100     0.8806     68.6652
06700     0.5034      0.8400     0.8806     68.4189
06800     0.3962      0.8900     0.8806     69.9394
06900     0.6038      0.8200     0.8806     69.5393
07000     0.4917      0.8500     0.8806     67.4164
07100     0.5317      0.8500     0.8806     67.4702
07200     0.5789      0.8200     0.8806     69.3943
07300     0.4788      0.8300     0.8806     70.4274
07400     0.3943      0.8800     0.8806     69.7953
07500     0.6517      0.7800     0.8806     68.5399
07600     0.6768      0.8200     0.8806     67.3121
07700     0.6646      0.7800     0.8806     68.4094
07800     0.5833      0.7800     0.8806     68.3736
07900     0.4479      0.8500     0.8806     68.6780
08000     0.3447      0.9000     0.8806     68.1786
08100     0.3133      0.9400     0.8806     70.3509
08200     0.7329      0.7600     0.8806     70.0570
08300     0.5053      0.8300     0.8806     68.5047
08400     0.3597      0.8900     0.8806     68.0964
08500     0.5847      0.8400     0.8806     68.0433
08501     0.5011      0.8600     0.8815     15.0186
08502     0.5574      0.8500     0.8815     14.9796
08503     0.4708      0.8700     0.8815     15.0101
08504     0.5055      0.8400     0.8815     14.9954
08505     0.6376      0.8100     0.8815     15.3629
08506     0.5987      0.8000     0.8815     15.0110
08507     0.4044      0.9100     0.8815     15.0523
08508     0.2693      0.9300     0.8815     15.0676
08509     0.3807      0.8900     0.8815     14.8914
08510     0.3627      0.8700     0.8815     15.1919
08511     0.5716      0.8300     0.8815     14.8065
08512     0.4712      0.8600     0.8815     15.0285
08513     0.5723      0.8000     0.8815     14.8841
08514     0.4432      0.8600     0.8815     15.0291
08515     0.4223      0.9000     0.8815     14.9899
08516     0.5085      0.8400     0.8815     14.8857
08517     0.5103      0.8600     0.8815     14.9551
08518     0.4888      0.8500     0.8815     14.9027
08519     0.5003      0.8500     0.8815     15.2309
08520     0.4569      0.8600     0.8815     14.7599
08521     0.6298      0.8100     0.8815     14.8330
08522     0.4772      0.8600     0.8815     15.2181
08523     0.4608      0.8600     0.8815     14.8988
08524     0.5154      0.8600     0.8815     15.0572
08525     0.4756      0.8500     0.8815     14.8044
08526     0.5602      0.8500     0.8815     14.8463
08527     0.4973      0.8300     0.8815     14.8089
08528     0.5038      0.8700     0.8815     14.8562
08529     0.4272      0.8900     0.8815     15.0146
08530     0.4192      0.8800     0.8815     14.8005
08531     0.4350      0.8600     0.8815     14.9932
08532     0.4399      0.8600     0.8815     14.8961
08533     0.6312      0.7800     0.8815     14.8785
08534     0.5689      0.8500     0.8815     14.8445
08535     0.4071      0.8800     0.8815     14.7770
08536     0.4615      0.8600     0.8815     15.2629
08537     0.5303      0.8000     0.8815     14.9782
08538     0.5614      0.8300     0.8815     14.7733
08539     0.5543      0.8600     0.8815     14.8791
08540     0.4756      0.8400     0.8815     14.8858
08541     0.4894      0.8700     0.8815     15.0681
08542     0.3339      0.8800     0.8815     15.0142
08543     0.4678      0.8500     0.8815     14.7475
08544     0.5227      0.8200     0.8815     14.7266
08545     0.4229      0.8500     0.8815     14.9597
08546     0.5427      0.8300     0.8815     14.9728
08547     0.5915      0.8200     0.8815     14.9624
08548     0.5540      0.8500     0.8815     14.6358
08549     0.5677      0.8100     0.8815     14.9910
08550     0.4654      0.8800     0.8815     14.8133
08551     0.5420      0.8200     0.8815     15.1329
08552     0.4946      0.8500     0.8815     14.8082
08553     0.4273      0.8800     0.8815     14.6685
08554     0.4467      0.8600     0.8815     14.8507
08555     0.2393      0.9500     0.8815     14.9186
08556     0.3689      0.9100     0.8824     15.0924
08557     0.6826      0.7600     0.8824     14.7405
08558     0.4566      0.8800     0.8824     14.7137
08559     0.5956      0.8100     0.8824     15.0488
08560     0.5452      0.8300     0.8824     15.3058
08561     0.3738      0.8700     0.8824     15.1948
08562     0.4864      0.8600     0.8824     15.0244
08563     0.4792      0.8500     0.8824     15.1332
08564     0.4281      0.8800     0.8824     15.1474
08565     0.4501      0.8500     0.8824     15.2575
08566     0.4908      0.8700     0.8824     15.1369
08567     0.4452      0.8800     0.8824     14.9742
08568     0.3302      0.9000     0.8824     15.0434
08569     0.6289      0.7800     0.8824     15.1096
08570     0.3819      0.8800     0.8824     14.9456
08571     0.5929      0.8400     0.8824     14.9120
08572     0.4479      0.8700     0.8824     14.9353
08573     0.3405      0.9500     0.8824     14.8348
08574     0.6239      0.8000     0.8824     15.0398
08575     0.4333      0.8700     0.8824     15.1406
08576     0.4332      0.8500     0.8824     15.2606
08577     0.4817      0.8700     0.8824     15.1145
08578     0.3980      0.8800     0.8824     15.1731
08579     0.4160      0.8800     0.8824     15.0088
08580     0.5776      0.8400     0.8824     15.3495
08581     0.5504      0.8300     0.8824     14.9731
08582     0.5239      0.8100     0.8824     15.0532
08583     0.5878      0.7600     0.8824     15.1856
08584     0.5243      0.8600     0.8824     15.0871
08585     0.4961      0.8500     0.8824     15.5432
08586     0.5476      0.8600     0.8824     16.0182
08587     0.4979      0.8300     0.8824     15.2196
08588     0.5955      0.8100     0.8824     15.4150
08589     0.6010      0.8100     0.8824     15.0969
08590     0.4034      0.8900     0.8824     16.1163
08591     0.3196      0.9200     0.8824     15.7452
08592     0.5498      0.8500     0.8824     15.6393
08593     0.4072      0.9200     0.8824     15.4551
08594     0.4615      0.8500     0.8824     15.4772
08595     0.5830      0.8100     0.8824     15.5895
08596     0.4870      0.8800     0.8824     15.5739
08597     0.5370      0.8400     0.8824     15.2005
08598     0.4949      0.8600     0.8824     15.1840
08599     0.3862      0.9000     0.8824     15.4161
08600     0.5588      0.8200     0.8824     15.3366
08601     0.4256      0.8800     0.8824     15.2911
08602     0.4723      0.8500     0.8824     14.9165
08603     0.3240      0.9100     0.8824     14.9153
08604     0.6623      0.8100     0.8824     14.9827
08605     0.5332      0.8300     0.8824     15.7900
08606     0.6519      0.8300     0.8824     15.7490
08607     0.5741      0.8500     0.8824     15.6087
08608     0.5433      0.8800     0.8824     15.0140
08609     0.5110      0.8200     0.8824     15.3920
08610     0.4194      0.8900     0.8824     16.4493
08611     0.4674      0.8600     0.8824     15.3054
08612     0.5939      0.8400     0.8824     15.6525
08613     0.5288      0.8500     0.8824     15.6018
08614     0.4468      0.8300     0.8824     15.8662
08615     0.6659      0.7900     0.8824     15.8785
08616     0.4367      0.8900     0.8824     15.3875
08617     0.5928      0.8100     0.8824     15.2614
08618     0.6494      0.8200     0.8824     15.2735
08619     0.3601      0.9100     0.8824     15.7035
08620     0.4083      0.8900     0.8824     15.7582
08621     0.4915      0.8800     0.8824     15.3015
08622     0.4914      0.8400     0.8824     15.1658
08623     0.5444      0.8800     0.8824     15.3982
08624     0.5543      0.8600     0.8824     15.1435
08625     0.4969      0.8600     0.8824     15.3488
08626     0.5764      0.8300     0.8824     14.9354
08627     0.3736      0.8900     0.8824     15.0707
08628     0.3938      0.9000     0.8824     15.0405
08629     0.6351      0.8300     0.8824     15.1410
08630     0.4405      0.8700     0.8824     15.2113
08631     0.5172      0.8600     0.8824     15.1019
08632     0.4453      0.8600     0.8824     15.0233
08633     0.4869      0.8400     0.8824     15.0822
08634     0.6469      0.7700     0.8824     15.5766
08635     0.5162      0.8700     0.8824     15.2838
08636     0.4338      0.8700     0.8824     14.8072
08637     0.6148      0.8200     0.8824     15.4458
08638     0.5233      0.8200     0.8824     14.9368
08639     0.4437      0.8800     0.8824     15.5322
08640     0.4808      0.8400     0.8824     15.8190
08641     0.3982      0.8800     0.8824     15.1856
08642     0.5236      0.8100     0.8824     15.3805
08643     0.4216      0.8800     0.8824     15.4214
08644     0.5229      0.8400     0.8824     15.1867
08645     0.4311      0.9000     0.8824     15.2795
08646     0.5692      0.8400     0.8824     14.9807
08647     0.4618      0.8500     0.8824     15.0691
08648     0.4314      0.8800     0.8824     14.9314
