Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.15, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c333c814-801d-4233-bad1-fbb256e6f487
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6865      0.0800     0.0761     18.4954
00100     2.0317      0.2800     0.3495     71.6913
00200     1.4932      0.5000     0.5199     76.4297
00300     1.2559      0.5800     0.5891     73.1461
00400     1.1774      0.6700     0.6439     74.6728
00500     0.9849      0.6700     0.6901     74.2102
00600     1.1367      0.6600     0.7054     73.1798
00700     1.0538      0.6200     0.7132     74.7053
00800     1.2429      0.6200     0.7141     77.0973
00900     1.2866      0.6400     0.7254     77.2199
01000     0.9811      0.7000     0.7377     79.4999
01100     0.8641      0.7100     0.7646     74.5234
01200     0.7951      0.7800     0.7646     74.5878
01300     0.9116      0.7200     0.7650     75.2999
01400     0.8786      0.7400     0.7674     76.6534
01500     0.8646      0.7700     0.7726     77.1560
01600     0.9953      0.6700     0.7726     74.3669
01700     0.7902      0.7800     0.7726     76.0933
01800     0.8654      0.7500     0.7770     73.7515
01900     0.8796      0.7000     0.7795     77.1403
02000     0.7209      0.8000     0.7795     78.5686
02100     0.9889      0.6800     0.7795     75.7963
02200     0.8487      0.7400     0.7795     73.3908
02300     0.8221      0.7400     0.7795     74.3249
02400     0.9125      0.7700     0.7796     77.3047
