Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.17, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ab75e667-28b6-4757-8dcc-e5124bc5fe86
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6865      0.0800     0.0778     18.2619
00100     2.0234      0.3000     0.3360     65.5308
00200     1.5120      0.5200     0.5072     64.6354
00300     1.2618      0.5800     0.5895     64.9602
00400     1.1057      0.6700     0.6312     65.5452
00500     1.0673      0.6200     0.6696     65.5999
00600     1.0211      0.6900     0.6951     69.7571
00700     1.0762      0.6300     0.7067     68.1336
00800     1.2714      0.6000     0.7067     68.0279
00900     1.1841      0.6300     0.7174     66.1720
01000     1.0156      0.6700     0.7277     65.3219
01100     0.7778      0.7500     0.7492     65.2237
01200     0.8088      0.7300     0.7531     69.3216
01300     0.9485      0.7300     0.7531     68.4909
01400     0.8859      0.7000     0.7697     69.9007
01500     0.9434      0.7300     0.7697     69.8070
01600     1.0500      0.6600     0.7697     68.7281
01700     0.7761      0.7800     0.7727     71.0742
01800     0.9177      0.7300     0.7727     66.7267
01900     0.8222      0.7000     0.7740     67.7982
02000     0.7732      0.8000     0.7740     64.5186
02100     0.9880      0.6900     0.7740     68.8315
02200     0.9172      0.7400     0.7740     65.9669
02300     0.8546      0.7600     0.7740     67.2057
02400     0.8735      0.7700     0.7740     65.7311
02500     0.7165      0.7900     0.7740     66.7910
02600     0.6507      0.7800     0.7860     65.7359
02700     0.8854      0.7000     0.7860     69.9050
02800     0.7747      0.7500     0.7860     68.2728
02900     0.7319      0.7400     0.7860     67.9467
03000     0.8571      0.7400     0.7860     74.0875
03100     0.5471      0.8600     0.7860     67.1044
03200     0.8527      0.7400     0.7993     69.5566
03300     0.8839      0.7300     0.7993     68.2800
03400     0.6364      0.8000     0.7993     67.4214
03500     0.7651      0.7600     0.7993     68.7428
03600     0.8075      0.7300     0.7993     66.8045
03700     0.9605      0.6800     0.8025     67.9350
03800     0.6957      0.7400     0.8025     70.8445
03900     0.6338      0.8200     0.8056     70.0229
04000     0.6631      0.7800     0.8056     64.3791
