Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.23, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
411672ec-bded-4861-801e-6731f12ded1e
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6865      0.0800     0.0860     17.7201
00100     2.0317      0.2800     0.3276     59.7149
00200     1.4932      0.5000     0.5094     61.8344
00300     1.2559      0.5800     0.5762     60.4073
00400     1.1774      0.6700     0.6231     62.3932
00500     0.9849      0.6700     0.6477     60.6049
00600     1.1367      0.6600     0.6841     59.7666
00700     1.0538      0.6200     0.6894     62.5011
00800     1.2429      0.6200     0.6894     60.5654
00900     1.2866      0.6400     0.7020     62.8480
01000     0.9811      0.7000     0.7020     60.8573
01100     0.8641      0.7100     0.7356     59.7536
01200     0.7951      0.7800     0.7356     63.2943
01300     0.9116      0.7200     0.7356     61.4480
01400     0.8786      0.7400     0.7511     58.3261
01500     0.8646      0.7700     0.7511     60.4204
01600     0.9953      0.6700     0.7511     59.0917
01700     0.7902      0.7800     0.7511     60.1971
01800     0.8654      0.7500     0.7540     60.5664
01900     0.8796      0.7000     0.7582     60.4072
02000     0.7209      0.8000     0.7582     63.5674
02100     0.9889      0.6800     0.7582     60.1056
02200     0.8487      0.7400     0.7582     59.9865
02300     0.8221      0.7400     0.7582     62.4946
02400     0.9125      0.7700     0.7582     60.8442
02500     0.7334      0.7900     0.7582     61.2760
02600     0.7064      0.7700     0.7582     62.4580
02700     0.8749      0.7600     0.7582     61.9167
02800     0.6727      0.8300     0.7582     60.8888
02900     0.7420      0.7900     0.7582     61.5159
03000     0.8500      0.7100     0.7582     60.0027
03100     0.6442      0.8000     0.7582     59.5210
03200     0.8342      0.7200     0.7582     61.6703
03300     0.7967      0.7300     0.7582     62.4561
03400     0.6422      0.8500     0.7582     61.5244
03500     0.8151      0.7300     0.7582     60.2593
03600     0.7427      0.7800     0.7582     61.7037
03700     0.8974      0.7200     0.7582     62.2264
03800     0.6524      0.7900     0.7582     61.0572
03900     0.7588      0.7400     0.7582     61.8587
04000     0.7506      0.7300     0.7582     59.9740
04100     0.5463      0.8500     0.7582     60.1678
04200     0.6538      0.8000     0.7582     61.9000
04300     0.9063      0.7500     0.7582     60.2578
04400     0.6134      0.8400     0.7582     60.1633
04500     0.6357      0.7900     0.7582     61.6810
04600     0.8285      0.7200     0.7582     58.6242
04700     0.7372      0.8100     0.7582     62.2930
04800     0.9191      0.7200     0.7582     59.3612
04900     0.8384      0.7300     0.7582     62.7417
05000     0.8265      0.6700     0.7582     62.0162
05100     0.7542      0.7700     0.7582     61.7251
05200     0.5416      0.8400     0.7582     60.2081
05300     0.9456      0.6800     0.7582     63.1770
05400     0.8438      0.7300     0.7582     58.9441
05500     0.7496      0.8100     0.7697     64.4499
05600     0.8068      0.7700     0.7697     59.6525
05700     0.6556      0.7800     0.7697     62.6651
05800     0.7358      0.8000     0.7697     58.5934
05900     0.7337      0.7900     0.7697     62.5288
06000     0.9065      0.7500     0.7697     62.3910
06100     0.8185      0.6800     0.7697     60.7796
06200     0.6497      0.8200     0.7845     62.5840
06300     0.6480      0.7700     0.7845     60.6023
06400     0.8784      0.7300     0.8036     59.8842
06500     0.5648      0.8100     0.8036     58.3986
06600     0.7537      0.7500     0.8036     60.7690
06700     0.8120      0.7400     0.8036     60.4236
06800     0.7527      0.7300     0.8036     60.1586
06900     0.8284      0.7400     0.8036     60.5911
07000     0.5423      0.8400     0.8036     60.7933
07100     0.8822      0.7000     0.8036     59.0483
07200     0.9179      0.7000     0.8036     61.1428
07300     0.6752      0.8000     0.8036     59.4225
07400     0.7288      0.8000     0.8036     60.0941
07500     0.7844      0.7500     0.8036     60.1730
07600     0.5086      0.8600     0.8036     59.6190
07700     0.6842      0.8000     0.8036     60.5880
07800     0.7126      0.7800     0.8036     62.1940
07900     0.5568      0.8300     0.8036     60.4587
08000     0.6706      0.8200     0.8036     58.9842
08100     0.6655      0.8100     0.8036     61.4051
08200     0.7078      0.7600     0.8036     63.2122
08300     0.7460      0.7700     0.8036     61.7219
