Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.25, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f56b8742-7faa-4e18-94eb-aabf97539e7b
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6448      0.1100     0.0814     15.8665
00100     1.9162      0.3300     0.3563     66.0275
00200     1.7231      0.4100     0.5004     65.0992
00300     1.1740      0.6200     0.5993     66.1101
00400     1.2839      0.6000     0.6152     70.4359
00500     1.2043      0.6400     0.6410     68.7467
00600     1.1171      0.6000     0.6750     67.1669
00700     1.2325      0.5600     0.6987     69.2761
00800     0.9114      0.7400     0.7032     67.2526
00900     1.0863      0.6600     0.7032     68.3527
01000     1.2157      0.6200     0.7109     74.3313
01100     1.1351      0.6200     0.7109     69.3210
01200     1.2387      0.6400     0.7358     70.8406
01300     0.9407      0.7200     0.7371     72.4112
01400     0.8996      0.7300     0.7371     71.3028
01500     1.0906      0.6300     0.7513     67.4417
01600     0.9233      0.7200     0.7518     72.6281
01700     0.8557      0.7200     0.7518     68.8758
01800     0.9529      0.7100     0.7589     68.7695
01900     0.9423      0.6600     0.7589     69.5396
02000     0.8752      0.7500     0.7589     67.0557
02100     0.8120      0.7600     0.7589     71.5931
02200     0.9891      0.7200     0.7589     69.8310
