Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.15, noise_injectionT=0.15, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
887e303b-c3bb-4d63-aec2-71bcb3b1ef57
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0701     18.0285   0.4322
00100     2.0219      0.3000     0.2839     63.6393   0.2684
00200     1.7659      0.4700     0.4015     67.1888   0.1575
00300     1.3122      0.5700     0.4908     66.9547   0.0923
00400     1.3246      0.5700     0.5355     68.1854   0.0510
00500     0.9232      0.6900     0.5958     67.7811   0.0228
00600     0.9690      0.7200     0.6157     67.8666   0.0021
00700     0.9786      0.7100     0.6091     66.7894   0.0000
00800     0.8860      0.7300     0.6714     67.8874   0.0000
00900     0.7883      0.7700     0.6616     67.4699   0.0000
01000     0.9545      0.7100     0.6818     67.4194   0.0000
01100     0.8838      0.6600     0.6518     67.5715   0.0000
01200     0.9678      0.6700     0.6708     67.0506   0.0000
01300     0.8210      0.7500     0.6933     68.0606   0.0000
01400     0.7779      0.7400     0.6763     66.4987   0.0000
01500     0.9068      0.7000     0.6954     68.0386   0.0000
01600     0.6894      0.7600     0.6939     67.0545   0.0000
01700     1.1811      0.6100     0.6991     67.5970   0.0000
01800     0.8005      0.7000     0.7392     67.7805   0.0000
