Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=1, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b7cc73e9-4070-41e2-afae-e7e30890a7fc
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.6734      0.1200     0.0888     11.3654   0.0000
00100     2.0403      0.3200     0.3072     41.8733   0.0000
00200     1.7274      0.4500     0.5162     41.5756   0.0000
00300     1.3923      0.5500     0.6231     41.3933   0.0000
00400     1.1026      0.6800     0.6599     42.3287   0.0000
00500     1.1207      0.7000     0.6912     41.8655   0.0000
00600     0.8752      0.7500     0.7179     41.9667   0.0000
00700     0.9654      0.7100     0.7250     41.4758   0.0000
00800     0.8001      0.7500     0.7543     42.1330   0.0000
00900     0.6823      0.7700     0.7674     41.9774   0.0000
01000     0.7874      0.7500     0.7634     41.4297   0.0000
01100     0.7170      0.8000     0.7624     41.6490   0.0000
01200     0.8568      0.7800     0.8074     41.5241   0.0000
01300     0.7932      0.7900     0.7877     42.0143   0.0000
01400     0.6854      0.8000     0.7827     41.2079   0.0000
01500     0.7832      0.7500     0.8059     41.4254   0.0000
01600     0.6497      0.8500     0.7964     41.3639   0.0000
01700     0.8297      0.7700     0.8183     42.4052   0.0000
01800     0.7563      0.8100     0.8271     42.1763   0.0000
01900     0.6302      0.8300     0.8175     41.9535   0.0000
02000     0.6737      0.7900     0.8242     41.8320   0.0000
02100     0.7889      0.7900     0.8254     43.1831   0.0000
02200     0.5496      0.8600     0.8274     41.9146   0.0000
02300     0.6501      0.8000     0.8233     41.2812   0.0000
02400     0.5035      0.8500     0.8307     41.6103   0.0000
02500     0.6430      0.8300     0.8329     42.0036   0.0000
02600     0.4847      0.8600     0.8395     41.5832   0.0000
02700     0.7080      0.7700     0.8323     41.7869   0.0000
