Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
beb2f360-c11a-4c21-816d-201bb816ac2c
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.1301      0.0600     0.1715     11.6908   0.4347
00100     1.9805      0.3000     0.4438     45.4773   0.3554
00200     1.3590      0.5300     0.5937     45.3293   0.2681
00300     1.0457      0.6600     0.6879     44.8249   0.1931
00400     0.8629      0.7800     0.7353     47.2240   0.1378
00500     0.8700      0.7200     0.7708     47.9104   0.0967
00600     0.7872      0.7700     0.7814     45.5361   0.0661
00700     0.7116      0.8000     0.8042     45.7526   0.0426
00800     0.5907      0.8200     0.8055     45.2790   0.0236
00900     0.5441      0.8300     0.8146     45.4877   0.0074
01000     0.4853      0.8700     0.8223     44.9863   0.0000
01100     0.7908      0.7400     0.8242     45.5082   0.0000
01200     0.5135      0.8600     0.8329     44.3908   0.0000
01300     0.5226      0.8500     0.8342     44.9560   0.0000
01400     0.5152      0.8600     0.8391     44.7444   0.0000
01500     0.5783      0.8200     0.8354     45.2107   0.0000
01600     0.5523      0.8200     0.8464     44.8983   0.0000
01700     0.6663      0.8300     0.8412     45.2240   0.0001
01800     0.7786      0.7500     0.8506     45.3677   0.0000
01900     0.6041      0.8200     0.8399     45.3931   0.0000
02000     0.4978      0.8800     0.8450     44.7520   0.0000
02100     0.3781      0.9000     0.8485     48.2559   0.0000
02200     0.5982      0.8000     0.8561     44.8484   0.0000
02300     0.5890      0.7600     0.8523     42.8771   0.0000
02400     0.4526      0.8800     0.8527     43.6470   0.0000
02500     0.4122      0.9100     0.8502     46.3774   0.0000
02600     0.3495      0.9200     0.8565     42.5365   0.0000
02700     0.4010      0.8700     0.8541     44.1354   0.0001
02800     0.4322      0.9000     0.8591     42.4998   0.0000
02900     0.4494      0.8700     0.8577     42.4235   0.0000
03000     0.4055      0.8700     0.8648     43.6075   0.0000
03100     0.3426      0.9300     0.8576     42.7262   0.0000
03200     0.4031      0.8500     0.8718     41.9328   0.0000
03300     0.3697      0.8900     0.8679     43.6446   0.0000
03400     0.3844      0.9000     0.8647     47.2627   0.0000
03500     0.4382      0.8700     0.8646     44.5615   0.0000
03600     0.4271      0.8800     0.8655     42.1695   0.0000
03700     0.3774      0.9000     0.8670     43.2154   0.0000
03800     0.2919      0.9200     0.8680     42.5130   0.0000
03900     0.4196      0.8700     0.8812     41.7858   0.0000
04000     0.3170      0.8900     0.8642     50.1332   0.0000
04100     0.4506      0.8800     0.8760     50.1579   0.0000
04200     0.3631      0.8900     0.8725     44.3577   0.0000
04300     0.2122      0.9500     0.8761     46.1822   0.0000
04400     0.4429      0.8800     0.8634     44.3482   0.0000
04500     0.4205      0.8800     0.8775     45.9442   0.0000
04600     0.2710      0.9100     0.8778     43.1770   0.0000
04700     0.5031      0.8400     0.8781     43.7848   0.0000
04800     0.3004      0.9100     0.8739     44.5703   0.0000
04900     0.3492      0.9000     0.8798     43.2949   0.0000
05000     0.4249      0.8700     0.8749     45.6204   0.0001
05100     0.3180      0.9000     0.8802     43.8638   0.0000
05200     0.3998      0.8800     0.8719     42.8142   0.0000
05300     0.3725      0.8900     0.8808     42.5504   0.0000
05400     0.3253      0.9100     0.8741     43.2931   0.0000
05500     0.3557      0.9100     0.8741     42.9383   0.0000
05600     0.2649      0.9300     0.8744     44.4873   0.0000
05700     0.3459      0.9100     0.8683     44.1322   0.0000
05800     0.2353      0.9500     0.8745     43.0589   0.0000
05900     0.4357      0.9000     0.8733     42.5290   0.0000
06000     0.2099      0.9600     0.8735     44.1448   0.0000
06100     0.2527      0.9400     0.8743     45.0364   0.0000
06200     0.2189      0.9400     0.8696     44.1765   0.0000
06300     0.2739      0.9200     0.8853     43.2482   0.0000
06400     0.4111      0.8800     0.8694     42.0257   0.0000
06500     0.3751      0.8800     0.8824     43.9397   0.0000
