Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f69389b9-063f-43d4-a824-861bb9655909
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.1994      0.0800     0.0782     13.3539   0.4340
00100     1.7150      0.4500     0.5150     56.2922   0.3461
00200     1.2735      0.6500     0.6010     55.4712   0.2570
00300     1.0737      0.6700     0.6694     55.2964   0.1880
00400     1.1067      0.6600     0.7395     51.4235   0.1358
00500     0.6934      0.7400     0.7687     52.0913   0.0969
00600     0.7441      0.7400     0.7688     54.3500   0.0670
00700     0.7233      0.7700     0.7981     52.9812   0.0438
00800     0.6882      0.7800     0.8137     57.2324   0.0250
00900     0.4681      0.8600     0.8213     53.2225   0.0095
01000     0.5614      0.8500     0.8205     53.3247   0.0000
01100     0.5825      0.8100     0.8296     54.5420   0.0000
01200     0.7642      0.7700     0.8189     56.2429   0.0000
01300     0.4959      0.8600     0.8424     54.7065   0.0000
01400     0.5807      0.7700     0.8428     55.5465   0.0000
01500     0.4310      0.8700     0.8355     52.3332   0.0000
01600     0.5221      0.8700     0.8467     54.3057   0.0000
01700     0.7031      0.7800     0.8336     56.6094   0.0001
01800     0.6012      0.8000     0.8452     56.0979   0.0000
01900     0.7259      0.7900     0.8514     56.7520   0.0000
02000     0.5300      0.8300     0.8513     53.9605   0.0000
02100     0.7102      0.7600     0.8594     59.2975   0.0000
02200     0.6141      0.8200     0.8558     53.5864   0.0000
02300     0.5308      0.8500     0.8519     52.8387   0.0000
