Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=None, quant_actNM=None, quant_inp=None, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
3d7c7fdc-4cb5-4ab8-bc51-2b1bb4dd8e6e
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3616      0.1000     0.0850     12.6099   0.4348
00100     1.8881      0.4500     0.4563     54.3534   0.3561
00200     1.2935      0.6800     0.5928     52.6746   0.2715
00300     1.3051      0.5600     0.6803     53.2882   0.2022
00400     0.8291      0.7600     0.7309     55.6844   0.1496
00500     1.0360      0.6800     0.7566     55.8863   0.1105
00600     0.7711      0.7500     0.7875     51.8131   0.0799
00700     0.6329      0.8000     0.8124     52.4284   0.0556
00800     0.6314      0.7900     0.7919     58.8790   0.0356
00900     0.6096      0.8000     0.8219     52.4700   0.0191
01000     0.7177      0.7700     0.8135     55.7189   0.0051
01100     0.7657      0.7600     0.8184     52.3437   0.0001
01200     0.5644      0.8700     0.8319     55.0295   0.0000
01300     0.5725      0.8000     0.8240     53.3019   0.0000
01400     0.4114      0.8800     0.8288     52.7998   0.0000
01500     0.5611      0.8300     0.8319     52.7111   0.0000
01600     0.4339      0.8300     0.8152     53.8015   0.0000
01700     0.5580      0.8300     0.8344     57.6322   0.0000
01800     0.5540      0.8200     0.8356     52.8931   0.0000
01900     0.5596      0.8200     0.8281     54.4619   0.0000
02000     0.5447      0.8100     0.8533     55.0864   0.0000
02100     0.5403      0.8200     0.8537     54.6365   0.0000
02200     0.5084      0.8100     0.8432     55.0663   0.0000
02300     0.4784      0.8400     0.8570     54.1144   0.0000
02400     0.5526      0.8400     0.8601     55.3231   0.0000
02500     0.5854      0.7800     0.8599     59.4922   0.0000
02600     0.5923      0.8100     0.8581     54.9140   0.0000
02700     0.5153      0.8500     0.8513     52.8554   0.0000
02800     0.3902      0.9300     0.8493     54.2449   0.0000
02900     0.5771      0.8300     0.8654     52.7891   0.0000
03000     0.4156      0.8800     0.8562     55.9378   0.0000
03100     0.3923      0.8900     0.8673     55.8648   0.0000
03200     0.4527      0.8500     0.8684     52.5403   0.0001
03300     0.4485      0.8900     0.8563     53.6405   0.0000
03400     0.5270      0.8100     0.8652     54.4575   0.0000
03500     0.3825      0.8700     0.8732     55.3798   0.0000
03600     0.4492      0.8600     0.8622     53.0829   0.0000
03700     0.4253      0.8900     0.8631     53.8367   0.0001
03800     0.4089      0.8500     0.8656     55.6587   0.0000
03900     0.3791      0.8800     0.8707     53.4037   0.0000
04000     0.3200      0.9000     0.8614     60.7111   0.0000
04100     0.4374      0.8600     0.8609     54.1515   0.0000
04200     0.4795      0.8900     0.8708     54.1101   0.0000
04300     0.4020      0.8900     0.8766     54.0897   0.0000
04400     0.2908      0.9300     0.8651     53.4938   0.0000
04500     0.4347      0.8800     0.8794     53.1133   0.0000
04600     0.4752      0.8800     0.8727     55.5031   0.0000
04700     0.3320      0.9100     0.8700     62.0674   0.0000
04800     0.2809      0.9100     0.8811     61.3885   0.0000
04900     0.4102      0.8700     0.8684     52.7148   0.0000
05000     0.4133      0.8700     0.8731     52.9423   0.0000
05100     0.2573      0.9200     0.8779     53.1488   0.0000
05200     0.4886      0.9000     0.8815     55.4483   0.0000
05300     0.2862      0.9300     0.8781     54.3572   0.0000
05400     0.5063      0.8700     0.8843     53.0813   0.0000
05500     0.3697      0.8900     0.8841     53.1027   0.0000
05600     0.3903      0.9100     0.8774     54.3501   0.0000
05700     0.3959      0.9100     0.8861     56.2215   0.0000
05800     0.4505      0.8700     0.8803     60.3015   0.0000
05900     0.3038      0.9300     0.8886     53.6150   0.0000
06000     0.3162      0.8900     0.8813     53.6748   0.0000
06100     0.3985      0.9000     0.8781     54.6874   0.0000
06200     0.4429      0.8700     0.8918     55.5535   0.0000
06300     0.2792      0.9200     0.8798     55.7966   0.0000
06400     0.3458      0.8800     0.8716     55.6456   0.0000
06500     0.3653      0.8800     0.8743     56.0870   0.0000
06600     0.3100      0.8800     0.8773     54.3034   0.0000
06700     0.3381      0.9000     0.8828     54.9672   0.0000
06800     0.3756      0.9000     0.8878     54.2794   0.0000
06900     0.4490      0.8300     0.8855     55.2334   0.0000
07000     0.4419      0.9000     0.8824     55.2286   0.0000
07100     0.2523      0.9400     0.8717     54.2520   0.0000
07200     0.3737      0.8900     0.8858     55.1075   0.0000
07300     0.2063      0.9400     0.8879     53.3699   0.0000
07400     0.5477      0.8500     0.8859     53.0668   0.0000
07500     0.4132      0.8700     0.8879     55.1965   0.0000
07600     0.4263      0.8600     0.8792     53.8958   0.0000
07700     0.3151      0.9100     0.8798     54.7093   0.0000
07800     0.3825      0.8900     0.8865     54.1371   0.0000
07900     0.2202      0.9400     0.8830     52.9459   0.0000
08000     0.3176      0.9100     0.8788     54.9445   0.0000
08100     0.3467      0.9100     0.8852     55.3528   0.0000
08200     0.4599      0.8700     0.8800     60.3484   0.0000
08300     0.2888      0.9300     0.8862     61.8843   0.0000
08400     0.2871      0.9100     0.8935     54.7458   0.0000
08500     0.3812      0.8700     0.8918     61.7451   0.0000
08600     0.2909      0.9200     0.8898     56.6896   0.0000
08700     0.1954      0.9500     0.8881     57.4223   0.0000
08800     0.4396      0.8500     0.8954     57.0432   0.0000
08900     0.2755      0.9200     0.8940     55.2130   0.0000
09000     0.3116      0.9100     0.9000     53.5150   0.0000
09100     0.3266      0.8700     0.8865     53.7432   0.0000
09200     0.2266      0.9300     0.8873     63.4955   0.0000
09300     0.4832      0.8400     0.8955     55.5602   0.0000
09400     0.3267      0.8900     0.8893     59.6826   0.0000
09500     0.2721      0.9300     0.8964     58.1626   0.0000
09600     0.3900      0.8900     0.8919     54.1092   0.0000
09700     0.2904      0.9200     0.8950     53.2803   0.0000
09800     0.3050      0.9000     0.8918     53.4454   0.0000
09900     0.3854      0.8900     0.8913     56.6534   0.0000
10000     0.3455      0.8800     0.8836     53.8976   0.0000
10100     0.2591      0.9300     0.8969     58.7060   0.0000
10200     0.3383      0.9000     0.8940     60.2750   0.0000
10300     0.2494      0.9000     0.9003     54.8159   0.0000
10400     0.3157      0.9200     0.8984     55.1428   0.0000
10500     0.1410      0.9900     0.8967     58.9626   0.0000
10600     0.3907      0.8800     0.8993     53.3528   0.0000
10700     0.2102      0.9300     0.8992     54.5802   0.0000
10800     0.2118      0.9500     0.9084     55.8705   0.0000
10900     0.2288      0.9000     0.9000     53.2809   0.0000
11000     0.2371      0.9300     0.9002     54.5542   0.0000
11100     0.2945      0.9100     0.9047     56.4622   0.0000
11200     0.2639      0.8900     0.9047     56.8391   0.0000
11300     0.2345      0.9300     0.9067     59.2212   0.0000
11400     0.2964      0.9400     0.9029     57.6679   0.0000
11500     0.2176      0.9400     0.9036     59.4223   0.0000
11600     0.2801      0.9100     0.9037     52.5438   0.0000
11700     0.2173      0.9600     0.8980     53.0371   0.0000
11800     0.2966      0.9300     0.8987     53.6264   0.0000
11900     0.1837      0.9400     0.9001     53.1374   0.0000
12000     0.2907      0.9100     0.9065     53.4263   0.0000
12100     0.3156      0.9200     0.8973     54.4594   0.0000
12200     0.2103      0.9500     0.8991     53.4037   0.0000
12300     0.2822      0.9300     0.9067     56.2817   0.0000
12400     0.2106      0.9300     0.9038     53.5228   0.0000
12500     0.2232      0.9400     0.9029     55.8487   0.0000
12600     0.1702      0.9700     0.9072     53.1612   0.0000
12700     0.1751      0.9600     0.9095     56.5069   0.0000
12800     0.3115      0.8900     0.9038     55.8529   0.0000
12900     0.2338      0.9100     0.9087     57.6402   0.0000
13000     0.2108      0.9500     0.9098     57.3079   0.0000
13100     0.3514      0.8900     0.9010     55.6512   0.0000
13200     0.3055      0.9100     0.9039     53.6389   0.0000
13300     0.2092      0.9400     0.9019     55.7299   0.0000
13400     0.2301      0.9500     0.9023     54.2150   0.0000
13500     0.2620      0.9400     0.9001     55.2329   0.0000
13600     0.1679      0.9600     0.9080     53.5271   0.0000
13700     0.2987      0.9000     0.9045     56.4013   0.0000
13800     0.2598      0.9100     0.9071     53.4471   0.0000
13900     0.2142      0.9500     0.9082     55.9766   0.0000
14000     0.1974      0.9500     0.8962     56.8263   0.0000
14100     0.2105      0.9500     0.9043     54.1875   0.0000
14200     0.2087      0.9400     0.9033     53.9759   0.0000
14300     0.1984      0.9500     0.9050     55.9151   0.0000
14400     0.2305      0.9400     0.9068     59.6804   0.0000
14500     0.2097      0.9500     0.9078     54.3175   0.0000
14600     0.1290      0.9700     0.9069     54.9048   0.0000
14700     0.2470      0.9400     0.9007     60.7806   0.0000
14800     0.1247      0.9600     0.9031     58.5076   0.0000
14900     0.3148      0.9100     0.9029     54.1355   0.0000
15000     0.2012      0.9500     0.9063     57.5157   0.0000
15100     0.1801      0.9600     0.9047     54.3569   0.0000
15200     0.2123      0.9500     0.9051     52.9228   0.0000
15300     0.2676      0.9300     0.9071     61.1932   0.0000
15400     0.2014      0.9500     0.9091     60.4653   0.0000
15500     0.2774      0.9300     0.9090     54.5804   0.0000
15600     0.2147      0.9300     0.8981     54.2042   0.0000
15700     0.1147      0.9900     0.9075     55.7864   0.0000
15800     0.2203      0.9600     0.9078     53.6400   0.0000
15900     0.3261      0.9000     0.9057     52.9991   0.0000
16000     0.1890      0.9400     0.9082     63.3605   0.0000
16100     0.1561      0.9500     0.9056     59.8910   0.0000
16200     0.2460      0.9400     0.9081     57.7593   0.0000
16300     0.2678      0.8900     0.9007     53.9240   0.0000
16400     0.1423      0.9500     0.9019     57.2006   0.0000
16500     0.2343      0.9600     0.9019     60.0885   0.0000
16600     0.1400      0.9700     0.9024     55.6026   0.0000
16700     0.1782      0.9500     0.9039     56.3869   0.0000
16800     0.3067      0.9000     0.9040     59.6088   0.0000
16900     0.2170      0.9400     0.9065     57.1667   0.0000
17000     0.3550      0.9200     0.9069     55.4652   0.0000
17100     0.3594      0.9000     0.9044     53.5842   0.0000
17200     0.1764      0.9500     0.9066     53.0487   0.0000
17300     0.1891      0.9600     0.9009     53.3429   0.0000
17400     0.2030      0.9600     0.8977     54.7760   0.0000
17500     0.2591      0.9400     0.8990     54.7390   0.0000
17600     0.1682      0.9600     0.9031     55.7316   0.0000
17700     0.1654      0.9600     0.9054     53.9821   0.0000
17800     0.1875      0.9400     0.9066     55.9277   0.0000
17900     0.2899      0.9300     0.9056     60.5385   0.0000
18000     0.1992      0.9600     0.9052     54.5784   0.0000
18100     0.1885      0.9300     0.9100     56.3021   0.0000
18200     0.1778      0.9500     0.8986     58.6421   0.0000
18300     0.1920      0.9500     0.9106     59.1821   0.0000
18400     0.1656      0.9500     0.9049     55.2391   0.0000
18500     0.1717      0.9500     0.9081     54.5208   0.0000
18600     0.2198      0.9300     0.9052     55.4042   0.0000
18700     0.2376      0.9100     0.9087     53.4524   0.0000
18800     0.1053      0.9800     0.9072     57.6569   0.0000
18900     0.2661      0.9400     0.9046     54.4332   0.0000
19000     0.1491      0.9700     0.9089     52.8375   0.0000
19100     0.0987      1.0000     0.9104     53.2694   0.0000
19200     0.2563      0.9300     0.8995     53.1581   0.0000
19300     0.3023      0.9400     0.9076     54.4508   0.0000
19400     0.1823      0.9600     0.9078     59.8932   0.0000
19500     0.2222      0.9500     0.9144     54.0653   0.0000
19600     0.1355      0.9800     0.9119     56.1210   0.0000
19700     0.1574      0.9600     0.9085     58.5129   0.0000
19800     0.3173      0.9200     0.9054     59.3832   0.0000
19900     0.2667      0.9100     0.9107     58.0792   0.0000
20000     0.2271      0.9400     0.9089     54.8869   0.0000
20100     0.2072      0.9300     0.9115     54.4393   0.0000
20199     0.2332      0.9600     0.9112     53.2364   0.0000
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.1960      0.9300     0.9102     13.4016   0.0000
00100     0.1383      0.9700     0.9150     53.8275   0.0000
00200     0.2367      0.9600     0.9140     53.6028   0.0000
00300     0.1447      0.9500     0.9178     57.4211   0.0000
00400     0.1940      0.9500     0.9169     55.3803   0.0000
00500     0.1454      0.9700     0.9151     52.8232   0.0000
00600     0.2034      0.9500     0.9161     52.8695   0.0000
00700     0.1613      0.9500     0.9168     52.3826   0.0000
00800     0.2431      0.9300     0.9175     52.9423   0.0000
00900     0.1512      0.9700     0.9164     52.7526   0.0000
01000     0.2870      0.9000     0.9156     52.8595   0.0000
01100     0.1983      0.9500     0.9173     53.4868   0.0000
01200     0.2017      0.9600     0.9168     58.8721   0.0000
01300     0.0837      0.9900     0.9141     64.2111   0.0000
01400     0.1746      0.9400     0.9127     54.4580   0.0000
01500     0.1616      0.9700     0.9139     54.0949   0.0000
01600     0.2723      0.9300     0.9139     56.5861   0.0000
01700     0.1377      0.9600     0.9150     55.4958   0.0000
01800     0.1934      0.9500     0.9153     56.1438   0.0000
01900     0.0938      0.9900     0.9151     52.9683   0.0000
02000     0.1504      0.9800     0.9164     54.1224   0.0000
02100     0.2652      0.9700     0.9156     54.4808   0.0000
02200     0.1504      0.9800     0.9155     57.0338   0.0000
02300     0.1753      0.9600     0.9160     53.6512   0.0000
02400     0.2108      0.9500     0.9160     55.5496   0.0000
02500     0.1578      0.9700     0.9158     52.7996   0.0000
02600     0.1538      0.9600     0.9141     56.0964   0.0000
02700     0.1473      0.9600     0.9154     53.2242   0.0000
02800     0.1337      0.9600     0.9157     54.2019   0.0000
02900     0.1275      0.9600     0.9177     53.4337   0.0000
03000     0.1565      0.9700     0.9144     59.0468   0.0000
03100     0.1339      0.9600     0.9163     53.3197   0.0000
03200     0.1298      0.9700     0.9126     59.4417   0.0000
03300     0.1430      0.9700     0.9151     55.0827   0.0000
03400     0.2172      0.9600     0.9160     56.1164   0.0000
03500     0.1404      0.9600     0.9163     57.2907   0.0000
03600     0.1788      0.9600     0.9129     53.1639   0.0000
03700     0.2288      0.9500     0.9111     53.2421   0.0000
03800     0.1410      0.9700     0.9151     52.9259   0.0000
03900     0.1385      0.9800     0.9151     53.3743   0.0000
04000     0.1934      0.9600     0.9124     54.4618   0.0000
04100     0.1402      0.9600     0.9165     55.1671   0.0000
04200     0.1087      0.9800     0.9135     56.7352   0.0000
04300     0.0696      0.9900     0.9150     52.8919   0.0000
04400     0.1106      0.9700     0.9126     53.2728   0.0000
04500     0.1313      0.9700     0.9135     53.9196   0.0000
04600     0.1151      0.9600     0.9149     58.6772   0.0000
04700     0.1445      0.9600     0.9151     54.3388   0.0000
04800     0.1620      0.9700     0.9119     59.9057   0.0000
04900     0.1703      0.9400     0.9116     53.3358   0.0000
05000     0.2015      0.9700     0.9122     53.6927   0.0000
05100     0.1860      0.9500     0.9125     55.7511   0.0000
05200     0.1414      0.9800     0.9158     57.9137   0.0000
05300     0.2010      0.9300     0.9099     55.6384   0.0000
05400     0.1520      0.9700     0.9108     56.5605   0.0000
05500     0.1272      0.9700     0.9103     53.3982   0.0000
05600     0.2807      0.9200     0.9125     58.5225   0.0000
05700     0.0999      0.9700     0.9160     59.8868   0.0000
05800     0.1446      0.9600     0.9160     59.1792   0.0000
05900     0.2457      0.9000     0.9165     57.9223   0.0000
06000     0.2062      0.9600     0.9155     56.8777   0.0000
06100     0.0906      0.9900     0.9149     53.6486   0.0000
06200     0.1478      0.9800     0.9172     53.0191   0.0000
06300     0.1172      0.9700     0.9174     52.9345   0.0000
06400     0.2625      0.9200     0.9186     53.6757   0.0000
06500     0.2099      0.9400     0.9191     63.8400   0.0000
06600     0.1518      0.9700     0.9187     57.9390   0.0000
06700     0.1249      0.9700     0.9153     56.6872   0.0000
06800     0.0852      0.9800     0.9186     54.0413   0.0000
06900     0.2148      0.9300     0.9198     55.7178   0.0000
07000     0.1376      0.9500     0.9184     53.4325   0.0000
07100     0.1579      0.9600     0.9195     58.8742   0.0000
07200     0.0966      0.9900     0.9149     53.3929   0.0000
07300     0.1904      0.9500     0.9170     53.0752   0.0000
07400     0.1190      0.9700     0.9177     55.2952   0.0000
07500     0.1484      0.9700     0.9130     57.3492   0.0000
07600     0.1822      0.9500     0.9157     57.1688   0.0000
07700     0.0987      0.9900     0.9152     57.8068   0.0000
07800     0.2033      0.9300     0.9120     56.6371   0.0000
07900     0.1285      0.9600     0.9151     56.4865   0.0000
08000     0.1341      0.9600     0.9134     55.5763   0.0000
08100     0.1301      0.9800     0.9169     56.8617   0.0000
08200     0.1578      0.9500     0.9153     57.7636   0.0000
08300     0.1525      0.9700     0.9154     58.5491   0.0000
08400     0.1513      0.9700     0.9131     57.7503   0.0000
08500     0.1419      0.9700     0.9146     56.1022   0.0000
08600     0.2033      0.9600     0.9126     56.9830   0.0000
08700     0.1287      0.9800     0.9139     58.5000   0.0000
08800     0.1384      0.9600     0.9123     57.5629   0.0000
08900     0.1163      0.9900     0.9138     56.8195   0.0000
09000     0.1351      0.9600     0.9168     57.2408   0.0000
09100     0.3498      0.9400     0.9172     57.8077   0.0000
09200     0.1023      0.9800     0.9153     57.2846   0.0000
09300     0.1278      0.9700     0.9152     56.1388   0.0000
09400     0.0960      0.9900     0.9167     55.0404   0.0000
09500     0.0735      0.9900     0.9135     55.0752   0.0000
09600     0.0723      1.0000     0.9184     58.6183   0.0000
09700     0.1762      0.9500     0.9164     57.5711   0.0000
09800     0.1543      0.9700     0.9158     57.6154   0.0000
09900     0.1194      0.9800     0.9149     57.7155   0.0000
Start testing:
Test Accuracy: 0.9077
