Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7666bf25-2e13-4840-b240-2c243bbacabd
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4456      0.0400     0.0746     15.2883   0.4331
00100     2.0835      0.3500     0.3632     52.4024   0.2706
00200     1.5323      0.5000     0.4841     52.4487   0.1574
00300     1.6192      0.5100     0.5670     52.5332   0.0907
00400     1.2226      0.5600     0.6457     54.4283   0.0505
00500     1.3937      0.5400     0.6857     52.5272   0.0232
00600     1.1392      0.6200     0.7172     53.3565   0.0034
00700     0.8428      0.7100     0.7183     52.8903   0.0001
00800     0.7608      0.7500     0.7255     53.2893   0.0000
00900     1.0125      0.6300     0.7455     51.9517   0.0000
01000     1.0981      0.6000     0.7585     53.6710   0.0000
01100     1.0358      0.7000     0.7526     54.0743   0.0000
01200     0.9331      0.7200     0.7594     52.6161   0.0000
01300     0.8620      0.7400     0.7440     53.9174   0.0000
01400     0.7065      0.7900     0.7708     52.3490   0.0000
01500     0.8099      0.7400     0.7659     52.2542   0.0000
01600     0.7309      0.7700     0.7885     51.9849   0.0000
01700     0.9070      0.6400     0.7797     53.0360   0.0000
01800     0.9999      0.6300     0.7944     52.4824   0.0000
01900     0.9988      0.6900     0.7745     52.8746   0.0000
02000     0.9928      0.6900     0.8037     53.6540   0.0000
02100     0.8399      0.7400     0.8011     53.3400   0.0000
02200     0.8641      0.6800     0.7939     52.6562   0.0000
02300     0.7795      0.8100     0.8122     52.6568   0.0001
02400     0.7505      0.7800     0.8029     53.6268   0.0000
02500     0.7806      0.7200     0.7997     54.2992   0.0000
02600     0.8226      0.6800     0.8043     52.3721   0.0000
02700     0.7367      0.7500     0.8081     53.7965   0.0000
02800     0.6696      0.7900     0.8035     52.4341   0.0000
02900     0.8474      0.7100     0.8118     53.2731   0.0000
03000     0.6560      0.8200     0.8071     51.6125   0.0000
03100     0.7626      0.7700     0.8138     52.7023   0.0000
03200     0.8512      0.7000     0.8151     52.3869   0.0000
03300     0.8665      0.7400     0.8191     53.3232   0.0000
03400     0.9082      0.7100     0.8082     53.1038   0.0000
03500     0.6800      0.7600     0.8087     52.9601   0.0000
03600     0.7712      0.7500     0.8180     52.5098   0.0000
03700     0.7004      0.7600     0.8002     53.7807   0.0000
03800     0.6985      0.7700     0.8160     54.8339   0.0000
03900     0.7151      0.7800     0.8274     53.4708   0.0000
04000     0.8477      0.7100     0.8156     53.1788   0.0000
04100     0.8027      0.7600     0.8194     53.4629   0.0000
04200     0.7753      0.7600     0.8076     53.7523   0.0000
04300     0.6286      0.8000     0.8197     53.3757   0.0000
04400     0.5337      0.8600     0.8236     54.9825   0.0000
04500     0.6583      0.8300     0.8162     52.8280   0.0000
04600     0.8912      0.7000     0.8143     52.4878   0.0000
04700     0.6767      0.7700     0.8207     53.5700   0.0000
04800     0.6517      0.7500     0.8340     53.2348   0.0000
04900     0.6996      0.7600     0.8282     53.2479   0.0000
05000     0.7917      0.7800     0.8330     53.3359   0.0000
05100     0.5162      0.8300     0.8326     52.6156   0.0000
05200     0.7063      0.7700     0.8281     53.7551   0.0000
05300     0.6572      0.7800     0.8378     53.5174   0.0000
05400     0.7563      0.7600     0.8382     53.6679   0.0000
05500     0.7888      0.7900     0.8329     53.9284   0.0000
05600     0.9270      0.7100     0.8383     55.1192   0.0000
05700     0.6963      0.7900     0.8334     54.4174   0.0000
05800     0.7788      0.7700     0.8333     53.5339   0.0000
05900     0.5587      0.8500     0.8318     53.4916   0.0000
06000     0.5397      0.8400     0.8248     53.9039   0.0000
06100     0.6280      0.7800     0.8347     53.2432   0.0000
06200     0.6950      0.7800     0.8391     53.6833   0.0000
06300     0.6249      0.7900     0.8361     53.1137   0.0000
06400     0.5856      0.7800     0.8258     53.1511   0.0000
06500     0.7859      0.7200     0.8342     55.6823   0.0000
06600     0.5211      0.8800     0.8302     53.9360   0.0000
06700     0.5485      0.8700     0.8267     54.3697   0.0000
06800     0.7149      0.8000     0.8302     54.0073   0.0000
06900     0.5516      0.8300     0.8405     54.9237   0.0000
07000     0.8006      0.7500     0.8348     53.2746   0.0000
07100     0.5723      0.8200     0.8450     54.4159   0.0000
07200     0.6958      0.7800     0.8418     52.0096   0.0000
07300     0.4578      0.8600     0.8508     55.5957   0.0000
07400     0.8349      0.7600     0.8447     53.0830   0.0000
07500     0.7368      0.7400     0.8447     53.1590   0.0000
07600     0.6322      0.8000     0.8480     53.2867   0.0000
07700     0.6899      0.8100     0.8347     54.9934   0.0000
07800     0.5985      0.8600     0.8477     53.4426   0.0000
07900     0.5439      0.8300     0.8390     53.4649   0.0000
08000     0.6157      0.8100     0.8441     53.3219   0.0000
08100     0.6617      0.7600     0.8489     54.2072   0.0000
