Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.2, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
751d202e-5e17-425e-aeea-79ae29829088
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0788     14.0181   0.4322
00100     2.0219      0.3000     0.2021     53.0019   0.2684
00200     1.7659      0.4700     0.2921     52.9645   0.1575
00300     1.3122      0.5700     0.3822     51.8321   0.0923
00400     1.3246      0.5700     0.4207     51.6844   0.0510
00500     0.9232      0.6900     0.4777     51.5185   0.0228
00600     0.9690      0.7200     0.4874     52.0071   0.0021
00700     0.9786      0.7100     0.5099     52.9932   0.0000
00800     0.8860      0.7300     0.5677     52.0184   0.0000
00900     0.7883      0.7700     0.5454     51.7159   0.0000
01000     0.9545      0.7100     0.5916     51.7465   0.0000
01100     0.8838      0.6600     0.5382     52.0549   0.0000
01200     0.9678      0.6700     0.5899     51.8353   0.0000
01300     0.8210      0.7500     0.5995     52.9776   0.0000
01400     0.7779      0.7400     0.5493     52.9157   0.0000
01500     0.9068      0.7000     0.5853     52.2806   0.0000
01600     0.6894      0.7600     0.5975     52.7062   0.0000
01700     1.1811      0.6100     0.6093     53.2701   0.0000
01800     0.8005      0.7000     0.6563     52.4199   0.0000
01900     1.1067      0.6200     0.6196     51.7616   0.0000
02000     0.8082      0.7200     0.6333     51.3845   0.0000
02100     0.9987      0.7000     0.6115     51.8496   0.0000
02200     1.1555      0.6300     0.5891     51.7427   0.0000
02300     0.7406      0.7800     0.6411     51.8743   0.0000
02400     0.7738      0.7300     0.6226     51.6680   0.0000
02500     0.8751      0.7000     0.6737     52.5244   0.0000
02600     0.8235      0.7300     0.6632     52.5610   0.0000
02700     0.7619      0.7100     0.6597     52.6369   0.0000
02800     0.8112      0.7100     0.6234     52.0083   0.0000
02900     0.9509      0.6900     0.6074     52.1763   0.0000
03000     0.7429      0.7700     0.6274     51.6492   0.0000
03100     0.9100      0.7200     0.6725     51.9510   0.0000
03200     0.7929      0.7500     0.6750     52.7651   0.0000
03300     0.6542      0.7600     0.6712     53.2179   0.0000
03400     0.7900      0.7900     0.6422     52.2529   0.0000
03500     0.7188      0.7400     0.6946     51.6001   0.0000
03600     0.8243      0.7400     0.6931     52.1502   0.0000
03700     0.7888      0.7400     0.6319     52.5125   0.0000
03800     0.8228      0.7100     0.6842     52.0143   0.0000
03900     0.7176      0.7900     0.6520     51.5613   0.0000
04000     0.7569      0.7300     0.6890     51.7092   0.0000
04100     0.6072      0.8500     0.6482     51.7721   0.0000
04200     0.8897      0.7200     0.6712     52.2793   0.0000
04300     0.6192      0.8400     0.6773     51.5629   0.0000
04400     0.6306      0.7900     0.6456     54.2610   0.0000
04500     0.5943      0.8100     0.6133     53.3651   0.0000
04600     0.8616      0.7000     0.6749     53.6232   0.0000
04700     0.7691      0.7700     0.6928     53.1503   0.0000
04800     0.7120      0.7800     0.6903     52.7175   0.0000
04900     0.6645      0.8000     0.6782     51.7128   0.0000
05000     0.8077      0.7600     0.6895     52.0838   0.0000
05100     0.7663      0.7700     0.6805     51.6322   0.0000
05200     0.7466      0.7700     0.6711     52.9712   0.0000
05300     0.7583      0.7400     0.6765     51.1718   0.0000
05400     0.4795      0.8300     0.7171     52.2322   0.0000
05500     0.6901      0.7900     0.6653     51.9393   0.0000
05600     0.7654      0.7800     0.6608     52.8219   0.0000
05700     0.5688      0.8100     0.6701     52.1925   0.0000
05800     0.7796      0.8000     0.6566     54.0429   0.0000
05900     0.6774      0.7700     0.6824     51.6576   0.0001
06000     0.7268      0.7500     0.6912     52.7509   0.0000
06100     0.6204      0.7900     0.6827     52.3035   0.0000
06200     0.7284      0.7900     0.6737     54.6521   0.0000
06300     0.5108      0.8300     0.6845     52.6661   0.0000
06400     0.6930      0.7700     0.6592     53.0131   0.0000
06500     0.7363      0.7600     0.6916     52.5388   0.0000
06600     0.9983      0.7400     0.6793     51.3174   0.0000
06700     0.5533      0.8300     0.7230     51.4437   0.0000
06800     0.7293      0.7400     0.7052     51.8312   0.0000
06900     0.5188      0.8900     0.6892     52.6616   0.0000
07000     0.5794      0.8100     0.6822     52.3928   0.0000
07100     0.8408      0.7500     0.6722     51.5938   0.0000
07200     0.6488      0.8300     0.6727     51.8906   0.0000
07300     0.5437      0.8300     0.6727     52.5462   0.0000
07400     0.5315      0.8100     0.6888     52.6799   0.0000
07500     0.5361      0.8100     0.7389     54.3497   0.0000
07600     0.7640      0.7600     0.6809     54.8059   0.0000
07700     0.6854      0.7900     0.6991     53.2126   0.0000
07800     0.6523      0.8100     0.6940     53.1542   0.0000
07900     0.5479      0.8000     0.6941     53.6038   0.0000
08000     0.7347      0.7500     0.6938     53.9915   0.0000
08100     0.4942      0.8600     0.6846     52.3792   0.0000
08200     0.4703      0.8500     0.6850     51.9875   0.0000
08300     0.5560      0.8300     0.7187     51.9008   0.0000
08400     0.7002      0.8000     0.6826     51.9947   0.0000
08500     0.7526      0.7600     0.6951     52.7283   0.0000
08600     0.6802      0.8200     0.7435     51.7932   0.0000
