Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.3, noise_injectionT=0.3, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ed7d3711-6fbd-4655-805a-11958484b97d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0817     17.2856   0.4322
00100     2.0219      0.3000     0.1322     71.3171   0.2684
00200     1.7659      0.4700     0.1682     73.2790   0.1575
00300     1.3122      0.5700     0.2165     70.2982   0.0923
00400     1.3246      0.5700     0.2506     70.9987   0.0510
00500     0.9232      0.6900     0.2916     72.0671   0.0228
00600     0.9690      0.7200     0.2666     72.3662   0.0021
00700     0.9786      0.7100     0.3012     71.0807   0.0000
00800     0.8860      0.7300     0.3159     71.2236   0.0000
00900     0.7883      0.7700     0.3033     72.8301   0.0000
01000     0.9545      0.7100     0.3548     71.4534   0.0000
01100     0.8838      0.6600     0.3300     70.5418   0.0000
01200     0.9678      0.6700     0.3519     71.8576   0.0000
01300     0.8210      0.7500     0.3695     70.0852   0.0000
01400     0.7779      0.7400     0.3263     67.0768   0.0000
01500     0.9068      0.7000     0.3575     69.8362   0.0000
01600     0.6894      0.7600     0.3769     70.9886   0.0000
01700     1.1811      0.6100     0.3951     71.2461   0.0000
01800     0.8005      0.7000     0.4157     69.1623   0.0000
01900     1.1067      0.6200     0.3834     68.8921   0.0000
02000     0.8082      0.7200     0.3778     68.7732   0.0000
02100     0.9987      0.7000     0.4019     66.7936   0.0000
02200     1.1555      0.6300     0.3983     67.4054   0.0000
02300     0.7406      0.7800     0.4156     71.6223   0.0000
02400     0.7738      0.7300     0.4259     68.0514   0.0000
02500     0.8751      0.7000     0.4373     70.5405   0.0000
02600     0.8235      0.7300     0.4652     68.0390   0.0000
02700     0.7619      0.7100     0.4351     66.5083   0.0000
02800     0.8112      0.7100     0.4116     67.8359   0.0000
02900     0.9509      0.6900     0.4295     68.7795   0.0000
03000     0.7429      0.7700     0.4440     70.0321   0.0000
03100     0.9100      0.7200     0.4814     69.9540   0.0000
03200     0.7929      0.7500     0.4992     68.3757   0.0000
03300     0.6542      0.7600     0.4615     71.0766   0.0000
03400     0.7900      0.7900     0.4625     67.1787   0.0000
03500     0.7188      0.7400     0.4933     72.8187   0.0000
03600     0.8243      0.7400     0.4834     70.1192   0.0000
03700     0.7888      0.7400     0.4327     68.2427   0.0000
03800     0.8228      0.7100     0.4584     67.3890   0.0000
03900     0.7176      0.7900     0.4684     69.1024   0.0000
04000     0.7569      0.7300     0.4844     68.6510   0.0000
04100     0.6072      0.8500     0.4684     70.8256   0.0000
04200     0.8897      0.7200     0.4573     70.1187   0.0000
04300     0.6192      0.8400     0.4662     70.5257   0.0000
04400     0.6306      0.7900     0.4608     70.8426   0.0000
04500     0.5943      0.8100     0.4376     72.0844   0.0000
04600     0.8616      0.7000     0.4481     70.1562   0.0000
04700     0.7691      0.7700     0.4880     69.5814   0.0000
04800     0.7120      0.7800     0.5063     70.2744   0.0000
04900     0.6645      0.8000     0.4823     69.5469   0.0000
05000     0.8077      0.7600     0.5105     71.5733   0.0000
05100     0.7663      0.7700     0.5099     73.0128   0.0000
05200     0.7466      0.7700     0.5133     71.2511   0.0000
05300     0.7583      0.7400     0.5126     72.0786   0.0000
05400     0.4795      0.8300     0.5180     70.7259   0.0000
05500     0.6901      0.7900     0.4882     69.6179   0.0000
05600     0.7654      0.7800     0.5121     69.3651   0.0000
05700     0.5688      0.8100     0.5154     70.1417   0.0000
05800     0.7796      0.8000     0.4917     69.1758   0.0000
05900     0.6774      0.7700     0.5148     69.2848   0.0001
06000     0.7268      0.7500     0.5010     69.4316   0.0000
06100     0.6204      0.7900     0.5164     70.2336   0.0000
06200     0.7284      0.7900     0.4968     71.1663   0.0000
06300     0.5108      0.8300     0.5150     70.9448   0.0000
06400     0.6930      0.7700     0.4901     70.7677   0.0000
06500     0.7363      0.7600     0.5543     68.9092   0.0000
06600     0.9983      0.7400     0.5098     72.9122   0.0000
06700     0.5533      0.8300     0.5084     71.5594   0.0000
06800     0.7293      0.7400     0.5428     71.9372   0.0000
06900     0.5188      0.8900     0.5424     70.0397   0.0000
07000     0.5794      0.8100     0.5371     72.1031   0.0000
07100     0.8408      0.7500     0.5212     71.8879   0.0000
07200     0.6488      0.8300     0.5320     69.5424   0.0000
07300     0.5437      0.8300     0.4939     71.7708   0.0000
07400     0.5315      0.8100     0.5131     70.3106   0.0000
07500     0.5361      0.8100     0.5502     72.4324   0.0000
07600     0.7640      0.7600     0.5110     69.8479   0.0000
07700     0.6854      0.7900     0.5587     71.2402   0.0000
07800     0.6523      0.8100     0.5344     70.1942   0.0000
07900     0.5479      0.8000     0.5841     70.8052   0.0000
08000     0.7347      0.7500     0.5317     70.0167   0.0000
08100     0.4942      0.8600     0.5502     70.0075   0.0000
08200     0.4703      0.8500     0.5685     68.2150   0.0000
08300     0.5560      0.8300     0.5600     71.8058   0.0000
08400     0.7002      0.8000     0.5372     68.8582   0.0000
08500     0.7526      0.7600     0.5543     69.6371   0.0000
08600     0.6802      0.8200     0.5576     69.3899   0.0000
08700     0.6029      0.8200     0.5324     70.9383   0.0000
08800     0.4690      0.8500     0.5479     73.0134   0.0000
08900     0.3237      0.9100     0.5500     69.1144   0.0000
09000     0.6128      0.7900     0.5620     69.5046   0.0000
09100     0.6455      0.8200     0.5464     69.3751   0.0000
09200     0.5249      0.8100     0.5478     68.5326   0.0000
09300     0.5230      0.8100     0.5333     68.5242   0.0000
09400     0.7153      0.7900     0.5558     69.2016   0.0000
09500     0.5974      0.8300     0.5642     69.2128   0.0000
