Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.3, noise_injectionT=0.3, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
216b31f5-2a50-4804-b18f-393fd1451dbf
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4456      0.0400     0.0779     13.6708   0.4331
00100     2.0835      0.3500     0.1394     51.8115   0.2706
00200     1.5323      0.5000     0.1784     54.5618   0.1574
00300     1.6192      0.5100     0.1851     51.4400   0.0907
00400     1.2226      0.5600     0.2087     53.1021   0.0505
00500     1.3937      0.5400     0.2621     52.7535   0.0232
00600     1.1392      0.6200     0.2676     52.5394   0.0034
00700     0.8428      0.7100     0.2688     51.7897   0.0001
00800     0.7608      0.7500     0.3031     51.6049   0.0000
00900     1.0125      0.6300     0.3049     51.6418   0.0000
01000     1.0981      0.6000     0.3024     52.2805   0.0000
01100     1.0358      0.7000     0.3212     51.9378   0.0000
01200     0.9331      0.7200     0.3130     52.4055   0.0000
01300     0.8620      0.7400     0.3137     53.9417   0.0000
01400     0.7065      0.7900     0.3522     56.1549   0.0000
01500     0.8099      0.7400     0.3723     52.8124   0.0000
01600     0.7309      0.7700     0.3660     55.9207   0.0000
01700     0.9070      0.6400     0.3516     55.6736   0.0000
01800     0.9999      0.6300     0.3942     52.0940   0.0000
01900     0.9988      0.6900     0.3966     55.4418   0.0000
02000     0.9928      0.6900     0.3854     52.1580   0.0000
02100     0.8399      0.7400     0.3921     54.8897   0.0000
02200     0.8641      0.6800     0.3806     56.1925   0.0000
02300     0.7795      0.8100     0.3900     55.8769   0.0001
02400     0.7505      0.7800     0.3993     54.8276   0.0000
02500     0.7806      0.7200     0.3827     53.2333   0.0000
02600     0.8226      0.6800     0.4033     56.0652   0.0000
02700     0.7367      0.7500     0.4239     52.5338   0.0000
02800     0.6696      0.7900     0.4288     55.0742   0.0000
02900     0.8474      0.7100     0.4339     51.5118   0.0000
03000     0.6560      0.8200     0.4325     55.1888   0.0000
03100     0.7626      0.7700     0.4176     52.2056   0.0000
03200     0.8512      0.7000     0.4335     53.1135   0.0000
03300     0.8665      0.7400     0.4261     56.8736   0.0000
03400     0.9082      0.7100     0.3942     51.5755   0.0000
03500     0.6800      0.7600     0.4385     53.7576   0.0000
03600     0.7712      0.7500     0.4410     51.4861   0.0000
03700     0.7004      0.7600     0.4396     52.2277   0.0000
03800     0.6985      0.7700     0.4501     52.6165   0.0000
03900     0.7151      0.7800     0.4676     52.1790   0.0000
04000     0.8477      0.7100     0.4556     51.6594   0.0000
04100     0.8027      0.7600     0.4336     51.3201   0.0000
04200     0.7753      0.7600     0.4447     51.7114   0.0000
04300     0.6286      0.8000     0.4781     55.4478   0.0000
04400     0.5337      0.8600     0.4569     51.7689   0.0000
04500     0.6583      0.8300     0.4649     51.5116   0.0000
04600     0.8912      0.7000     0.4716     52.1893   0.0000
04700     0.6767      0.7700     0.4735     54.7416   0.0000
04800     0.6517      0.7500     0.4769     51.9179   0.0000
04900     0.6996      0.7600     0.4631     51.3770   0.0000
05000     0.7917      0.7800     0.5061     51.5697   0.0000
05100     0.5162      0.8300     0.4665     52.9624   0.0000
05200     0.7063      0.7700     0.4785     53.3153   0.0000
05300     0.6572      0.7800     0.4747     56.9287   0.0000
05400     0.7563      0.7600     0.4712     54.3461   0.0000
05500     0.7888      0.7900     0.4912     57.4388   0.0000
05600     0.9270      0.7100     0.5026     55.1403   0.0000
05700     0.6963      0.7900     0.5008     52.9350   0.0000
05800     0.7788      0.7700     0.4870     53.7201   0.0000
05900     0.5587      0.8500     0.5127     53.6399   0.0000
06000     0.5397      0.8400     0.4803     55.1795   0.0000
06100     0.6280      0.7800     0.4928     52.0252   0.0000
06200     0.6950      0.7800     0.4610     52.1943   0.0000
06300     0.6249      0.7900     0.5219     51.7069   0.0000
06400     0.5856      0.7800     0.5102     55.5605   0.0000
06500     0.7859      0.7200     0.5154     52.1067   0.0000
06600     0.5211      0.8800     0.4852     55.6823   0.0000
06700     0.5485      0.8700     0.4900     52.8149   0.0000
06800     0.7149      0.8000     0.5146     56.1204   0.0000
06900     0.5516      0.8300     0.5138     53.5474   0.0000
07000     0.8006      0.7500     0.4985     51.5623   0.0000
07100     0.5723      0.8200     0.5352     57.5518   0.0000
07200     0.6958      0.7800     0.5191     53.9973   0.0000
07300     0.4578      0.8600     0.5410     55.8068   0.0000
07400     0.8349      0.7600     0.5326     51.9883   0.0000
07500     0.7368      0.7400     0.4955     51.9273   0.0000
07600     0.6322      0.8000     0.5238     52.2178   0.0000
07700     0.6899      0.8100     0.5423     53.1168   0.0000
07800     0.5985      0.8600     0.5314     54.1221   0.0000
07900     0.5439      0.8300     0.5306     56.7411   0.0000
08000     0.6157      0.8100     0.5399     53.8380   0.0000
08100     0.6617      0.7600     0.5419     54.1539   0.0000
08200     0.6875      0.8000     0.5190     56.9604   0.0000
08300     0.5814      0.8400     0.5146     53.3444   0.0000
08400     0.5804      0.8500     0.5566     52.0962   0.0000
08500     0.6427      0.7500     0.5175     55.1283   0.0000
08600     0.4069      0.8900     0.5116     51.5104   0.0000
08700     0.5348      0.8500     0.5128     51.5781   0.0000
08800     0.7001      0.7800     0.5386     51.5274   0.0000
08900     0.6305      0.7700     0.5490     55.4062   0.0000
09000     0.8195      0.7500     0.5380     54.2534   0.0000
09100     0.5036      0.8300     0.5360     51.8465   0.0000
09200     0.5096      0.8600     0.5445     57.2323   0.0000
09300     0.7079      0.7800     0.5614     54.6411   0.0000
09400     0.6342      0.7800     0.5812     52.4561   0.0000
09500     0.4871      0.8500     0.5548     53.3262   0.0000
09600     0.5745      0.8200     0.5734     52.4775   0.0000
09700     0.5613      0.8100     0.5584     55.5361   0.0000
09800     0.6119      0.8000     0.5517     52.4201   0.0000
09900     0.8053      0.7800     0.5514     51.3373   0.0000
10000     0.5591      0.7900     0.5470     52.3325   0.0000
10100     0.4983      0.8600     0.5607     51.3774   0.0000
10200     0.5332      0.8200     0.5511     53.7133   0.0000
10300     0.4376      0.8300     0.5668     51.9095   0.0000
10400     0.5376      0.8300     0.5735     52.7496   0.0000
10500     0.2902      0.9300     0.5627     54.5173   0.0000
10600     0.6256      0.7700     0.5569     55.4327   0.0000
10700     0.5792      0.8400     0.5647     54.0216   0.0000
10800     0.4014      0.8800     0.5634     51.9471   0.0000
10900     0.4467      0.8700     0.5575     53.3021   0.0000
11000     0.4723      0.8300     0.5523     54.9862   0.0000
11100     0.6036      0.8200     0.5538     53.3751   0.0000
11200     0.5455      0.8600     0.5698     54.0626   0.0000
11300     0.6502      0.7700     0.5582     52.2386   0.0000
11400     0.6948      0.7600     0.5352     53.4613   0.0000
11500     0.4493      0.8500     0.5613     52.3502   0.0000
11600     0.5339      0.8100     0.5571     51.5949   0.0000
11700     0.6414      0.7900     0.5526     53.0437   0.0000
11800     0.5651      0.8300     0.5512     54.4012   0.0000
11900     0.3987      0.8900     0.5664     53.9517   0.0000
12000     0.5796      0.8100     0.5480     51.3403   0.0000
12100     0.5822      0.8300     0.5617     58.2130   0.0000
12200     0.6309      0.7900     0.5536     51.7301   0.0000
12300     0.5028      0.8500     0.5541     51.5483   0.0000
12400     0.5566      0.7900     0.5512     52.1234   0.0000
12500     0.4939      0.8300     0.5526     53.7128   0.0000
12600     0.5029      0.8200     0.5535     55.0545   0.0000
12700     0.5639      0.8300     0.5489     54.6061   0.0000
12800     0.5873      0.8100     0.5490     52.2509   0.0000
12900     0.5246      0.8500     0.5473     53.2870   0.0000
13000     0.4925      0.8500     0.5566     54.6602   0.0000
13100     0.5824      0.8200     0.5553     56.5295   0.0000
13200     0.6500      0.8300     0.5452     53.3461   0.0000
13300     0.4914      0.8700     0.5311     54.0457   0.0000
13400     0.5401      0.8300     0.5551     51.2601   0.0000
13500     0.5025      0.8700     0.5553     55.1871   0.0000
13600     0.5089      0.8500     0.5653     52.5866   0.0000
13700     0.5633      0.8000     0.5561     55.0755   0.0000
13800     0.3652      0.8800     0.5417     51.9098   0.0000
13900     0.5022      0.9000     0.5580     53.1570   0.0000
14000     0.4594      0.8100     0.5643     59.2454   0.0000
14100     0.5883      0.7800     0.5600     51.8839   0.0000
14200     0.5259      0.8400     0.5647     55.9958   0.0000
14300     0.5331      0.8600     0.5516     55.6462   0.0000
14400     0.3982      0.8900     0.5406     57.0917   0.0000
14500     0.5307      0.8700     0.5434     52.1508   0.0000
14600     0.5232      0.8300     0.5478     54.1213   0.0000
14700     0.6459      0.7500     0.5580     53.7597   0.0000
14800     0.4626      0.8700     0.5622     56.3208   0.0000
14900     0.5215      0.8500     0.5471     52.7189   0.0000
15000     0.4935      0.8500     0.5481     52.4175   0.0000
15100     0.4106      0.8900     0.5455     53.7256   0.0000
15200     0.3596      0.9100     0.5287     53.4166   0.0000
