Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
291f15e8-407a-47bb-b164-d181c0704622
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.1753     16.5632   0.4327
00100     2.2082      0.2600     0.3388     57.1911   0.2722
00200     1.5858      0.5100     0.5200     53.6657   0.1601
00300     1.2952      0.5800     0.5896     56.1023   0.0907
00400     1.1752      0.6200     0.6417     54.7217   0.0480
00500     1.2171      0.6000     0.7081     53.9858   0.0202
00600     1.1566      0.6200     0.6995     53.6865   0.0002
00700     1.0832      0.6700     0.7360     53.7033   0.0000
00800     0.8763      0.7600     0.7257     53.6328   0.0000
00900     1.1062      0.6400     0.7321     54.7467   0.0000
01000     0.8145      0.7600     0.7310     52.4088   0.0000
01100     1.0568      0.6800     0.7565     53.6678   0.0000
01200     0.7532      0.8100     0.7715     54.8441   0.0000
01300     0.8931      0.6900     0.7719     53.0063   0.0000
01400     0.7933      0.7400     0.7759     54.0716   0.0000
01500     0.9377      0.7000     0.7610     53.3332   0.0000
01600     0.8302      0.7400     0.7799     53.8734   0.0000
01700     0.8492      0.7100     0.7910     53.4122   0.0000
01800     0.9794      0.7000     0.7871     53.4899   0.0000
01900     1.0058      0.7200     0.7856     53.4935   0.0000
02000     0.7626      0.7400     0.7715     53.7478   0.0000
02100     0.7813      0.7500     0.7666     54.7710   0.0000
02200     0.8311      0.7800     0.7816     52.9519   0.0000
02300     0.8937      0.7300     0.7957     53.4470   0.0000
02400     0.8940      0.7200     0.7903     53.2945   0.0000
02500     0.6750      0.8000     0.7911     54.5325   0.0000
02600     0.7287      0.7800     0.7985     53.2100   0.0000
02700     0.8355      0.7000     0.7891     53.6925   0.0000
02800     0.7285      0.7800     0.8022     53.6084   0.0000
02900     0.8202      0.7700     0.8056     54.3775   0.0000
03000     0.7751      0.7800     0.7983     52.6978   0.0000
03100     0.7958      0.7500     0.8046     54.9521   0.0000
03200     0.5906      0.8000     0.8067     54.5160   0.0000
03300     0.9448      0.6700     0.7946     53.5675   0.0000
03400     0.7344      0.7500     0.8098     53.0255   0.0000
03500     0.8087      0.6900     0.7947     53.5034   0.0000
03600     0.7234      0.7900     0.8000     53.2453   0.0000
03700     0.6777      0.8000     0.8172     55.0819   0.0000
03800     0.6243      0.8100     0.8144     52.6631   0.0000
03900     0.7530      0.7800     0.8095     53.8197   0.0000
04000     0.7321      0.7400     0.7988     54.7706   0.0000
04100     0.7506      0.7500     0.8111     54.7901   0.0000
04200     0.6514      0.7900     0.8195     52.7238   0.0000
04300     0.6077      0.7900     0.8124     54.4750   0.0000
04400     0.7660      0.7400     0.8192     54.2228   0.0000
04500     0.7155      0.7400     0.8072     54.0273   0.0000
04600     0.6687      0.8000     0.8206     54.7528   0.0000
04700     0.6707      0.7700     0.8250     55.6081   0.0000
