Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.3, noise_injectionT=0.3, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d7194c14-cf17-4e7e-9779-7921571a24bb
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0822     15.7634   0.4322
00100     2.0219      0.3000     0.1377     64.9575   0.2684
00200     1.7336      0.4600     0.1747     65.0503   0.1579
00300     1.3336      0.6100     0.2329     64.1166   0.0932
00400     1.1813      0.6700     0.2444     64.2329   0.0520
00500     0.8903      0.7200     0.2932     64.2249   0.0239
00600     1.0433      0.6600     0.2884     65.4605   0.0025
00700     0.8974      0.6900     0.2961     64.9520   0.0000
00800     0.8875      0.7400     0.3123     65.9660   0.0000
00900     0.7812      0.8100     0.3312     66.9646   0.0000
01000     0.9672      0.6800     0.3553     68.0555   0.0000
01100     0.9575      0.6800     0.3493     67.7122   0.0000
01200     0.9678      0.6600     0.3611     67.2444   0.0000
01300     0.8308      0.7400     0.3889     67.5329   0.0000
01400     0.8021      0.7500     0.3998     71.0998   0.0000
01500     0.8295      0.7300     0.3813     71.2135   0.0000
01600     0.7143      0.7800     0.3685     70.2277   0.0000
01700     1.2072      0.6600     0.4146     70.5892   0.0000
01800     0.7650      0.7600     0.4263     69.4102   0.0000
01900     1.0702      0.6800     0.3755     70.2227   0.0001
02000     0.8705      0.7000     0.3734     71.5104   0.0000
02100     1.0860      0.7000     0.4259     71.8237   0.0000
02200     1.1217      0.6600     0.4289     71.1594   0.0000
02300     0.8191      0.7800     0.4060     72.0355   0.0000
02400     0.7340      0.7400     0.4129     71.6203   0.0000
02500     0.8264      0.7200     0.3876     70.3213   0.0000
02600     0.9082      0.6800     0.4450     71.4224   0.0000
02700     0.7111      0.7900     0.4175     69.8537   0.0000
02800     0.7949      0.7200     0.4460     71.7595   0.0000
02900     0.9745      0.6700     0.3953     70.5419   0.0000
03000     0.6513      0.7900     0.4515     71.3431   0.0000
03100     0.9175      0.7400     0.4647     72.0082   0.0000
03200     0.8182      0.7500     0.4839     71.4913   0.0000
03300     0.6733      0.7500     0.4726     72.0204   0.0000
03400     0.8079      0.7900     0.4464     71.8098   0.0000
03500     0.7692      0.7400     0.4576     70.4746   0.0000
03600     0.8591      0.7400     0.4396     71.8202   0.0000
03700     0.8212      0.7600     0.4421     70.3777   0.0000
03800     0.8134      0.7700     0.4708     70.5861   0.0000
03900     0.6814      0.8000     0.4560     72.9444   0.0000
04000     0.7654      0.7300     0.4760     70.6084   0.0000
04100     0.6183      0.8300     0.4662     70.6356   0.0000
04200     0.8187      0.7600     0.4702     73.2288   0.0000
04300     0.7372      0.7600     0.4407     71.7930   0.0000
04400     0.5400      0.8700     0.4719     71.4798   0.0000
04500     0.5189      0.8400     0.4687     72.8776   0.0000
04600     0.8633      0.7300     0.4477     70.8989   0.0000
04700     0.8197      0.7700     0.4788     70.7871   0.0000
04800     0.7512      0.7700     0.5104     72.1522   0.0000
04900     0.7907      0.7000     0.4622     70.6590   0.0000
05000     0.8419      0.7500     0.4879     70.4034   0.0000
05100     0.8086      0.7600     0.4724     69.7574   0.0000
05200     0.7763      0.7800     0.5111     72.9753   0.0000
05300     0.8162      0.7600     0.4939     70.2980   0.0000
05400     0.5416      0.8300     0.4852     70.2764   0.0000
05500     0.7178      0.7800     0.4769     72.1691   0.0000
05600     0.7896      0.7400     0.4865     71.0217   0.0000
05700     0.5081      0.8500     0.5075     72.5772   0.0000
05800     0.8182      0.7300     0.4954     71.8925   0.0000
05900     0.6618      0.7700     0.5186     70.1620   0.0000
06000     0.6360      0.7900     0.5181     69.8592   0.0000
06100     0.6418      0.8300     0.4954     70.3952   0.0000
06200     0.7183      0.7900     0.5264     69.7611   0.0000
06300     0.4859      0.8300     0.5276     70.1173   0.0000
06400     0.5351      0.8500     0.5012     70.7347   0.0000
06500     0.7704      0.7700     0.5445     72.0488   0.0000
06600     0.8035      0.7700     0.4878     70.5004   0.0000
06700     0.6002      0.8100     0.5404     73.1025   0.0000
06800     0.7974      0.7400     0.5465     69.9559   0.0000
06900     0.4918      0.8800     0.5325     70.4883   0.0000
07000     0.5862      0.8300     0.5069     70.2906   0.0000
07100     0.9659      0.7100     0.5127     71.4696   0.0000
07200     0.6761      0.8200     0.5147     72.6240   0.0000
07300     0.6481      0.8100     0.5006     71.8290   0.0000
07400     0.6105      0.8100     0.4978     70.6015   0.0000
07500     0.5082      0.8600     0.5250     71.6862   0.0000
07600     0.8474      0.7400     0.4892     72.3218   0.0000
07700     0.7064      0.8200     0.5386     70.9296   0.0000
07800     0.6521      0.8100     0.5272     71.0216   0.0000
07900     0.5666      0.8200     0.5657     71.1778   0.0000
08000     0.6646      0.7600     0.5403     71.1984   0.0000
08100     0.4797      0.8600     0.5334     72.2129   0.0000
