Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.1, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c7c81549-8989-474b-8c21-76ccc268ce50
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.0949     16.6959   0.4327
00100     2.2082      0.2600     0.3360     54.6279   0.2722
00200     1.5858      0.5100     0.4704     53.8122   0.1601
00300     1.2952      0.5800     0.5395     52.7522   0.0907
00400     1.1752      0.6200     0.6230     53.1900   0.0480
00500     1.2171      0.6000     0.6714     56.0494   0.0202
00600     1.1566      0.6200     0.6692     56.2657   0.0002
00700     1.0832      0.6700     0.7092     53.6401   0.0000
00800     0.8763      0.7600     0.7154     53.4272   0.0000
00900     1.1062      0.6400     0.7072     53.3455   0.0000
01000     0.8145      0.7600     0.7115     53.6262   0.0000
01100     1.0568      0.6800     0.7364     54.4693   0.0000
01200     0.7532      0.8100     0.7644     54.7620   0.0000
01300     0.8931      0.6900     0.7498     54.6236   0.0000
01400     0.7933      0.7400     0.7563     54.1699   0.0000
01500     0.9377      0.7000     0.7492     56.3807   0.0000
01600     0.8302      0.7400     0.7578     57.5431   0.0000
01700     0.8492      0.7100     0.7525     57.3678   0.0000
01800     0.9794      0.7000     0.7717     55.9237   0.0000
01900     1.0058      0.7200     0.7640     53.9642   0.0000
02000     0.7626      0.7400     0.7511     53.5991   0.0000
02100     0.7813      0.7500     0.7480     54.5073   0.0000
02200     0.8311      0.7800     0.7651     55.6243   0.0000
02300     0.8937      0.7300     0.7783     55.6563   0.0000
02400     0.8940      0.7200     0.7688     56.7790   0.0000
02500     0.6750      0.8000     0.7706     56.0957   0.0000
02600     0.7287      0.7800     0.7805     55.0833   0.0000
02700     0.8355      0.7000     0.7761     57.0427   0.0000
02800     0.7285      0.7800     0.7815     54.8178   0.0000
02900     0.8202      0.7700     0.7911     57.3166   0.0000
03000     0.7751      0.7800     0.7880     56.9552   0.0000
03100     0.7958      0.7500     0.7950     53.9522   0.0000
03200     0.5906      0.8000     0.7929     57.4278   0.0000
03300     0.9448      0.6700     0.7809     56.7484   0.0000
03400     0.7344      0.7500     0.7968     56.4394   0.0000
03500     0.8087      0.6900     0.7712     56.4418   0.0000
03600     0.7234      0.7900     0.7873     54.1650   0.0000
03700     0.6510      0.7900     0.7958     57.9424   0.0000
03800     0.6003      0.8000     0.7940     54.3001   0.0000
03900     0.8510      0.7900     0.8011     54.4528   0.0000
04000     0.7003      0.7900     0.8051     54.5248   0.0000
04100     0.7600      0.7500     0.7946     54.9772   0.0000
04200     0.7420      0.7700     0.8048     55.3531   0.0000
04300     0.6560      0.8000     0.7975     54.6850   0.0000
04400     0.7644      0.7600     0.7951     54.1425   0.0000
04500     0.7265      0.7200     0.8002     54.8171   0.0000
04600     0.6015      0.8300     0.8034     54.7884   0.0000
04700     0.7384      0.7700     0.8024     52.8852   0.0000
04800     0.5955      0.8100     0.8046     54.4702   0.0000
04900     0.7430      0.7800     0.7928     54.7216   0.0000
05000     0.9874      0.6700     0.7978     58.4331   0.0000
05100     0.5908      0.8300     0.8162     53.3312   0.0000
05200     0.7844      0.7400     0.7942     53.6761   0.0000
05300     0.7037      0.7500     0.7946     55.3948   0.0000
05400     0.5460      0.8500     0.7802     54.4627   0.0000
05500     0.8365      0.7000     0.8191     54.2371   0.0000
05600     0.6901      0.7800     0.8028     53.6932   0.0000
05700     0.6241      0.8200     0.7875     55.1631   0.0000
05800     0.4433      0.8700     0.8183     55.0764   0.0000
05900     0.6629      0.8000     0.8051     57.9584   0.0000
06000     0.6141      0.8300     0.8203     53.3314   0.0000
06100     0.5688      0.7800     0.8143     54.9534   0.0000
06200     0.5717      0.8500     0.8061     54.3334   0.0000
06300     0.5901      0.8100     0.8253     56.9621   0.0000
06400     0.8414      0.7500     0.8045     54.8859   0.0000
06500     0.6254      0.8100     0.8145     53.1861   0.0000
06600     0.8782      0.6900     0.8064     53.6902   0.0000
06700     0.5856      0.8300     0.7691     53.7128   0.0000
06800     0.5227      0.8500     0.8100     53.6196   0.0000
06900     0.6414      0.7900     0.7598     58.9112   0.0000
07000     0.6777      0.8300     0.8233     53.6167   0.0000
07100     0.6522      0.8000     0.8289     54.0020   0.0000
07200     0.6258      0.7800     0.8162     55.2404   0.0000
07300     0.6081      0.7700     0.8113     58.4882   0.0000
07400     0.6745      0.7700     0.8212     55.1141   0.0000
07500     0.6738      0.7100     0.7860     55.6622   0.0000
07600     0.5566      0.8100     0.8109     53.8545   0.0000
07700     0.5902      0.8000     0.8078     54.2205   0.0000
07800     0.7001      0.8100     0.8138     55.5086   0.0000
07900     0.5784      0.7800     0.7766     54.3245   0.0000
08000     0.6596      0.7900     0.8105     55.2376   0.0000
08100     0.6279      0.8200     0.7689     54.5517   0.0000
