Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.2, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d5b49a0b-332e-476b-9dc7-9a7a22f77bab
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.1023     14.1487   0.4327
00100     2.2082      0.2600     0.2475     52.0146   0.2722
00200     1.5858      0.5100     0.3150     51.8223   0.1601
00300     1.2952      0.5800     0.3733     51.5244   0.0907
00400     1.1752      0.6200     0.4855     51.5256   0.0480
00500     1.2171      0.6000     0.5070     51.7113   0.0202
00600     1.1566      0.6200     0.5063     51.5871   0.0002
00700     1.0832      0.6700     0.5553     51.2278   0.0000
00800     0.8763      0.7600     0.5696     51.2526   0.0000
00900     1.1062      0.6400     0.5775     54.9598   0.0000
01000     0.8145      0.7600     0.6026     51.9230   0.0000
01100     1.0568      0.6800     0.6047     51.3560   0.0000
01200     0.7532      0.8100     0.6197     51.2254   0.0000
01300     0.8931      0.6900     0.6371     52.1643   0.0000
01400     0.7933      0.7400     0.6383     51.7842   0.0000
01500     0.9377      0.7000     0.6682     51.1232   0.0000
01600     0.8302      0.7400     0.6347     52.0322   0.0000
01700     0.8492      0.7100     0.6205     51.7997   0.0000
01800     0.9794      0.7000     0.6454     53.4755   0.0000
01900     1.0058      0.7200     0.6761     52.4347   0.0000
02000     0.7626      0.7400     0.6544     52.2789   0.0000
