Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.1, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d48a9d61-baa0-4a9d-a668-1bc165da7453
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4456      0.0400     0.0802     16.8734   0.4331
00100     2.0835      0.3500     0.3290     69.1310   0.2706
00200     1.5323      0.5000     0.4562     66.3091   0.1574
00300     1.6192      0.5100     0.5357     66.4238   0.0907
00400     1.2226      0.5600     0.6039     67.7733   0.0505
00500     1.3937      0.5400     0.6641     67.7548   0.0232
00600     1.1392      0.6200     0.6710     67.4691   0.0034
00700     0.8428      0.7100     0.7049     69.7940   0.0001
00800     0.7608      0.7500     0.7039     70.9251   0.0000
00900     1.0125      0.6300     0.7312     69.8917   0.0000
01000     1.0981      0.6000     0.7365     68.8131   0.0000
01100     1.0358      0.7000     0.7457     68.0697   0.0000
01200     0.9331      0.7200     0.7357     68.4828   0.0000
01300     0.8769      0.7600     0.7314     68.0253   0.0000
01400     0.7636      0.7600     0.7476     67.3362   0.0000
01500     0.8223      0.7400     0.7486     68.3234   0.0000
01600     0.7303      0.7900     0.7645     67.9403   0.0000
01700     0.8397      0.6800     0.7572     68.2199   0.0001
01800     0.9297      0.7400     0.7750     67.7437   0.0000
01900     0.9517      0.7100     0.7633     71.4116   0.0000
02000     0.8341      0.7100     0.7823     74.7781   0.0000
02100     0.8612      0.7300     0.7709     74.2380   0.0000
02200     0.9385      0.6500     0.7581     70.4059   0.0000
02300     0.8007      0.7700     0.7757     69.1162   0.0000
02400     0.8286      0.7600     0.7894     68.9219   0.0000
02500     0.7692      0.7500     0.7893     68.9258   0.0000
02600     0.9334      0.6900     0.7796     69.0552   0.0000
02700     0.8615      0.7300     0.7839     70.3645   0.0000
02800     0.7380      0.7200     0.7340     68.1378   0.0000
02900     0.8310      0.7500     0.7833     69.7588   0.0000
03000     0.6275      0.8500     0.7697     69.5460   0.0000
03100     0.6787      0.8100     0.7901     69.5923   0.0000
03200     0.9763      0.6900     0.7488     68.3086   0.0000
03300     0.8189      0.7600     0.7947     69.1118   0.0000
03400     0.9247      0.7000     0.7729     69.2077   0.0000
03500     0.7433      0.7200     0.7826     68.8670   0.0000
03600     0.7924      0.7400     0.7910     68.6535   0.0000
03700     0.6678      0.7100     0.7512     68.5260   0.0000
03800     0.5825      0.7900     0.8083     68.8452   0.0000
03900     0.6762      0.7500     0.7919     68.7361   0.0000
04000     0.8006      0.7100     0.7717     68.0400   0.0000
04100     0.7863      0.7500     0.7868     68.3335   0.0000
04200     0.6371      0.8000     0.8058     69.8029   0.0000
04300     0.6579      0.7900     0.7419     68.2402   0.0000
04400     0.6004      0.8400     0.7947     68.3355   0.0000
04500     0.6636      0.8400     0.7934     68.4665   0.0000
04600     0.8834      0.6800     0.8019     68.5245   0.0000
04700     0.6553      0.8000     0.8046     68.4187   0.0000
04800     0.5249      0.8400     0.8102     68.2860   0.0000
04900     0.8073      0.7400     0.8177     69.3820   0.0000
05000     0.8129      0.7400     0.8233     69.9482   0.0000
05100     0.5370      0.8000     0.8230     68.9004   0.0000
05200     0.7530      0.7300     0.8184     69.4073   0.0000
