Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.25, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
edb98bee-f3c7-462d-b4cf-633c2970f4c3
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.1753     19.5126   0.4327
00100     2.2082      0.2600     0.3388     67.9339   0.2722
00200     1.5858      0.5100     0.5200     68.1153   0.1601
00300     1.2952      0.5800     0.5896     68.3380   0.0907
00400     1.1752      0.6200     0.6417     72.1847   0.0480
00500     1.2171      0.6000     0.7081     69.2656   0.0202
00600     1.1566      0.6200     0.6995     70.9964   0.0002
00700     1.0832      0.6700     0.7360     71.4048   0.0000
00800     0.8763      0.7600     0.7257     70.6213   0.0000
00900     1.1062      0.6400     0.7321     67.5439   0.0000
01000     0.8145      0.7600     0.7310     70.8582   0.0000
01100     1.0568      0.6800     0.7565     66.6182   0.0000
01200     0.7532      0.8100     0.7715     67.1394   0.0000
01300     0.8931      0.6900     0.7719     65.8259   0.0000
01400     0.7933      0.7400     0.7759     70.2983   0.0000
01500     0.9377      0.7000     0.7610     70.2384   0.0000
01600     0.8302      0.7400     0.7799     69.3001   0.0000
01700     0.8492      0.7100     0.7910     70.0165   0.0000
01800     0.9794      0.7000     0.7871     68.0155   0.0000
01900     1.0058      0.7200     0.7856     65.6242   0.0000
02000     0.7626      0.7400     0.7715     66.7876   0.0000
02100     0.7813      0.7500     0.7666     66.2254   0.0000
02200     0.8311      0.7800     0.7816     71.1351   0.0000
02300     0.8937      0.7300     0.7957     66.4251   0.0000
02400     0.8940      0.7200     0.7903     70.9670   0.0000
02500     0.6750      0.8000     0.7911     69.5008   0.0000
02600     0.7287      0.7800     0.7985     68.3529   0.0000
02700     0.8355      0.7000     0.7891     70.7805   0.0000
02800     0.7285      0.7800     0.8022     67.3072   0.0000
02900     0.8202      0.7700     0.8056     69.3529   0.0000
03000     0.7751      0.7800     0.7983     72.3556   0.0000
03100     0.7958      0.7500     0.8046     71.6111   0.0000
03200     0.5906      0.8000     0.8067     68.1522   0.0000
03300     0.9448      0.6700     0.7946     71.8213   0.0000
03400     0.7344      0.7500     0.8098     70.5420   0.0000
03500     0.8087      0.6900     0.7947     68.7387   0.0000
03600     0.7234      0.7900     0.8000     71.4223   0.0000
03700     0.6510      0.7900     0.8177     72.8956   0.0000
03800     0.6003      0.8000     0.8096     71.0266   0.0000
