Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.25, noise_injectionT=0.15, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
55821c88-89c5-4ae8-b0aa-6eed950aab72
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0692     18.6665   0.4322
00100     2.0219      0.3000     0.2704     74.4248   0.2684
00200     1.7336      0.4600     0.3978     73.8797   0.1579
00300     1.3336      0.6100     0.4972     72.2746   0.0932
00400     1.1813      0.6700     0.5533     75.3574   0.0520
00500     0.8903      0.7200     0.6189     73.5038   0.0239
00600     1.0433      0.6600     0.5968     76.3882   0.0025
00700     0.8974      0.6900     0.6153     72.5288   0.0000
00800     0.8875      0.7400     0.6768     76.1175   0.0000
00900     0.7812      0.8100     0.6573     70.6796   0.0000
01000     0.9672      0.6800     0.6881     71.5331   0.0000
01100     0.9575      0.6800     0.6629     73.4326   0.0000
01200     0.9678      0.6600     0.6496     71.2988   0.0000
01300     0.8308      0.7400     0.6951     72.8966   0.0000
01400     0.8021      0.7500     0.7000     66.7694   0.0000
01500     0.8295      0.7300     0.7133     70.4603   0.0000
01600     0.7143      0.7800     0.6929     71.5698   0.0000
01700     1.2072      0.6600     0.6667     70.4696   0.0000
01800     0.7650      0.7600     0.7016     71.6076   0.0000
01900     1.0702      0.6800     0.7133     72.1623   0.0001
02000     0.8705      0.7000     0.6734     73.1028   0.0000
02100     1.0860      0.7000     0.7341     71.6647   0.0000
