Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.25, noise_injectionT=0.2, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6ce6da24-5bfd-4761-a44c-a7d12d62b6f2
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0785     16.9949   0.4322
00100     2.0219      0.3000     0.2083     70.6149   0.2684
00200     1.7336      0.4600     0.2825     70.5564   0.1579
00300     1.3336      0.6100     0.4062     71.2951   0.0932
00400     1.1813      0.6700     0.4622     73.7437   0.0520
00500     0.8903      0.7200     0.5166     72.2822   0.0239
00600     1.0433      0.6600     0.4800     73.8415   0.0025
00700     0.8974      0.6900     0.5020     71.4367   0.0000
00800     0.8875      0.7400     0.5513     72.5594   0.0000
00900     0.7812      0.8100     0.5382     71.7484   0.0000
01000     0.9672      0.6800     0.6053     71.8140   0.0000
01100     0.9575      0.6800     0.5664     72.6810   0.0000
01200     0.9678      0.6600     0.5513     71.5413   0.0000
01300     0.8308      0.7400     0.6080     73.0922   0.0000
01400     0.8021      0.7500     0.6080     70.9405   0.0000
01500     0.8295      0.7300     0.6117     69.7887   0.0000
01600     0.7143      0.7800     0.5881     73.1293   0.0000
01700     1.2072      0.6600     0.5979     72.6431   0.0000
01800     0.7650      0.7600     0.6105     72.3779   0.0000
01900     1.0702      0.6800     0.6180     71.0026   0.0001
02000     0.8705      0.7000     0.5726     69.3921   0.0000
02100     1.0860      0.7000     0.6319     70.6389   0.0000
02200     1.1217      0.6600     0.6026     72.8631   0.0000
02300     0.7646      0.7600     0.6205     72.5996   0.0000
02400     0.7758      0.7200     0.6102     70.6089   0.0000
02500     0.8332      0.7200     0.6327     70.3256   0.0000
02600     0.9178      0.7300     0.6341     70.6755   0.0000
02700     0.7722      0.7800     0.6261     71.0114   0.0000
02800     0.9342      0.7400     0.6220     70.8251   0.0000
02900     0.9562      0.6600     0.5997     72.1147   0.0000
03000     0.6492      0.7900     0.6665     71.5007   0.0000
03100     0.9449      0.7100     0.6422     70.7746   0.0000
03200     0.7375      0.7900     0.6382     74.3830   0.0000
03300     0.6211      0.7900     0.6425     72.3159   0.0000
03400     0.7099      0.7700     0.6270     72.2119   0.0000
03500     0.8088      0.7300     0.6292     70.1813   0.0000
03600     0.8279      0.7400     0.6378     71.7033   0.0000
03700     0.7426      0.7800     0.5728     69.3559   0.0000
03800     0.8874      0.6900     0.6400     70.7618   0.0000
03900     0.7408      0.7900     0.6320     70.3908   0.0000
04000     0.7748      0.7100     0.6410     71.6741   0.0000
04100     0.6701      0.7800     0.6366     71.3898   0.0000
04200     0.8634      0.7300     0.6784     69.6037   0.0000
04300     0.6950      0.8100     0.6667     70.1134   0.0000
04400     0.5855      0.8300     0.6571     71.0140   0.0000
04500     0.5508      0.8000     0.6374     70.3307   0.0000
04600     0.8635      0.7100     0.6213     72.1121   0.0000
04700     0.7689      0.7500     0.6545     70.0137   0.0000
04800     0.7161      0.8100     0.6431     70.9840   0.0000
04900     0.7382      0.7600     0.6337     70.0566   0.0000
