Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
8b50e351-9386-4ad0-9594-d53b919238e3
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.1753     16.7819   0.4327
00100     2.2082      0.2600     0.3388     68.4247   0.2722
00200     1.5858      0.5100     0.5200     67.8385   0.1601
00300     1.2952      0.5800     0.5896     68.1553   0.0907
00400     1.1752      0.6200     0.6417     68.1660   0.0480
00500     1.2171      0.6000     0.7081     67.5687   0.0202
00600     1.1566      0.6200     0.6995     67.1515   0.0002
00700     1.0832      0.6700     0.7360     67.1515   0.0000
00800     0.8763      0.7600     0.7257     68.0862   0.0000
00900     1.0936      0.6200     0.7377     68.4170   0.0000
01000     0.8029      0.7500     0.7395     68.9911   0.0000
01100     1.0350      0.6700     0.7508     68.6606   0.0000
01200     0.8526      0.7300     0.7653     67.8547   0.0000
01300     0.7969      0.7500     0.7684     68.3169   0.0000
01400     0.7841      0.7600     0.7757     67.2307   0.0001
01500     1.0321      0.6900     0.7595     68.4903   0.0000
01600     0.8406      0.7000     0.7840     68.1529   0.0000
01700     0.8770      0.7300     0.7838     68.5515   0.0000
01800     0.9586      0.6600     0.7877     66.9268   0.0000
01900     0.9182      0.7300     0.7863     67.3063   0.0000
02000     0.7822      0.7900     0.7602     67.1358   0.0000
02100     0.7919      0.7500     0.7659     67.8789   0.0000
02200     0.9275      0.7000     0.7894     67.7066   0.0000
02300     1.0386      0.6900     0.7930     67.4674   0.0000
02400     0.8490      0.7500     0.7929     68.3405   0.0000
02500     0.6893      0.7800     0.7812     67.7666   0.0000
02600     0.6624      0.8100     0.7719     67.5421   0.0000
02700     0.7434      0.7500     0.8049     68.9081   0.0000
02800     0.6970      0.8100     0.7963     67.9885   0.0000
02900     0.8388      0.7500     0.8049     68.6576   0.0000
03000     0.7353      0.8100     0.8201     67.9745   0.0000
03100     0.7694      0.7000     0.8115     67.9458   0.0000
03200     0.6626      0.7800     0.8043     68.2798   0.0000
03300     0.7995      0.7400     0.8009     67.8752   0.0000
03400     0.7110      0.7600     0.8053     68.0717   0.0000
03500     0.8232      0.7600     0.7991     67.9680   0.0000
