Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
17a195d6-261c-470a-a685-6ef0230571f3
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0671     13.7727   0.4322
00100     2.0219      0.3000     0.3625     52.8938   0.2684
00200     1.7659      0.4700     0.5122     53.9410   0.1575
00300     1.3122      0.5700     0.5789     53.4140   0.0923
00400     1.3246      0.5700     0.6278     54.4030   0.0510
00500     0.9232      0.6900     0.6787     52.8727   0.0228
00600     0.9690      0.7200     0.7191     51.7340   0.0021
00700     0.9786      0.7100     0.7235     51.6587   0.0000
00800     0.8860      0.7300     0.7465     53.0095   0.0000
00900     0.7883      0.7700     0.7504     51.6267   0.0000
01000     0.9545      0.7100     0.7515     53.1241   0.0000
01100     0.8838      0.6600     0.7558     54.5765   0.0000
01200     0.9678      0.6700     0.7598     53.6623   0.0000
01300     0.8210      0.7500     0.7763     55.7043   0.0000
01400     0.7779      0.7400     0.7768     52.3951   0.0000
01500     0.9068      0.7000     0.7743     55.6980   0.0000
01600     0.6894      0.7600     0.7937     53.8934   0.0000
01700     1.1811      0.6100     0.7661     54.1895   0.0000
01800     0.8005      0.7000     0.7862     51.4510   0.0000
01900     1.1067      0.6200     0.7970     55.1273   0.0000
02000     0.8082      0.7200     0.7734     52.0210   0.0000
02100     0.9987      0.7000     0.7978     51.7570   0.0000
02200     1.1555      0.6300     0.7831     54.5704   0.0000
02300     0.7406      0.7800     0.7889     53.9302   0.0000
02400     0.7738      0.7300     0.7952     51.2884   0.0000
02500     0.8751      0.7000     0.7947     53.8003   0.0000
02600     0.8235      0.7300     0.7888     51.9582   0.0000
02700     0.7619      0.7100     0.8124     52.7526   0.0000
02800     0.8112      0.7100     0.7982     52.6716   0.0000
02900     0.9509      0.6900     0.7915     52.2800   0.0000
03000     0.7429      0.7700     0.7866     51.7596   0.0000
03100     0.9100      0.7200     0.8050     52.2921   0.0000
03200     0.7929      0.7500     0.8105     51.2324   0.0000
03300     0.6542      0.7600     0.8022     51.9175   0.0000
03400     0.7900      0.7900     0.8143     51.6716   0.0000
03500     0.7188      0.7400     0.8225     54.8086   0.0000
03600     0.8243      0.7400     0.8130     52.8615   0.0000
03700     0.7888      0.7400     0.7727     52.0515   0.0000
03800     0.8228      0.7100     0.8260     52.9754   0.0000
03900     0.7176      0.7900     0.8288     54.0500   0.0000
04000     0.7569      0.7300     0.8305     54.9556   0.0000
04100     0.6072      0.8500     0.8280     56.9612   0.0000
04200     0.8897      0.7200     0.8154     53.5953   0.0000
04300     0.6192      0.8400     0.8296     52.4189   0.0000
04400     0.6306      0.7900     0.8145     51.8725   0.0000
04500     0.5943      0.8100     0.8008     52.9332   0.0000
04600     0.8616      0.7000     0.8246     54.2979   0.0000
04700     0.7691      0.7700     0.8211     52.9901   0.0000
04800     0.7120      0.7800     0.8162     52.3916   0.0000
04900     0.6645      0.8000     0.8173     52.8533   0.0000
05000     0.8077      0.7600     0.8357     52.6491   0.0000
05100     0.7663      0.7700     0.8278     52.2722   0.0000
05200     0.7466      0.7700     0.8292     54.0102   0.0000
05300     0.7583      0.7400     0.8198     55.5962   0.0000
05400     0.4795      0.8300     0.8151     52.3182   0.0000
05500     0.6901      0.7900     0.8256     52.1116   0.0000
05600     0.7654      0.7800     0.8219     54.0801   0.0000
05700     0.5688      0.8100     0.8313     55.2301   0.0000
05800     0.7796      0.8000     0.8256     54.8640   0.0000
05900     0.6774      0.7700     0.8315     56.0715   0.0001
06000     0.7268      0.7500     0.8355     52.5452   0.0000
06100     0.6204      0.7900     0.8201     53.5662   0.0000
06200     0.7284      0.7900     0.8246     53.9073   0.0000
06300     0.5108      0.8300     0.8371     54.8250   0.0000
06400     0.6930      0.7700     0.8333     52.5213   0.0000
06500     0.7363      0.7600     0.8203     51.7206   0.0000
06600     0.9983      0.7400     0.8391     54.8564   0.0000
06700     0.5533      0.8300     0.8353     57.8577   0.0000
06800     0.7293      0.7400     0.8526     52.7562   0.0000
06900     0.5188      0.8900     0.8368     55.8247   0.0000
07000     0.5794      0.8100     0.8323     58.0310   0.0000
07100     0.8408      0.7500     0.8245     55.7639   0.0000
07200     0.6488      0.8300     0.8479     56.1542   0.0000
07300     0.5437      0.8300     0.8481     53.3587   0.0000
07400     0.5315      0.8100     0.8386     60.1737   0.0000
07500     0.5361      0.8100     0.8422     52.4711   0.0000
07600     0.7640      0.7600     0.8402     51.7074   0.0000
07700     0.6854      0.7900     0.8449     52.3319   0.0000
07800     0.6523      0.8100     0.8445     51.3354   0.0000
07900     0.5479      0.8000     0.8400     51.5760   0.0000
08000     0.7347      0.7500     0.8380     53.9005   0.0000
08100     0.4942      0.8600     0.8406     56.7859   0.0000
08200     0.4703      0.8500     0.8359     53.0059   0.0000
08300     0.5560      0.8300     0.8357     52.3884   0.0000
08400     0.7002      0.8000     0.8554     51.6083   0.0000
08500     0.7526      0.7600     0.8310     51.6612   0.0000
08600     0.6802      0.8200     0.8283     51.4915   0.0000
08700     0.6029      0.8200     0.8546     52.2428   0.0000
08800     0.4690      0.8500     0.8385     52.3826   0.0000
08900     0.3237      0.9100     0.8247     54.8208   0.0000
09000     0.6128      0.7900     0.8358     54.1108   0.0000
09100     0.6455      0.8200     0.8455     55.0688   0.0000
09200     0.5249      0.8100     0.8388     52.1258   0.0000
09300     0.5230      0.8100     0.8424     51.8666   0.0000
09400     0.7153      0.7900     0.8484     53.5921   0.0000
09500     0.5974      0.8300     0.8450     53.4149   0.0000
09600     0.5281      0.8400     0.8374     53.2185   0.0000
09700     0.6800      0.7800     0.8511     54.9405   0.0000
09800     0.5599      0.8300     0.8429     55.8687   0.0000
09900     0.5071      0.8400     0.8531     54.3396   0.0000
10000     0.4754      0.8600     0.8419     52.6758   0.0000
10100     0.6863      0.7500     0.8566     54.0581   0.0000
