Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.25, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6363a100-560e-43fb-997c-f8ccd8cd943e
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.0990     15.8460   0.4327
00100     2.2082      0.2600     0.1847     65.0090   0.2722
00200     1.5858      0.5100     0.2307     67.0528   0.1601
00300     1.2952      0.5800     0.2578     66.6981   0.0907
00400     1.1752      0.6200     0.3758     67.8219   0.0480
00500     1.2171      0.6000     0.3477     70.8003   0.0202
00600     1.1566      0.6200     0.3670     66.2571   0.0002
00700     1.0832      0.6700     0.4266     70.0299   0.0000
00800     0.8763      0.7600     0.4434     71.2824   0.0000
00900     1.1062      0.6400     0.4398     66.2312   0.0000
01000     0.8145      0.7600     0.4735     66.0107   0.0000
01100     1.0568      0.6800     0.4818     66.5914   0.0000
01200     0.7532      0.8100     0.4976     72.0647   0.0000
01300     0.8931      0.6900     0.5171     65.3549   0.0000
01400     0.7933      0.7400     0.5167     67.1670   0.0000
01500     0.9377      0.7000     0.5599     70.5431   0.0000
01600     0.8302      0.7400     0.5065     70.0319   0.0000
01700     0.8492      0.7100     0.5268     66.4932   0.0000
01800     0.9794      0.7000     0.5329     65.9823   0.0000
01900     1.0058      0.7200     0.5606     68.7674   0.0000
02000     0.7626      0.7400     0.5566     71.1355   0.0000
02100     0.7813      0.7500     0.5711     66.0799   0.0000
02200     0.8311      0.7800     0.5337     67.3522   0.0000
02300     0.8937      0.7300     0.5581     65.5471   0.0000
02400     0.8940      0.7200     0.5750     66.9919   0.0000
02500     0.6750      0.8000     0.5152     70.0783   0.0000
02600     0.7287      0.7800     0.5459     70.4047   0.0000
02700     0.8355      0.7000     0.5592     68.6133   0.0000
02800     0.7285      0.7800     0.5688     65.8890   0.0000
02900     0.8202      0.7700     0.5461     66.2522   0.0000
03000     0.7751      0.7800     0.5905     68.1156   0.0000
03100     0.7958      0.7500     0.5659     69.1418   0.0000
03200     0.5906      0.8000     0.5753     68.9224   0.0000
03300     0.9448      0.6700     0.5455     64.8130   0.0000
03400     0.7344      0.7500     0.5892     71.1587   0.0000
03500     0.8087      0.6900     0.5610     72.2244   0.0000
03600     0.7234      0.7900     0.5772     65.3826   0.0000
03700     0.6510      0.7900     0.5678     69.7823   0.0000
03800     0.6003      0.8000     0.6319     67.5055   0.0000
03900     0.8510      0.7900     0.6109     69.2722   0.0000
04000     0.7003      0.7900     0.6051     71.5917   0.0000
04100     0.7600      0.7500     0.6253     67.8288   0.0000
04200     0.7420      0.7700     0.5958     67.4584   0.0000
04300     0.6560      0.8000     0.6071     69.0230   0.0000
04400     0.7644      0.7600     0.5867     66.5539   0.0000
04500     0.7265      0.7200     0.6343     65.6126   0.0000
04600     0.6015      0.8300     0.6161     64.9794   0.0000
04700     0.7384      0.7700     0.6023     67.7940   0.0000
04800     0.5955      0.8100     0.5930     65.7626   0.0000
04900     0.7430      0.7800     0.6063     67.9303   0.0000
05000     0.9874      0.6700     0.5956     68.8639   0.0000
05100     0.5908      0.8300     0.6480     66.6406   0.0000
05200     0.7844      0.7400     0.6219     69.0003   0.0000
05300     0.7037      0.7500     0.5705     66.0338   0.0000
05400     0.5460      0.8500     0.6020     66.7161   0.0000
05500     0.8365      0.7000     0.6153     68.7133   0.0000
05600     0.6901      0.7800     0.6076     68.4543   0.0000
05700     0.6241      0.8200     0.6053     66.2703   0.0000
05800     0.4433      0.8700     0.6544     66.5526   0.0000
05900     0.6629      0.8000     0.6060     67.6756   0.0000
06000     0.6141      0.8300     0.6437     69.1874   0.0000
06100     0.5688      0.7800     0.6520     67.2648   0.0000
06200     0.5717      0.8500     0.6189     69.8812   0.0000
06300     0.5901      0.8100     0.6533     72.0179   0.0000
06400     0.8414      0.7500     0.6595     70.9138   0.0000
06500     0.6254      0.8100     0.6283     65.2224   0.0000
06600     0.8782      0.6900     0.6136     65.4607   0.0000
06700     0.5856      0.8300     0.5878     70.2826   0.0000
06800     0.5227      0.8500     0.6574     67.4912   0.0000
06900     0.6414      0.7900     0.6133     65.7107   0.0000
07000     0.6777      0.8300     0.6453     67.5411   0.0000
07100     0.6522      0.8000     0.6408     67.5939   0.0000
07200     0.6258      0.7800     0.6140     69.8144   0.0000
07300     0.6081      0.7700     0.6047     67.2662   0.0000
07400     0.6745      0.7700     0.6605     71.2800   0.0000
07500     0.6738      0.7100     0.6331     70.6212   0.0000
07600     0.5566      0.8100     0.6017     66.8426   0.0000
07700     0.5902      0.8000     0.6354     71.4550   0.0000
07800     0.7001      0.8100     0.5850     71.1191   0.0000
07900     0.5784      0.7800     0.6532     70.7907   0.0000
08000     0.6596      0.7900     0.6387     66.6954   0.0000
08100     0.6279      0.8200     0.6228     67.0594   0.0000
08200     0.5194      0.8200     0.6595     66.4728   0.0000
08300     0.5514      0.8300     0.6414     66.0978   0.0000
08400     0.8139      0.7600     0.6272     66.5892   0.0000
08500     0.7602      0.7600     0.6688     68.3886   0.0000
08600     0.7683      0.7400     0.6440     67.9994   0.0000
08700     0.5709      0.8100     0.6412     67.3219   0.0000
08800     0.7265      0.7800     0.6495     67.6698   0.0000
08900     0.5612      0.8400     0.6598     71.6400   0.0000
09000     0.5464      0.8200     0.6423     65.5361   0.0000
09100     0.5475      0.7900     0.6439     72.4027   0.0000
09200     0.6243      0.8000     0.6374     69.6869   0.0000
09300     0.4775      0.8800     0.6605     71.4186   0.0000
09400     0.5889      0.8000     0.6275     67.5314   0.0000
09500     0.4908      0.8400     0.6437     71.1431   0.0000
09600     0.3705      0.9000     0.6200     69.1952   0.0000
09700     0.4770      0.8700     0.6407     65.8826   0.0000
09800     0.7618      0.7800     0.6291     66.7465   0.0000
09900     0.4788      0.8600     0.6395     68.3107   0.0000
10000     0.5317      0.8500     0.6675     69.8688   0.0000
10100     0.6801      0.7900     0.6657     65.5347   0.0000
10200     0.6626      0.8300     0.6494     70.0837   0.0000
10300     0.6105      0.7900     0.6607     68.1265   0.0000
10400     0.4243      0.8500     0.6542     68.6811   0.0000
10500     0.4770      0.8500     0.6525     72.0623   0.0000
10600     0.5557      0.8300     0.6545     69.2214   0.0000
10700     0.2957      0.9100     0.6681     67.1965   0.0000
10800     0.5230      0.8000     0.6602     71.0943   0.0000
10900     0.6971      0.8200     0.6604     66.1417   0.0000
11000     0.5103      0.8300     0.6458     68.3558   0.0000
11100     0.6419      0.7500     0.6516     71.8384   0.0000
11200     0.5167      0.8300     0.6435     71.3805   0.0000
11300     0.5546      0.8400     0.6457     66.3240   0.0000
11400     0.6749      0.7700     0.6612     69.4360   0.0000
11500     0.5146      0.8400     0.6411     70.6438   0.0000
11600     0.4584      0.8600     0.6512     67.7664   0.0000
11700     0.3870      0.9100     0.6610     66.7985   0.0000
11800     0.6105      0.8000     0.6697     71.6057   0.0000
11900     0.4910      0.8400     0.6636     70.0798   0.0000
12000     0.3599      0.8900     0.6358     66.4698   0.0000
12100     0.6023      0.8300     0.6616     67.9952   0.0000
12200     0.4666      0.8500     0.6423     67.1121   0.0000
12300     0.5967      0.8400     0.6393     65.6864   0.0000
12400     0.4725      0.8200     0.6449     65.7959   0.0000
12500     0.6131      0.8000     0.6663     71.7128   0.0000
12600     0.6755      0.8000     0.6630     69.2284   0.0000
12700     0.4375      0.8800     0.6505     71.8396   0.0000
12800     0.4877      0.8400     0.6545     66.6519   0.0000
12900     0.5229      0.8100     0.6544     67.6581   0.0000
13000     0.4298      0.8400     0.6674     65.5686   0.0000
13100     0.5523      0.8300     0.6755     71.6257   0.0000
13200     0.5230      0.8800     0.7035     72.4296   0.0000
13300     0.6455      0.7800     0.6634     70.8285   0.0000
13400     0.7369      0.7800     0.6749     70.2668   0.0000
13500     0.7034      0.7500     0.6738     66.9263   0.0000
13600     0.5987      0.8200     0.6820     71.5068   0.0000
13700     0.5892      0.8000     0.6603     66.1967   0.0000
13800     0.5270      0.8400     0.6555     69.5628   0.0000
13900     0.4871      0.8800     0.6629     69.2091   0.0000
14000     0.5758      0.8300     0.6587     66.1035   0.0000
14100     0.5077      0.8300     0.7014     67.3672   0.0000
14200     0.5420      0.8300     0.6758     66.6892   0.0000
14300     0.5243      0.8200     0.6663     65.4297   0.0000
14400     0.4619      0.8100     0.6663     67.8083   0.0000
14500     0.4836      0.8800     0.6807     66.1971   0.0000
14600     0.4265      0.8600     0.6948     66.0143   0.0000
14700     0.5239      0.8400     0.6684     71.7087   0.0000
14800     0.5334      0.8100     0.6735     68.3152   0.0000
14900     0.4396      0.8700     0.6682     70.5924   0.0000
15000     0.4486      0.8500     0.6822     66.0519   0.0000
15100     0.6245      0.8100     0.6586     67.4785   0.0000
15200     0.4056      0.8700     0.6754     66.1778   0.0000
15300     0.6054      0.7900     0.6777     65.7358   0.0000
15400     0.6949      0.7700     0.6711     66.2234   0.0000
15500     0.4213      0.8700     0.6736     66.6400   0.0000
15600     0.4601      0.9100     0.6594     65.8957   0.0000
15700     0.5797      0.8300     0.6842     67.7503   0.0000
15800     0.5522      0.8400     0.6629     69.8486   0.0000
15900     0.3326      0.9000     0.6585     67.0375   0.0000
16000     0.3647      0.9000     0.6478     71.3991   0.0000
16100     0.5998      0.8000     0.6941     66.8559   0.0000
16200     0.4897      0.8900     0.6729     67.4795   0.0000
16300     0.6335      0.7700     0.6764     67.5589   0.0000
16400     0.4848      0.8600     0.6778     71.9657   0.0000
16500     0.4691      0.8500     0.6836     67.4795   0.0000
16600     0.6607      0.7900     0.6799     66.9023   0.0000
16700     0.4630      0.8300     0.6681     67.9275   0.0000
16800     0.5088      0.8300     0.6708     68.2793   0.0000
16900     0.4319      0.8900     0.6785     67.5991   0.0000
17000     0.4225      0.8600     0.6537     65.9115   0.0000
17100     0.4074      0.8900     0.6710     68.5805   0.0000
17200     0.4471      0.8600     0.6736     65.9087   0.0000
17300     0.4392      0.8700     0.6641     67.1790   0.0000
17400     0.4605      0.8600     0.6852     67.1560   0.0000
17500     0.6072      0.7900     0.6712     65.5338   0.0000
17600     0.6073      0.8000     0.6615     66.0126   0.0000
17700     0.7119      0.8100     0.6545     65.9403   0.0000
17800     0.6220      0.8100     0.6360     66.6576   0.0000
17900     0.4553      0.8400     0.6694     68.6663   0.0000
18000     0.4353      0.8500     0.6716     71.0474   0.0000
18100     0.4332      0.8700     0.6596     68.2086   0.0000
18200     0.4344      0.8600     0.6540     67.3897   0.0000
18300     0.5670      0.8800     0.6762     72.2616   0.0000
18400     0.4424      0.8900     0.6871     69.4964   0.0000
18500     0.6206      0.8200     0.6594     66.8195   0.0000
18600     0.4300      0.8600     0.6865     66.6877   0.0000
18700     0.4974      0.8200     0.6521     70.7270   0.0000
18800     0.4026      0.8900     0.6877     70.0014   0.0000
18900     0.5653      0.8000     0.6657     68.9162   0.0000
19000     0.5175      0.8300     0.6660     69.1022   0.0000
19100     0.4567      0.8500     0.6459     66.6337   0.0000
19200     0.6260      0.8100     0.6490     70.5519   0.0000
19300     0.4357      0.8700     0.6682     66.6660   0.0000
19400     0.2951      0.9200     0.6598     65.8874   0.0000
19500     0.3783      0.9000     0.6757     72.2400   0.0000
19600     0.4750      0.8700     0.6604     69.3978   0.0000
19700     0.4541      0.8000     0.6688     72.5505   0.0000
19800     0.3771      0.8800     0.6743     66.9979   0.0000
19900     0.5054      0.8700     0.6389     68.5506   0.0000
20000     0.4621      0.8700     0.6595     67.6905   0.0000
20100     0.5175      0.8500     0.6513     71.0834   0.0000
20199     0.6527      0.7800     0.6517     71.6941   0.0000
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     1.3875      0.5700     0.6717     15.9196   0.0000
00100     0.6813      0.8000     0.7898     68.7900   0.0000
00200     0.6130      0.7900     0.7996     70.4343   0.0000
00300     0.7416      0.7500     0.8048     72.0545   0.0000
00400     0.7810      0.7100     0.8124     70.5521   0.0000
00500     0.6793      0.8300     0.8133     69.3299   0.0000
00600     0.4457      0.8700     0.8094     70.7903   0.0000
00700     0.6624      0.7900     0.8104     65.7470   0.0000
00800     0.7346      0.7800     0.8202     69.2838   0.0000
00900     0.7173      0.7800     0.8205     67.9695   0.0000
01000     0.6393      0.8200     0.8205     67.9969   0.0000
01100     0.6227      0.8000     0.8128     68.2044   0.0000
01200     0.5912      0.8400     0.8222     66.9434   0.0000
01300     0.8604      0.7200     0.8276     66.9613   0.0000
01400     0.6378      0.8000     0.8216     68.4840   0.0000
01500     0.4604      0.8600     0.8230     72.3864   0.0000
01600     0.6195      0.8000     0.8235     72.2118   0.0000
01700     0.5054      0.8200     0.8227     68.5309   0.0000
01800     0.5655      0.8600     0.8227     70.1718   0.0000
01900     0.6571      0.7900     0.8322     71.1146   0.0000
02000     0.8370      0.7500     0.8294     66.8837   0.0000
02100     0.6034      0.7900     0.8254     64.7213   0.0000
02200     0.7869      0.7400     0.8262     67.4499   0.0000
02300     0.5631      0.7900     0.8229     66.0959   0.0000
02400     0.5845      0.8100     0.8160     69.3513   0.0000
02500     0.7655      0.7700     0.8224     70.5659   0.0000
02600     0.7359      0.8000     0.8325     71.4967   0.0000
02700     0.6045      0.8100     0.8245     66.9453   0.0000
02800     0.7503      0.7600     0.8277     70.3336   0.0000
02900     0.7823      0.7900     0.8309     66.4695   0.0000
03000     0.7658      0.8100     0.8216     69.8803   0.0000
03100     0.7957      0.7700     0.8291     65.9498   0.0000
03200     0.7032      0.7900     0.8328     68.7538   0.0000
03300     0.6601      0.7800     0.8388     71.8690   0.0000
03400     0.6462      0.7800     0.8300     68.3595   0.0000
03500     0.7701      0.7800     0.8280     66.2441   0.0000
03600     0.5693      0.8000     0.8343     69.3270   0.0000
03700     0.8722      0.6900     0.8280     65.2919   0.0000
03800     0.7514      0.7800     0.8320     66.3505   0.0000
03900     0.3376      0.9200     0.8375     66.7347   0.0000
04000     0.4708      0.8600     0.8308     68.2980   0.0000
04100     0.6146      0.7800     0.8340     69.1194   0.0000
04200     0.7315      0.7800     0.8293     70.1874   0.0000
04300     0.4526      0.8600     0.8319     68.4046   0.0000
04400     0.6732      0.8300     0.8257     66.8813   0.0000
04500     0.7530      0.7700     0.8301     67.0505   0.0000
04600     0.7735      0.7600     0.8361     67.6877   0.0000
04700     0.9494      0.7400     0.8286     66.4003   0.0000
04800     0.8902      0.7000     0.8378     68.2573   0.0000
04900     0.5276      0.8700     0.8276     66.4914   0.0000
05000     0.7198      0.7500     0.8326     66.9159   0.0000
05100     0.7035      0.8200     0.8345     65.5034   0.0000
05200     0.5548      0.7900     0.8330     69.1931   0.0000
05300     0.9792      0.6900     0.8341     70.1802   0.0000
05400     0.6462      0.7900     0.8307     67.2040   0.0000
05500     0.5675      0.8200     0.8371     67.1785   0.0000
05600     0.5654      0.8000     0.8440     70.3955   0.0000
05700     0.7288      0.7600     0.8427     68.8111   0.0000
05800     0.5774      0.7800     0.8338     68.6910   0.0000
05900     0.8556      0.7500     0.8293     66.8355   0.0000
06000     0.5435      0.8500     0.8369     71.3889   0.0000
06100     0.7648      0.8000     0.8357     65.3001   0.0000
06200     0.5040      0.8200     0.8412     65.8839   0.0000
06300     0.7455      0.7700     0.8336     68.9889   0.0000
06400     0.6175      0.7700     0.8385     70.8877   0.0000
06500     0.5695      0.7700     0.8383     66.6084   0.0000
06600     0.6036      0.7900     0.8367     69.3670   0.0000
06700     0.5304      0.8100     0.8310     68.4746   0.0000
06800     0.5330      0.8500     0.8317     67.8176   0.0000
06900     0.7756      0.7600     0.8360     70.4165   0.0000
07000     0.5034      0.8400     0.8291     66.8479   0.0000
07100     0.5340      0.8200     0.8388     69.6514   0.0000
07200     0.4496      0.8500     0.8473     71.1667   0.0000
07300     0.6312      0.7800     0.8386     70.9091   0.0000
07400     0.7062      0.7900     0.8360     68.6366   0.0000
07500     0.5004      0.8400     0.8384     68.3438   0.0000
07600     0.6556      0.7700     0.8340     69.3331   0.0000
