Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.3, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
76b01fe4-848c-43a5-9424-b6a385b0e8b8
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4456      0.0400     0.0779     13.7377   0.4331
00100     2.0835      0.3500     0.1394     51.3441   0.2706
00200     1.5323      0.5000     0.1784     51.6712   0.1574
00300     1.6192      0.5100     0.1851     51.5313   0.0907
00400     1.2226      0.5600     0.2087     52.5856   0.0505
00500     1.3937      0.5400     0.2621     52.4629   0.0232
00600     1.1392      0.6200     0.2676     52.2170   0.0034
00700     0.8428      0.7100     0.2688     52.0854   0.0001
00800     0.7608      0.7500     0.3031     52.0137   0.0000
00900     1.0125      0.6300     0.3049     52.0487   0.0000
01000     1.0981      0.6000     0.3024     52.6019   0.0000
01100     1.0358      0.7000     0.3212     53.0996   0.0000
01200     0.9331      0.7200     0.3130     52.1384   0.0000
01300     0.8620      0.7400     0.3137     52.3442   0.0000
01400     0.7065      0.7900     0.3522     52.6921   0.0000
01500     0.8099      0.7400     0.3723     52.2286   0.0000
01600     0.7309      0.7700     0.3660     52.5422   0.0000
01700     0.9070      0.6400     0.3516     52.1858   0.0000
01800     0.9999      0.6300     0.3942     52.4366   0.0000
01900     0.9988      0.6900     0.3966     52.5593   0.0000
02000     0.9928      0.6900     0.3854     52.0718   0.0000
02100     0.8399      0.7400     0.3921     52.1790   0.0000
02200     0.8641      0.6800     0.3806     51.8479   0.0000
02300     0.7795      0.8100     0.3900     52.3272   0.0001
02400     0.7505      0.7800     0.3993     52.7592   0.0000
02500     0.7806      0.7200     0.3827     51.7580   0.0000
02600     0.8226      0.6800     0.4033     52.4773   0.0000
02700     0.7367      0.7500     0.4239     52.5879   0.0000
02800     0.6696      0.7900     0.4288     51.9343   0.0000
02900     0.8474      0.7100     0.4339     52.0426   0.0000
03000     0.6560      0.8200     0.4325     51.9158   0.0000
03100     0.7626      0.7700     0.4176     53.1144   0.0000
03200     0.8512      0.7000     0.4335     51.9873   0.0000
03300     0.8665      0.7400     0.4261     51.8524   0.0000
03400     0.9082      0.7100     0.3942     52.0135   0.0000
03500     0.6800      0.7600     0.4385     52.9777   0.0000
03600     0.7712      0.7500     0.4410     52.6055   0.0000
03700     0.7004      0.7600     0.4396     52.3698   0.0000
03800     0.6985      0.7700     0.4501     52.0993   0.0000
03900     0.7151      0.7800     0.4676     52.6389   0.0000
04000     0.8477      0.7100     0.4556     51.9119   0.0000
04100     0.8027      0.7600     0.4336     52.0656   0.0000
04200     0.7753      0.7600     0.4447     52.1986   0.0000
04300     0.6286      0.8000     0.4781     52.6692   0.0000
04400     0.5337      0.8600     0.4569     52.4508   0.0000
04500     0.6583      0.8300     0.4649     52.1677   0.0000
04600     0.8912      0.7000     0.4716     52.3871   0.0000
04700     0.6767      0.7700     0.4735     52.2008   0.0000
04800     0.6517      0.7500     0.4769     52.4085   0.0000
04900     0.6996      0.7600     0.4631     51.9968   0.0000
05000     0.7917      0.7800     0.5061     52.4904   0.0000
05100     0.5162      0.8300     0.4665     52.2145   0.0000
05200     0.7063      0.7700     0.4785     52.6830   0.0000
05300     0.6572      0.7800     0.4747     52.6222   0.0000
05400     0.7563      0.7600     0.4712     52.5867   0.0000
05500     0.7888      0.7900     0.4912     52.4857   0.0000
05600     0.9270      0.7100     0.5026     52.3315   0.0000
05700     0.6963      0.7900     0.5008     52.0724   0.0000
05800     0.7788      0.7700     0.4870     52.1899   0.0000
05900     0.5587      0.8500     0.5127     51.9046   0.0000
06000     0.5397      0.8400     0.4803     52.3598   0.0000
06100     0.6280      0.7800     0.4928     51.5179   0.0000
06200     0.6950      0.7800     0.4610     52.6867   0.0000
06300     0.6249      0.7900     0.5219     52.5728   0.0000
06400     0.5856      0.7800     0.5102     52.3623   0.0000
06500     0.7859      0.7200     0.5154     52.2978   0.0000
06600     0.5211      0.8800     0.4852     52.3773   0.0000
06700     0.5485      0.8700     0.4900     53.1480   0.0000
06800     0.7149      0.8000     0.5146     52.2510   0.0000
06900     0.5516      0.8300     0.5138     52.1724   0.0000
07000     0.8006      0.7500     0.4985     51.9033   0.0000
07100     0.5723      0.8200     0.5352     52.0117   0.0000
07200     0.6958      0.7800     0.5191     52.6510   0.0000
07300     0.4578      0.8600     0.5410     52.0449   0.0000
07400     0.8349      0.7600     0.5326     51.9716   0.0000
07500     0.7368      0.7400     0.4955     52.5059   0.0000
07600     0.6322      0.8000     0.5238     52.3315   0.0000
07700     0.6899      0.8100     0.5423     52.8065   0.0000
07800     0.5985      0.8600     0.5314     52.5040   0.0000
07900     0.5439      0.8300     0.5306     51.7519   0.0000
08000     0.6157      0.8100     0.5399     52.1156   0.0000
08100     0.6617      0.7600     0.5419     52.8592   0.0000
08200     0.6875      0.8000     0.5190     52.5885   0.0000
08300     0.5814      0.8400     0.5146     52.1283   0.0000
08400     0.5804      0.8500     0.5566     52.0346   0.0000
08500     0.6427      0.7500     0.5175     52.7168   0.0000
08600     0.4069      0.8900     0.5116     51.9333   0.0000
08700     0.5348      0.8500     0.5128     52.2213   0.0000
08800     0.7001      0.7800     0.5386     52.8436   0.0000
08900     0.6305      0.7700     0.5490     52.8325   0.0000
09000     0.8195      0.7500     0.5380     52.1306   0.0000
09100     0.5036      0.8300     0.5360     52.5957   0.0000
09200     0.5096      0.8600     0.5445     52.7783   0.0000
09300     0.7079      0.7800     0.5614     52.3010   0.0000
09400     0.6342      0.7800     0.5812     52.7444   0.0000
09500     0.4871      0.8500     0.5548     52.4114   0.0000
09600     0.5745      0.8200     0.5734     52.8004   0.0000
09700     0.5613      0.8100     0.5584     52.0789   0.0000
09800     0.6119      0.8000     0.5517     52.5691   0.0000
09900     0.8053      0.7800     0.5514     52.1416   0.0000
10000     0.5591      0.7900     0.5470     52.7673   0.0000
10100     0.4983      0.8600     0.5607     52.0188   0.0000
10200     0.5332      0.8200     0.5511     52.2669   0.0000
10300     0.4376      0.8300     0.5668     52.6767   0.0000
10400     0.5376      0.8300     0.5735     51.9718   0.0000
10500     0.2902      0.9300     0.5627     53.2178   0.0000
10600     0.6256      0.7700     0.5569     52.7639   0.0000
10700     0.5792      0.8400     0.5647     51.7847   0.0000
10800     0.4014      0.8800     0.5634     53.2047   0.0000
10900     0.4467      0.8700     0.5575     51.5307   0.0000
11000     0.4723      0.8300     0.5523     52.5388   0.0000
11100     0.6036      0.8200     0.5538     52.8737   0.0000
11200     0.5455      0.8600     0.5698     53.0459   0.0000
11300     0.6502      0.7700     0.5582     52.3125   0.0000
11400     0.6948      0.7600     0.5352     52.6370   0.0000
11500     0.4493      0.8500     0.5613     52.1604   0.0000
11600     0.5339      0.8100     0.5571     52.2336   0.0000
11700     0.6414      0.7900     0.5526     52.4669   0.0000
11800     0.5651      0.8300     0.5512     52.6757   0.0000
11900     0.3987      0.8900     0.5664     51.9528   0.0000
12000     0.5796      0.8100     0.5480     52.3292   0.0000
12100     0.5822      0.8300     0.5617     52.5158   0.0000
12200     0.6309      0.7900     0.5536     52.8309   0.0000
12300     0.5028      0.8500     0.5541     52.6765   0.0000
12400     0.5566      0.7900     0.5512     52.4201   0.0000
12500     0.4939      0.8300     0.5526     52.7535   0.0000
12600     0.5029      0.8200     0.5535     51.7048   0.0000
12700     0.5639      0.8300     0.5489     51.5841   0.0000
12800     0.5873      0.8100     0.5490     52.6614   0.0000
12900     0.5246      0.8500     0.5473     52.6024   0.0000
13000     0.4925      0.8500     0.5566     51.8675   0.0000
13100     0.5824      0.8200     0.5553     52.0381   0.0000
13200     0.6500      0.8300     0.5452     52.4262   0.0000
13300     0.4914      0.8700     0.5311     52.4756   0.0000
13400     0.5401      0.8300     0.5551     52.4858   0.0000
13500     0.5025      0.8700     0.5553     52.1269   0.0000
13600     0.5089      0.8500     0.5653     52.7236   0.0000
13700     0.5633      0.8000     0.5561     52.2598   0.0000
13800     0.3652      0.8800     0.5417     52.4091   0.0000
13900     0.5022      0.9000     0.5580     52.6776   0.0000
14000     0.4594      0.8100     0.5643     52.4900   0.0000
14100     0.5883      0.7800     0.5600     52.3511   0.0000
14200     0.5259      0.8400     0.5647     52.3094   0.0000
14300     0.5331      0.8600     0.5516     52.5030   0.0000
14400     0.3982      0.8900     0.5406     51.7396   0.0000
14500     0.5307      0.8700     0.5434     52.2449   0.0000
14600     0.5232      0.8300     0.5478     52.3297   0.0000
14700     0.6459      0.7500     0.5580     52.6259   0.0000
14800     0.4626      0.8700     0.5622     52.5212   0.0000
14900     0.5215      0.8500     0.5471     52.2108   0.0000
15000     0.4935      0.8500     0.5481     51.9614   0.0000
15100     0.4106      0.8900     0.5455     52.1807   0.0000
15200     0.3596      0.9100     0.5287     52.6890   0.0000
15300     0.5555      0.8500     0.5442     52.2058   0.0000
15400     0.5041      0.8400     0.5517     52.5999   0.0000
15500     0.6107      0.8100     0.5471     51.8824   0.0000
15600     0.5321      0.8200     0.5482     52.9378   0.0000
15700     0.4048      0.8900     0.5467     52.4314   0.0000
15800     0.4707      0.8700     0.5263     52.2049   0.0000
15900     0.5695      0.8500     0.5364     52.0160   0.0000
16000     0.5530      0.8300     0.5445     52.3856   0.0000
16100     0.5265      0.7900     0.5430     52.6125   0.0000
16200     0.6159      0.8200     0.5371     52.4967   0.0000
16300     0.6421      0.7700     0.5405     52.0407   0.0000
16400     0.5377      0.8500     0.5364     52.3475   0.0000
16500     0.5684      0.8300     0.5420     52.8845   0.0000
16600     0.4499      0.8600     0.5383     52.2749   0.0000
16700     0.3906      0.8700     0.5280     52.2721   0.0000
