Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.3, noise_injectionT=0.25, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d442dd38-9e7f-474b-a8af-f65c95a045cb
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.0932     13.8300   0.4327
00100     2.2082      0.2600     0.1841     52.9201   0.2722
00200     1.5858      0.5100     0.2268     54.0451   0.1601
00300     1.2952      0.5800     0.2564     51.6135   0.0907
00400     1.1752      0.6200     0.3737     52.4465   0.0480
00500     1.2171      0.6000     0.3608     52.6420   0.0202
00600     1.1566      0.6200     0.3809     57.2101   0.0002
00700     1.0832      0.6700     0.4206     52.1616   0.0000
00800     0.8763      0.7600     0.4557     53.1290   0.0000
00900     1.1062      0.6400     0.4240     55.7711   0.0000
01000     0.8145      0.7600     0.4852     55.4244   0.0000
01100     1.0568      0.6800     0.4795     56.6348   0.0000
01200     0.7532      0.8100     0.4880     52.1686   0.0000
01300     0.8931      0.6900     0.5131     52.5624   0.0000
01400     0.7933      0.7400     0.5272     54.7240   0.0000
01500     0.9377      0.7000     0.5539     52.1892   0.0000
01600     0.8302      0.7400     0.5028     51.4225   0.0000
01700     0.8492      0.7100     0.5248     51.8871   0.0000
01800     0.9794      0.7000     0.5282     52.3282   0.0000
01900     1.0058      0.7200     0.5635     56.0661   0.0000
02000     0.7626      0.7400     0.5571     51.3156   0.0000
02100     0.7813      0.7500     0.5615     51.3724   0.0000
02200     0.8311      0.7800     0.5326     53.0900   0.0000
02300     0.8937      0.7300     0.5510     52.1402   0.0000
02400     0.8940      0.7200     0.5741     51.8201   0.0000
02500     0.6750      0.8000     0.5077     52.0588   0.0000
02600     0.7287      0.7800     0.5426     54.7363   0.0000
02700     0.8355      0.7000     0.5595     51.8138   0.0000
02800     0.7285      0.7800     0.5810     55.8838   0.0000
02900     0.8202      0.7700     0.5451     51.2996   0.0000
03000     0.7751      0.7800     0.5900     51.0925   0.0000
03100     0.7958      0.7500     0.5771     52.1423   0.0000
03200     0.5906      0.8000     0.5703     51.1043   0.0000
03300     0.9448      0.6700     0.5490     56.9026   0.0000
03400     0.7344      0.7500     0.5956     51.4880   0.0000
03500     0.8087      0.6900     0.5542     52.5813   0.0000
03600     0.7234      0.7900     0.5709     51.2991   0.0000
03700     0.6510      0.7900     0.5575     51.1296   0.0000
03800     0.6003      0.8000     0.6288     51.6544   0.0000
03900     0.8510      0.7900     0.6199     52.3373   0.0000
04000     0.7003      0.7900     0.6167     51.1845   0.0000
04100     0.7600      0.7500     0.6275     52.6848   0.0000
04200     0.7420      0.7700     0.6009     54.3865   0.0000
04300     0.6560      0.8000     0.6041     55.2843   0.0000
04400     0.7644      0.7600     0.5918     51.9907   0.0000
04500     0.7265      0.7200     0.6266     54.3619   0.0000
04600     0.6015      0.8300     0.6210     52.2084   0.0000
04700     0.7384      0.7700     0.6117     53.5788   0.0000
04800     0.5955      0.8100     0.5866     51.2943   0.0000
04900     0.7430      0.7800     0.6073     51.9798   0.0000
05000     0.9874      0.6700     0.5945     51.5535   0.0000
05100     0.5908      0.8300     0.6447     53.1768   0.0000
05200     0.7844      0.7400     0.6121     51.4119   0.0000
05300     0.7037      0.7500     0.5673     51.6191   0.0000
05400     0.5460      0.8500     0.6094     51.6440   0.0000
05500     0.8365      0.7000     0.6160     51.5938   0.0000
05600     0.6901      0.7800     0.6094     54.8411   0.0000
05700     0.6241      0.8200     0.6077     52.0523   0.0000
05800     0.4433      0.8700     0.6485     52.6624   0.0000
05900     0.6629      0.8000     0.6147     54.7850   0.0000
06000     0.6141      0.8300     0.6442     53.4142   0.0000
06100     0.5688      0.7800     0.6486     51.3332   0.0000
06200     0.5717      0.8500     0.6110     51.7752   0.0000
06300     0.5901      0.8100     0.6523     51.2127   0.0000
06400     0.8414      0.7500     0.6555     51.2296   0.0000
06500     0.6254      0.8100     0.6195     51.3431   0.0000
06600     0.8782      0.6900     0.6171     51.5716   0.0000
06700     0.5856      0.8300     0.6039     52.0428   0.0000
06800     0.5227      0.8500     0.6612     51.6469   0.0000
06900     0.6414      0.7900     0.6089     52.7585   0.0000
07000     0.6777      0.8300     0.6467     55.9137   0.0000
07100     0.6522      0.8000     0.6462     51.4984   0.0000
07200     0.6258      0.7800     0.6156     52.8797   0.0000
07300     0.6081      0.7700     0.6036     55.6703   0.0000
07400     0.6745      0.7700     0.6565     51.5615   0.0000
07500     0.6738      0.7100     0.6275     51.8065   0.0000
07600     0.5566      0.8100     0.6036     51.2386   0.0000
07700     0.5902      0.8000     0.6381     51.6565   0.0000
07800     0.7001      0.8100     0.5837     52.1180   0.0000
07900     0.5784      0.7800     0.6427     55.7548   0.0000
08000     0.6596      0.7900     0.6324     56.1062   0.0000
08100     0.6279      0.8200     0.6237     54.9811   0.0000
08200     0.5194      0.8200     0.6640     52.6860   0.0000
08300     0.5514      0.8300     0.6305     54.3798   0.0000
08400     0.8139      0.7600     0.6271     51.9889   0.0000
08500     0.7602      0.7600     0.6646     54.9857   0.0000
08600     0.7683      0.7400     0.6411     51.2825   0.0000
08700     0.5709      0.8100     0.6457     53.0963   0.0000
08800     0.7265      0.7800     0.6509     51.7550   0.0000
08900     0.5612      0.8400     0.6555     51.6297   0.0000
09000     0.5464      0.8200     0.6366     51.3009   0.0000
09100     0.5475      0.7900     0.6526     52.5493   0.0000
09200     0.6243      0.8000     0.6422     53.0886   0.0000
09300     0.4775      0.8800     0.6625     51.5942   0.0000
09400     0.5889      0.8000     0.6279     51.4392   0.0000
09500     0.4908      0.8400     0.6432     51.0196   0.0000
09600     0.3705      0.9000     0.6161     52.4438   0.0000
09700     0.4770      0.8700     0.6449     52.7436   0.0000
09800     0.7618      0.7800     0.6330     54.8382   0.0000
09900     0.4788      0.8600     0.6410     52.2611   0.0000
