Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.3, noise_injectionT=0.2, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
3399356d-1bdc-4552-ad2a-666dae201729
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.0948     15.1406   0.4327
00100     2.2508      0.2300     0.2133     63.6755   0.2719
00200     1.5812      0.5300     0.3195     62.7880   0.1597
00300     1.4239      0.5400     0.3653     63.8305   0.0911
00400     1.1712      0.6000     0.4863     63.5719   0.0486
00500     1.2919      0.6000     0.5273     63.2506   0.0203
00600     1.0971      0.6600     0.5286     63.8112   0.0002
00700     1.0242      0.7000     0.5289     63.9264   0.0000
00800     0.9279      0.6800     0.5251     63.7259   0.0000
00900     1.0181      0.7000     0.5133     63.1064   0.0000
01000     0.8779      0.7000     0.5869     63.1850   0.0000
01100     1.0595      0.6800     0.5564     63.5672   0.0000
01200     0.8474      0.7500     0.6074     63.2280   0.0000
01300     0.8730      0.7200     0.6140     63.5549   0.0000
01400     0.8046      0.7800     0.6284     63.6481   0.0000
01500     0.9073      0.7000     0.5587     63.4684   0.0000
01600     0.9174      0.7200     0.6230     63.0454   0.0000
01700     0.8851      0.7100     0.5943     63.3390   0.0000
01800     0.9738      0.7000     0.6210     63.0454   0.0000
01900     0.9896      0.7400     0.6094     63.4725   0.0000
