Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=200000, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=40000, n_mfcc=40, noise_injection=0.1, quant_act=3, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e076b7c2-dd7c-4ac4-aec9-704e3d34487b
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4945      0.0859     0.0710     0.4449
00100     2.4936      0.0664     0.1010     0.1799
00200     2.4873      0.0938     0.1160     0.1794
00300     2.4650      0.1445     0.1310     0.2059
00400     2.4345      0.1699     0.1620     0.2006
00500     2.4370      0.1504     0.1770     0.1929
00600     2.4034      0.1621     0.1770     0.1939
00700     2.3961      0.1562     0.1770     0.1999
00800     2.4170      0.1426     0.1830     0.1972
00900     2.4180      0.1250     0.1830     0.1906
01000     2.3985      0.1719     0.1830     0.2021
01100     2.3983      0.1504     0.1830     0.1833
01200     2.4075      0.1523     0.1830     0.1942
01300     2.4038      0.1289     0.1830     0.2026
01400     2.4003      0.1367     0.1830     0.1892
01500     2.3863      0.1641     0.1830     0.1807
01600     2.3688      0.1660     0.1830     0.2001
01700     2.4011      0.1465     0.1840     0.1990
01800     2.3763      0.1816     0.1860     0.1913
01900     2.4110      0.1445     0.1860     0.1810
02000     2.4065      0.1348     0.1860     0.1978
02100     2.3989      0.1367     0.1860     0.1839
02200     2.3979      0.1309     0.1860     0.1877
02300     2.4596      0.1152     0.1860     0.2007
02400     2.4577      0.1016     0.1860     0.2076
02500     2.4316      0.1504     0.1860     0.1923
02600     2.3940      0.1523     0.1860     0.1931
02700     2.3944      0.1602     0.1860     0.1892
02800     2.3898      0.1641     0.1860     0.2174
02900     2.3892      0.1602     0.1860     0.1923
03000     2.3888      0.1543     0.1860     0.1973
03100     2.5191      0.0977     0.1860     0.1927
03200     2.5311      0.0840     0.1860     0.1885
03300     2.4862      0.0742     0.1860     0.1903
03400     2.4676      0.1016     0.1860     0.1848
03500     2.4557      0.0977     0.1860     0.1842
03600     2.4665      0.0879     0.1860     0.1983
03700     2.4527      0.1309     0.1860     0.2027
03800     2.4620      0.0879     0.1860     0.1749
03900     2.4557      0.1113     0.1860     0.1960
04000     2.4653      0.1133     0.1860     0.1922
04100     2.4652      0.1016     0.1860     0.2070
04200     2.4548      0.1270     0.1860     0.1912
04300     2.4521      0.1367     0.1860     0.2003
04400     2.4304      0.1816     0.1860     0.1960
04500     2.4614      0.1348     0.1860     0.1828
04600     2.4370      0.1602     0.1860     0.1752
04700     2.4453      0.1328     0.1860     0.1776
04800     2.4415      0.1602     0.1860     0.2165
04900     2.4472      0.1250     0.1860     0.1827
05000     2.4563      0.1230     0.1860     0.1802
05100     2.4472      0.1348     0.1860     0.1851
05200     2.4241      0.1523     0.1860     0.1999
