Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=200000, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=40000, n_mfcc=40, noise_injection=0.1, quant_act=6, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b9bd7f1d-3e2d-4774-b49c-579a103f7bb7
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4953      0.0762     0.0820     0.8487
00100     2.4900      0.0723     0.1100     0.2022
00200     2.4735      0.1133     0.1150     0.2117
00300     2.4787      0.1055     0.1460     0.1798
00400     2.4864      0.0859     0.1460     0.2049
00500     2.4690      0.1172     0.1460     0.1946
00600     2.4461      0.1719     0.1930     0.1873
00700     2.4385      0.1445     0.1930     0.1970
00800     2.4633      0.1094     0.1930     0.1714
00900     2.4501      0.1445     0.1930     0.1694
01000     2.4479      0.1406     0.1930     0.1884
01100     2.4428      0.1621     0.1930     0.1923
01200     2.4634      0.1426     0.1930     0.1944
01300     2.4571      0.0996     0.1930     0.1818
01400     2.4320      0.1504     0.1930     0.2078
01500     2.4194      0.1543     0.1930     0.2057
01600     2.3976      0.1836     0.1930     0.1982
01700     2.4168      0.1250     0.1930     0.1736
01800     2.4023      0.1523     0.1930     0.1935
01900     2.4020      0.1543     0.1930     0.1887
02000     2.4126      0.1348     0.1930     0.2053
02100     2.5146      0.0859     0.1930     0.1918
02200     2.5100      0.0703     0.1930     0.1957
02300     2.4620      0.1367     0.1930     0.1902
02400     2.4568      0.1426     0.1930     0.1955
02500     2.4490      0.1895     0.1930     0.1957
02600     2.4484      0.1543     0.1960     0.1751
02700     2.4540      0.1211     0.1960     0.1979
02800     2.4387      0.1699     0.1990     0.1912
02900     2.4416      0.1445     0.1990     0.1982
03000     2.4490      0.1504     0.1990     0.1858
03100     2.4306      0.1777     0.1990     0.1990
03200     2.4335      0.1523     0.2000     0.1890
03300     2.4337      0.1895     0.2070     0.1830
03400     2.4383      0.1445     0.2070     0.1927
03500     2.4397      0.1562     0.2070     0.1871
03600     2.4469      0.1777     0.2070     0.2077
03700     2.4440      0.1543     0.2070     0.1746
03800     2.4513      0.1523     0.2070     0.1832
03900     2.4459      0.1504     0.2070     0.1893
04000     2.4445      0.1699     0.2070     0.2063
04100     2.4419      0.1289     0.2070     0.1849
04200     2.4191      0.1406     0.2070     0.1980
04300     2.5149      0.0801     0.2070     0.1942
04400     2.4376      0.1484     0.2070     0.2079
04500     2.4493      0.1387     0.2070     0.1817
04600     2.4426      0.1484     0.2070     0.1934
04700     2.4354      0.1543     0.2070     0.1911
04800     2.4424      0.1309     0.2070     0.2015
04900     2.4208      0.2129     0.2070     0.1712
05000     2.4472      0.1387     0.2070     0.1796
05100     2.4381      0.1484     0.2070     0.1888
05200     2.4369      0.1504     0.2070     0.1916
05300     2.4249      0.1699     0.2070     0.1726
05400     2.4506      0.1230     0.2070     0.1903
05500     2.4522      0.1406     0.2070     0.1887
05600     2.4258      0.1875     0.2070     0.1894
05700     2.4165      0.1797     0.2070     0.2068
05800     2.4570      0.1309     0.2070     0.1933
05900     2.4247      0.1602     0.2090     0.1961
06000     2.4489      0.1191     0.2100     0.1969
06100     2.4365      0.1562     0.2100     0.1962
06200     2.4106      0.1875     0.2140     0.1899
06300     2.4330      0.1445     0.2190     0.1904
06400     2.3920      0.1738     0.2210     0.1724
06500     2.4172      0.1719     0.2210     0.1963
06600     2.4212      0.1348     0.2210     0.1898
06700     2.3830      0.1973     0.2210     0.1949
06800     2.3789      0.1699     0.2240     0.1975
06900     2.3715      0.2305     0.2240     0.1956
