Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=200000, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=40000, n_mfcc=40, noise_injection=0.1, quant_act=4, quant_inp=6, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7595fbf0-7cfb-4d4a-9bcc-c768eea967ee
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5000      0.0723     0.0840     0.2349
00100     2.4896      0.0664     0.1050     0.1538
00200     2.4773      0.1035     0.1250     0.1501
00300     2.4533      0.1348     0.1660     0.1605
00400     2.4142      0.1602     0.1770     0.1496
00500     2.4171      0.1484     0.1790     0.1510
00600     2.4019      0.1582     0.1910     0.1416
00700     2.4019      0.1523     0.1910     0.1425
00800     2.4137      0.1348     0.1910     0.1488
00900     2.4093      0.1387     0.1910     0.1440
01000     2.3863      0.1641     0.1910     0.1514
01100     2.4019      0.1523     0.1910     0.1458
01200     2.4248      0.1406     0.1910     0.1564
01300     2.4195      0.1348     0.1910     0.1381
01400     2.3913      0.1582     0.1910     0.1534
01500     2.3971      0.1465     0.1910     0.1496
01600     2.3854      0.1641     0.1910     0.1477
01700     2.3960      0.1406     0.1910     0.1463
01800     2.3940      0.1523     0.1990     0.1468
01900     2.3998      0.1621     0.1990     0.1512
02000     2.4102      0.1504     0.1990     0.1468
02100     2.3976      0.1543     0.1990     0.1458
02200     2.3964      0.1426     0.1990     0.1494
02300     2.3977      0.1582     0.1990     0.1514
02400     2.4109      0.1426     0.1990     0.1418
02500     2.3844      0.1738     0.1990     0.1510
02600     2.3717      0.1738     0.1990     0.1519
02700     2.3952      0.1484     0.1990     0.1609
02800     2.3921      0.1699     0.1990     0.1485
02900     2.3915      0.1562     0.1990     0.1477
03000     2.3909      0.1484     0.1990     0.1412
03100     2.3743      0.1426     0.1990     0.1492
03200     2.4112      0.1426     0.1990     0.1479
03300     2.3935      0.1602     0.1990     0.1424
03400     2.3831      0.1543     0.1990     0.1494
03500     2.3939      0.1680     0.1990     0.1471
03600     2.4665      0.1250     0.1990     0.1489
03700     2.3838      0.1816     0.1990     0.1443
03800     2.3915      0.1504     0.1990     0.1497
03900     2.3718      0.1543     0.2000     0.1452
04000     2.3886      0.1543     0.2040     0.1506
04100     2.3872      0.1660     0.2040     0.1436
04200     2.3755      0.1719     0.2040     0.1441
04300     2.3607      0.1934     0.2150     0.1417
04400     2.3436      0.2090     0.2180     0.1447
04500     2.3737      0.1816     0.2210     0.1444
04600     2.3476      0.2031     0.2210     0.1482
04700     2.3644      0.1934     0.2210     0.1471
04800     2.3600      0.1699     0.2220     0.1501
04900     2.3695      0.2051     0.2310     0.1517
05000     2.3543      0.1758     0.2310     0.1451
05100     2.4067      0.1445     0.2310     0.1435
05200     2.3631      0.2070     0.2310     0.1410
05300     2.5196      0.0781     0.2310     0.1492
05400     2.3964      0.1816     0.2310     0.1466
05500     2.3849      0.1504     0.2310     0.1481
05600     2.3790      0.1797     0.2310     0.1419
05700     2.3735      0.1953     0.2310     0.1478
05800     2.3667      0.1816     0.2310     0.1499
05900     2.3702      0.1680     0.2310     0.1418
06000     2.4023      0.1504     0.2310     0.1500
06100     2.4060      0.1484     0.2310     0.1488
06200     2.4073      0.1289     0.2310     0.1502
06300     2.5439      0.0664     0.2310     0.1452
06400     2.4560      0.1035     0.2310     0.1499
06500     2.4715      0.0762     0.2310     0.1468
06600     2.4542      0.1191     0.2310     0.1470
06700     2.4416      0.1309     0.2310     0.1472
06800     2.4531      0.1016     0.2310     0.1470
06900     2.4394      0.1582     0.2310     0.1503
07000     2.4416      0.1172     0.2310     0.1493
07100     2.4507      0.1172     0.2310     0.1418
07200     2.4290      0.1387     0.2310     0.1505
07300     2.4302      0.1621     0.2310     0.1448
07400     2.4484      0.1289     0.2310     0.1393
07500     2.4293      0.1504     0.2310     0.1465
07600     2.4198      0.1836     0.2310     0.1490
07700     2.4238      0.1504     0.2310     0.1394
07800     2.4179      0.1699     0.2310     0.1502
07900     2.4316      0.1641     0.2310     0.1445
08000     2.4047      0.1895     0.2310     0.1487
08100     2.4177      0.1855     0.2310     0.1484
08200     2.4245      0.1680     0.2310     0.1490
08300     2.4054      0.1777     0.2310     0.1481
08400     2.4031      0.2070     0.2310     0.1392
08500     2.4044      0.1426     0.2310     0.1464
08600     2.3979      0.1621     0.2310     0.1460
08700     2.4043      0.1641     0.2310     0.1411
08800     2.3873      0.1758     0.2310     0.1515
08900     2.3741      0.1973     0.2310     0.1497
09000     2.3830      0.1699     0.2310     0.1437
09100     2.3726      0.1797     0.2310     0.1510
09200     2.3721      0.1992     0.2310     0.1444
09300     2.4013      0.1641     0.2310     0.1514
09400     2.3772      0.1738     0.2310     0.1462
09500     2.3669      0.2012     0.2310     0.1467
09600     2.3886      0.1699     0.2310     0.1505
09700     2.4029      0.1680     0.2310     0.1473
09800     2.4163      0.1602     0.2310     0.1535
09900     2.4437      0.1289     0.2310     0.1432
10000     2.4281      0.1621     0.2310     0.1509
10100     2.4088      0.1836     0.2310     0.1422
10200     2.4157      0.1426     0.2310     0.1439
10300     2.4142      0.1582     0.2310     0.1443
10400     2.4103      0.1484     0.2310     0.1407
10500     2.4043      0.1738     0.2310     0.1425
10600     2.3799      0.1680     0.2310     0.1508
10700     2.3747      0.1934     0.2310     0.1482
10800     2.3636      0.2070     0.2310     0.1487
10900     2.3940      0.1602     0.2310     0.1417
11000     2.3898      0.1758     0.2310     0.1494
11100     2.3780      0.1562     0.2310     0.1444
11200     2.3831      0.1895     0.2310     0.1514
11300     2.3528      0.2109     0.2310     0.1503
11400     2.3850      0.1680     0.2310     0.1499
11500     2.3563      0.1934     0.2310     0.1480
11600     2.3825      0.1641     0.2310     0.1485
11700     2.3635      0.1992     0.2310     0.1501
11800     2.3777      0.1523     0.2310     0.1509
11900     2.3743      0.1523     0.2310     0.1498
12000     2.3412      0.2109     0.2350     0.1477
12100     2.3632      0.1816     0.2350     0.1469
12200     2.3785      0.1523     0.2350     0.1468
12300     2.3515      0.1641     0.2350     0.1502
12400     2.3561      0.2109     0.2350     0.1480
12500     2.3547      0.1738     0.2350     0.1496
12600     2.3532      0.2051     0.2380     0.1475
12700     2.3177      0.2207     0.2380     0.1430
12800     2.3420      0.2051     0.2450     0.1524
12900     2.3278      0.2324     0.2450     0.1494
13000     2.3224      0.1973     0.2450     0.1441
13100     2.3188      0.2129     0.2620     0.1497
13200     2.3499      0.1816     0.2620     0.1424
13300     2.3453      0.2051     0.2620     0.1495
13400     2.3276      0.2031     0.2620     0.1496
13500     2.3419      0.2070     0.2620     0.1499
13600     2.3185      0.2031     0.2620     0.1468
13700     2.3449      0.1953     0.2620     0.1486
13800     2.3107      0.2090     0.2620     0.1661
13900     2.3006      0.1816     0.2620     0.1423
14000     2.3073      0.2012     0.2620     0.1484
14100     2.3358      0.1523     0.2620     0.1413
14200     2.3197      0.1797     0.2620     0.1480
14300     2.3275      0.1934     0.2620     0.1742
14400     2.3014      0.2070     0.2620     0.1500
14500     2.3014      0.2070     0.2620     0.1444
14600     2.3093      0.2012     0.2620     0.1490
14700     2.3207      0.2129     0.2620     0.1487
14800     2.3038      0.2324     0.2670     0.1463
14900     2.3312      0.1895     0.2670     0.1439
15000     2.3041      0.2051     0.2670     0.1493
15100     2.2969      0.2090     0.2670     0.1487
15200     2.3056      0.1973     0.2670     0.1496
15300     2.2932      0.1973     0.2670     0.1467
15400     2.2906      0.2188     0.2670     0.1461
15500     2.2831      0.1875     0.2670     0.1488
15600     2.2923      0.2168     0.2670     0.1407
15700     2.2948      0.1660     0.2670     0.1502
15800     2.3130      0.1953     0.2670     0.1501
15900     2.2593      0.2246     0.2670     0.1516
16000     2.2704      0.2266     0.2670     0.1489
16100     2.2934      0.1953     0.2670     0.1484
16200     2.2767      0.2246     0.2670     0.1457
16300     2.2946      0.1914     0.2670     0.1499
16400     2.3047      0.2207     0.2670     0.1421
16500     2.3289      0.1914     0.2670     0.1522
16600     2.3611      0.1777     0.2670     0.1482
16700     2.2959      0.2031     0.2670     0.1593
16800     2.2657      0.2266     0.2670     0.1499
16900     2.2838      0.2324     0.2740     0.1414
17000     2.2636      0.2441     0.2740     0.1535
17100     2.2886      0.2285     0.2750     10.4693
17200     2.2756      0.2031     0.2750     0.1508
17300     2.3005      0.2012     0.2750     0.1395
17400     2.2970      0.2324     0.2750     0.1438
17500     2.2952      0.2070     0.2750     0.1494
17600     2.2765      0.2324     0.2750     0.1458
17700     2.2561      0.2734     0.2750     0.1390
17800     2.3132      0.2012     0.2750     0.1477
17900     2.2720      0.2129     0.2750     0.1477
18000     2.2824      0.2363     0.2750     0.1442
18100     2.2737      0.2441     0.2750     0.1430
18200     2.2885      0.2148     0.2750     0.1415
18300     2.2711      0.2246     0.2750     0.1467
18400     2.2542      0.2402     0.2750     0.1440
18500     2.2402      0.2344     0.2850     0.1497
18600     2.2627      0.2051     0.2850     0.1502
18700     2.2247      0.2539     0.2850     0.1433
18800     2.2422      0.2754     0.2850     0.1475
18900     2.2901      0.1953     0.2850     0.1499
19000     2.2614      0.2266     0.2850     0.1461
19100     2.2634      0.2109     0.2850     0.1500
19200     2.2715      0.1836     0.2850     0.1438
19300     2.2735      0.2148     0.2960     0.1417
19400     2.2303      0.2500     0.3030     0.1491
19500     2.2734      0.2441     0.3030     0.1438
19600     2.2648      0.2441     0.3030     0.1432
19700     2.2333      0.2422     0.3030     0.1444
19800     2.2164      0.2676     0.3140     0.1521
19900     2.2602      0.2441     0.3140     0.1489
20000     2.2874      0.2383     0.3140     0.1489
20100     2.2577      0.2344     0.3140     0.1424
20200     2.2353      0.2559     0.3140     0.1474
20300     2.2653      0.1895     0.3140     0.1401
20400     2.2565      0.2051     0.3140     0.1456
20500     2.2779      0.2422     0.3140     0.1457
20600     2.2491      0.2383     0.3140     0.1514
20700     2.2263      0.2852     0.3140     0.1509
20800     2.2788      0.2109     0.3140     0.1496
20900     2.2526      0.2402     0.3140     0.1467
21000     2.2095      0.2715     0.3140     0.1487
21100     2.2627      0.2578     0.3140     0.1427
