Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=1, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
3d61b95a-8965-4abc-a771-232192718abd
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.6806      0.0700     0.0997     13.8594   0.0000
00100     2.3641      0.2500     0.2260     54.7189   0.0000
00200     1.9826      0.2800     0.4241     49.8070   0.0000
00300     1.7386      0.4700     0.5074     48.2947   0.0000
00400     1.5994      0.4200     0.5842     48.7911   0.0000
00500     1.3025      0.5900     0.6108     47.8617   0.0000
00600     1.1944      0.6500     0.6539     48.8798   0.0000
00700     1.3445      0.5800     0.6645     49.0678   0.0000
00800     1.1904      0.6600     0.6848     48.2024   0.0000
00900     0.8786      0.7500     0.6894     48.3918   0.0000
01000     1.1282      0.6500     0.7182     47.7748   0.0000
01100     0.9411      0.7400     0.7309     48.2133   0.0000
01200     1.2249      0.6600     0.7101     47.9743   0.0000
01300     1.0842      0.6800     0.7625     48.2094   0.0000
01400     1.0339      0.6600     0.7484     48.0384   0.0000
01500     0.9904      0.6900     0.7376     48.2057   0.0000
01600     1.0579      0.6900     0.7584     48.2185   0.0000
01700     1.2357      0.6000     0.7462     48.2161   0.0000
01800     1.1477      0.6800     0.7651     48.5138   0.0000
01900     0.8558      0.7500     0.7609     51.0791   0.0000
02000     1.0977      0.6700     0.7482     48.4365   0.0000
02100     1.1261      0.6800     0.7575     48.2716   0.0000
02200     0.9104      0.7300     0.7615     48.0858   0.0000
02300     1.0197      0.7000     0.7615     48.5142   0.0000
02400     0.8087      0.7400     0.7910     50.9671   0.0000
02500     0.8616      0.7300     0.7709     48.4367   0.0000
02600     0.9359      0.6800     0.7691     52.5945   0.0000
02700     1.0278      0.7100     0.7634     52.5505   0.0000
02800     0.9155      0.7100     0.7856     50.1700   0.0000
02900     0.8615      0.7500     0.7732     53.9904   0.0000
03000     0.9551      0.7300     0.7774     48.3374   0.0000
03100     0.8110      0.7600     0.7766     48.2498   0.0000
03200     0.8342      0.7400     0.7637     50.7735   0.0000
03300     1.0260      0.6700     0.7745     49.0608   0.0000
03400     0.9617      0.7300     0.7949     51.7241   0.0000
03500     0.8726      0.7500     0.7784     48.5192   0.0000
03600     0.9154      0.7300     0.8036     55.3362   0.0000
03700     0.8539      0.7600     0.7994     50.3028   0.0000
03800     0.7697      0.7500     0.8006     51.0549   0.0000
03900     0.7049      0.7900     0.7968     53.2492   0.0000
04000     0.6963      0.7900     0.7905     48.4940   0.0000
04100     1.0235      0.6800     0.8136     48.0525   0.0000
04200     0.9874      0.7200     0.7904     49.5127   0.0000
04300     0.8278      0.7500     0.8118     51.7839   0.0000
04400     0.8384      0.7500     0.8049     48.8544   0.0000
04500     0.6356      0.8000     0.7884     50.7989   0.0000
04600     0.9308      0.7300     0.7968     51.0999   0.0000
04700     1.0213      0.7400     0.8107     53.8898   0.0000
04800     0.8524      0.6900     0.8009     53.4024   0.0000
04900     0.7824      0.7300     0.8142     55.1077   0.0000
05000     0.9104      0.7100     0.8016     49.4807   0.0000
05100     0.9856      0.7200     0.8068     49.2457   0.0000
05200     0.9888      0.6700     0.8276     48.3307   0.0000
05300     0.7096      0.8200     0.8147     49.9565   0.0000
05400     0.7597      0.8000     0.8181     51.1860   0.0000
05500     0.9899      0.7000     0.8144     52.3674   0.0000
05600     0.9376      0.7000     0.8134     51.5384   0.0000
05700     0.7861      0.7200     0.8127     55.1601   0.0000
05800     0.7395      0.8000     0.8144     48.3715   0.0000
05900     0.9050      0.7700     0.8089     49.2429   0.0000
06000     0.8122      0.7800     0.8191     47.9500   0.0000
06100     0.8115      0.7700     0.8139     51.2156   0.0000
06200     0.7230      0.7600     0.8188     49.4660   0.0000
06300     0.7502      0.7300     0.8130     53.3785   0.0000
06400     0.8939      0.7200     0.8236     55.4899   0.0000
06500     0.6150      0.8500     0.8204     48.7030   0.0000
06600     0.8724      0.7300     0.8171     47.8549   0.0000
06700     0.8036      0.7900     0.8276     49.2747   0.0000
06800     0.7243      0.7700     0.8171     49.8870   0.0000
06900     0.7543      0.7400     0.8266     49.6995   0.0000
07000     0.9323      0.7300     0.8103     51.9155   0.0000
07100     0.7004      0.8200     0.8299     49.7116   0.0000
07200     0.6666      0.8100     0.8331     48.0131   0.0000
07300     0.7652      0.7700     0.8183     49.6878   0.0000
07400     0.7737      0.7700     0.8241     48.1631   0.0000
07500     0.6671      0.8100     0.8146     51.1428   0.0000
07600     0.7984      0.7900     0.8284     51.0953   0.0000
07700     0.7153      0.7800     0.8228     49.7818   0.0000
07800     0.6049      0.8500     0.8234     48.9720   0.0000
07900     0.6206      0.8300     0.8110     50.0076   0.0000
08000     0.5045      0.9300     0.8270     53.4501   0.0000
08100     0.6544      0.8300     0.8275     50.0151   0.0000
08200     0.7515      0.7700     0.8218     54.0071   0.0000
08300     0.7333      0.7700     0.8321     50.7009   0.0000
08400     0.6898      0.7900     0.8286     48.8988   0.0000
08500     0.6838      0.8200     0.8314     51.2560   0.0000
08600     0.6909      0.8100     0.8340     52.7600   0.0000
08700     0.4595      0.9100     0.8280     48.1804   0.0000
08800     0.8486      0.7100     0.8328     52.7603   0.0000
08900     0.7386      0.7800     0.8347     51.7350   0.0000
09000     0.5882      0.8600     0.8215     50.1305   0.0000
09100     0.6028      0.8500     0.8316     50.5665   0.0000
