Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=3, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
90ff98c5-0832-4e76-8178-24fa87601dc4
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     4.8466      0.0800     0.0701     18.2102   0.0912
00100     2.5550      0.2100     0.2131     64.6938   0.0386
00200     2.4696      0.2200     0.2402     64.7054   0.0033
00300     2.2535      0.2700     0.2958     64.3353   0.0000
00400     2.2311      0.2700     0.2999     65.1019   0.0000
00500     1.8877      0.3600     0.3585     63.6564   0.0000
00600     1.9326      0.4200     0.3868     63.5050   0.0000
00700     2.0083      0.3200     0.3688     64.2800   0.0001
00800     1.9498      0.3100     0.3648     65.1446   0.0000
00900     1.6868      0.3900     0.3972     64.5117   0.0000
01000     1.7404      0.5200     0.4528     67.2173   0.0000
01100     1.8711      0.3400     0.4292     64.2519   0.0000
01200     1.8784      0.4100     0.4520     64.3416   0.0001
01300     1.5840      0.4700     0.4601     65.6081   0.0000
01400     1.7664      0.3700     0.4429     64.1466   0.0000
01500     1.5696      0.5400     0.4646     65.0245   0.0001
01600     1.8608      0.3200     0.4632     64.7118   0.0000
01700     2.0775      0.3400     0.5029     65.6115   0.0000
01800     1.7197      0.4500     0.5121     66.1007   0.0000
01900     1.9785      0.3100     0.5345     65.2068   0.0000
02000     1.6713      0.4600     0.5143     63.6980   0.0001
02100     1.5697      0.4500     0.5260     63.8634   0.0000
02200     1.7622      0.3600     0.5546     64.7341   0.0000
02300     1.5777      0.4900     0.5748     63.3358   0.0000
