Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=4, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
0277610b-a9a8-436c-ba6e-bb0ed7532558
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.7062      0.1400     0.1459     16.4023   0.2657
00100     2.4257      0.1900     0.2513     69.8922   0.1706
00200     1.9400      0.3400     0.3416     68.1186   0.0996
00300     1.9291      0.3900     0.3958     67.9626   0.0479
00400     1.6770      0.4700     0.4454     68.0871   0.0107
00500     1.5781      0.4600     0.5098     68.2945   0.0000
00600     1.6032      0.4400     0.4527     68.0778   0.0000
00700     1.6590      0.4700     0.5293     67.9230   0.0001
00800     1.7594      0.4500     0.5043     67.8399   0.0000
00900     1.5723      0.4500     0.5073     67.9835   0.0001
01000     1.3974      0.5400     0.5721     67.9551   0.0000
01100     1.5954      0.4700     0.5744     67.5274   0.0001
01200     1.3221      0.5800     0.6255     67.9590   0.0000
01300     1.4699      0.5300     0.5898     69.1101   0.0000
01400     1.1183      0.6500     0.5691     68.1075   0.0000
01500     1.1823      0.6300     0.6340     68.6717   0.0000
01600     1.0663      0.6700     0.6888     68.4091   0.0000
01700     1.2211      0.5700     0.6779     67.9699   0.0000
01800     1.2355      0.5600     0.6898     68.3859   0.0000
01900     1.1252      0.6900     0.6698     68.1979   0.0000
02000     1.0886      0.6800     0.6432     67.8404   0.0000
02100     1.1300      0.6600     0.6871     68.7107   0.0000
02200     1.1467      0.6300     0.6536     68.9475   0.0000
02300     1.2365      0.6200     0.6932     68.7263   0.0000
02400     1.1496      0.6100     0.6719     69.3106   0.0000
02500     0.9577      0.6800     0.6822     68.8836   0.0000
02600     0.9189      0.7000     0.7089     68.7839   0.0000
02700     1.1560      0.6600     0.7188     69.1882   0.0000
02800     1.0400      0.6900     0.7070     68.9078   0.0000
02900     1.0483      0.6900     0.7204     69.0526   0.0000
03000     0.9144      0.6900     0.6985     68.7651   0.0000
03100     1.1370      0.6600     0.7315     68.9133   0.0000
03200     0.9074      0.7100     0.7113     68.9496   0.0000
03300     1.1303      0.7100     0.6900     68.4000   0.0000
03400     1.0336      0.6800     0.7058     69.3902   0.0000
03500     1.0457      0.6700     0.7044     68.9802   0.0000
