Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=6, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e7d09d8c-ac74-42ed-a0ba-46f159b6cb9c
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3796      0.0400     0.0725     15.5447   0.4331
00100     2.2250      0.2200     0.3306     59.7310   0.2636
00200     1.6618      0.4100     0.4564     57.8642   0.1459
00300     1.6397      0.4600     0.5718     59.4176   0.0809
00400     1.2998      0.5600     0.6236     60.1545   0.0422
00500     1.4135      0.5500     0.6968     57.7189   0.0168
00600     1.0455      0.6800     0.7133     58.4769   0.0003
00700     0.9332      0.7100     0.7193     61.5724   0.0000
00800     0.9072      0.7000     0.7217     57.5160   0.0000
00900     1.1569      0.6300     0.7386     58.8404   0.0000
01000     1.0776      0.6300     0.7506     57.1312   0.0000
01100     1.0519      0.7700     0.7581     59.0311   0.0000
01200     1.0186      0.7100     0.7642     60.9014   0.0000
01300     0.9580      0.6600     0.7316     56.6567   0.0000
01400     0.8384      0.7300     0.7725     56.8952   0.0000
01500     0.7993      0.7200     0.7623     57.2421   0.0000
01600     0.8453      0.7600     0.7570     53.6480   0.0000
01700     1.0126      0.6700     0.7738     55.9569   0.0001
01800     0.9397      0.6900     0.7756     54.0068   0.0000
01900     0.9994      0.7100     0.7749     54.7953   0.0000
02000     0.9294      0.7300     0.7836     56.6736   0.0000
02100     0.9202      0.6900     0.7956     51.0524   0.0000
02200     0.9705      0.6500     0.7751     51.7206   0.0000
02300     0.8484      0.7800     0.7804     57.8735   0.0000
02400     0.9879      0.6900     0.7996     56.4023   0.0000
02500     0.9103      0.6800     0.7995     59.1796   0.0000
02600     0.9366      0.6700     0.7970     55.8535   0.0000
02700     0.8563      0.7200     0.7944     56.0949   0.0000
02800     0.6882      0.7300     0.7757     56.4324   0.0000
02900     0.9187      0.7200     0.7802     56.4163   0.0000
03000     0.7515      0.7900     0.7988     58.5176   0.0000
03100     0.7227      0.7900     0.7942     57.9720   0.0000
03200     0.9887      0.6500     0.7996     56.1741   0.0000
03300     0.8549      0.7600     0.8019     56.9766   0.0000
03400     0.8713      0.7500     0.8217     55.6158   0.0000
03500     0.8061      0.7700     0.7917     53.5266   0.0000
03600     0.7766      0.7700     0.7971     54.2905   0.0000
03700     0.7786      0.7100     0.7861     54.4934   0.0000
03800     0.7119      0.7700     0.8003     53.6502   0.0000
03900     0.7154      0.7900     0.8219     54.3550   0.0000
04000     0.7768      0.7200     0.7992     55.0096   0.0000
04100     0.9114      0.7100     0.7929     54.4149   0.0000
04200     0.7378      0.7900     0.8062     54.0799   0.0000
04300     0.6248      0.7900     0.8188     54.1729   0.0000
04400     0.6350      0.8400     0.8098     54.2663   0.0000
04500     0.7416      0.7500     0.8117     54.4756   0.0000
04600     0.9184      0.6900     0.8008     54.4081   0.0000
04700     0.7028      0.7600     0.8026     54.8196   0.0000
04800     0.6171      0.8000     0.8274     53.4925   0.0000
04900     0.7109      0.7800     0.8132     53.5816   0.0000
05000     0.8250      0.7800     0.8145     54.2417   0.0000
05100     0.5774      0.7900     0.8193     55.2715   0.0000
05200     0.7685      0.7700     0.8190     54.4460   0.0000
05300     0.6085      0.7800     0.8261     51.2368   0.0000
05400     0.8347      0.7200     0.8198     50.9532   0.0000
05500     0.8835      0.7500     0.8207     51.3297   0.0000
05600     0.8549      0.7100     0.8302     52.3754   0.0000
05700     0.7249      0.7700     0.8269     52.7036   0.0000
05800     0.8115      0.7500     0.8283     52.7583   0.0000
05900     0.5184      0.8800     0.8103     54.6932   0.0000
06000     0.5354      0.8300     0.8273     55.1625   0.0000
06100     0.6127      0.8000     0.8344     51.7897   0.0000
06200     0.7898      0.7500     0.8314     53.1533   0.0000
06300     0.5994      0.8200     0.8229     51.0916   0.0000
06400     0.6331      0.7700     0.8281     53.2313   0.0000
06500     0.8592      0.6900     0.8373     54.2967   0.0000
06600     0.6073      0.8200     0.8199     59.9082   0.0000
06700     0.5978      0.7800     0.8427     58.9453   0.0000
06800     0.7123      0.7800     0.8226     57.5115   0.0000
06900     0.6019      0.8100     0.8347     57.9981   0.0000
07000     0.8241      0.7600     0.8272     53.4960   0.0000
07100     0.5660      0.8400     0.8269     51.2165   0.0000
07200     0.6938      0.7700     0.8310     53.5101   0.0000
07300     0.5080      0.8300     0.8345     51.2946   0.0000
07400     0.8837      0.7300     0.8460     50.8947   0.0000
07500     0.6604      0.8000     0.8330     53.8948   0.0000
07600     0.6397      0.7900     0.8202     50.6442   0.0000
07700     0.7356      0.7800     0.8372     52.1231   0.0000
07800     0.6673      0.7700     0.8371     54.3616   0.0000
07900     0.5892      0.7600     0.8297     53.4058   0.0000
08000     0.5971      0.8100     0.8301     55.0042   0.0000
08100     0.6653      0.7900     0.8385     55.2553   0.0000
08200     0.7422      0.7800     0.8394     56.0828   0.0000
08300     0.6426      0.8200     0.8261     53.2575   0.0000
08400     0.5704      0.8600     0.8381     53.3185   0.0000
08500     0.6716      0.7700     0.8374     58.1751   0.0000
08600     0.5851      0.8200     0.8373     58.8091   0.0000
08700     0.5710      0.8300     0.8212     58.1663   0.0000
08800     0.8417      0.7400     0.8395     52.8842   0.0000
08900     0.8009      0.7100     0.8402     53.2060   0.0000
09000     0.9109      0.7600     0.8411     52.5357   0.0000
09100     0.5358      0.8000     0.8391     54.5568   0.0000
09200     0.5760      0.7900     0.8420     53.9733   0.0000
09300     0.6576      0.7900     0.8484     55.1137   0.0001
09400     0.6356      0.7700     0.8294     55.8782   0.0000
09500     0.5547      0.8200     0.8424     56.3522   0.0000
09600     0.6433      0.8200     0.8422     56.9063   0.0000
09700     0.6392      0.8000     0.8531     53.8459   0.0000
09800     0.6932      0.7600     0.8386     54.2849   0.0000
09900     0.8828      0.8000     0.8315     54.4639   0.0000
10000     0.6135      0.8400     0.8255     52.5145   0.0000
10100     0.5596      0.8200     0.8540     54.8830   0.0000
10200     0.6304      0.7600     0.8526     57.1213   0.0000
10300     0.5619      0.8300     0.8560     54.8222   0.0000
10400     0.6633      0.7900     0.8465     53.5229   0.0000
10500     0.3566      0.9300     0.8469     53.0362   0.0000
10600     0.7244      0.8100     0.8559     52.0036   0.0000
10700     0.5317      0.8800     0.8648     51.0859   0.0000
10800     0.4756      0.8200     0.8702     51.3139   0.0000
10900     0.5150      0.8400     0.8597     52.5150   0.0000
11000     0.5081      0.8300     0.8506     54.1402   0.0000
11100     0.5726      0.8400     0.8530     52.6588   0.0000
11200     0.5054      0.8700     0.8639     53.2539   0.0000
11300     0.6301      0.8300     0.8502     50.8703   0.0000
11400     0.7344      0.7800     0.8509     52.1763   0.0000
11500     0.5507      0.8400     0.8521     50.6508   0.0000
11600     0.5283      0.8300     0.8515     50.9240   0.0000
11700     0.7233      0.7600     0.8557     51.7267   0.0000
11800     0.5634      0.8000     0.8587     51.8033   0.0000
11900     0.5024      0.8300     0.8575     51.6797   0.0000
12000     0.5977      0.8100     0.8588     51.3950   0.0000
12100     0.6142      0.7900     0.8550     54.7980   0.0000
12200     0.6616      0.7900     0.8618     51.2193   0.0000
12300     0.6444      0.8000     0.8596     52.2276   0.0000
12400     0.4933      0.8300     0.8625     52.2907   0.0000
12500     0.5663      0.8400     0.8571     52.1820   0.0000
12600     0.5453      0.8300     0.8504     51.4849   0.0000
12700     0.5470      0.8500     0.8570     53.5296   0.0000
12800     0.6230      0.8000     0.8525     52.8568   0.0000
12900     0.5432      0.8500     0.8671     51.6550   0.0000
13000     0.5238      0.8500     0.8503     53.1302   0.0000
13100     0.6800      0.7600     0.8598     53.3832   0.0000
13200     0.5980      0.8400     0.8574     52.8513   0.0000
13300     0.4628      0.8800     0.8549     54.4019   0.0000
13400     0.5611      0.8100     0.8596     55.4999   0.0000
13500     0.4820      0.8500     0.8502     54.4959   0.0000
13600     0.5000      0.8100     0.8657     54.4467   0.0000
13700     0.5285      0.8200     0.8640     53.6822   0.0000
13800     0.3943      0.8900     0.8560     53.1319   0.0000
13900     0.4896      0.8300     0.8625     54.3044   0.0000
14000     0.5058      0.8300     0.8535     54.5846   0.0000
14100     0.6004      0.7800     0.8635     53.8846   0.0000
14200     0.5530      0.8300     0.8608     54.5501   0.0000
14300     0.5587      0.8600     0.8503     52.9176   0.0000
14400     0.4907      0.8300     0.8681     52.3696   0.0000
14500     0.5953      0.8300     0.8551     51.7097   0.0000
14600     0.5245      0.8700     0.8569     54.1629   0.0000
14700     0.5979      0.8000     0.8650     53.7962   0.0000
14800     0.5287      0.8500     0.8677     54.2413   0.0000
14900     0.5319      0.8200     0.8590     54.3273   0.0000
15000     0.4828      0.8300     0.8639     52.1494   0.0000
15100     0.5271      0.8200     0.8616     53.0517   0.0000
15200     0.4586      0.8600     0.8686     52.7653   0.0000
15300     0.6560      0.8000     0.8557     52.7072   0.0000
15400     0.5464      0.8100     0.8654     52.8704   0.0000
15500     0.6701      0.7800     0.8691     51.8925   0.0000
15600     0.5547      0.8200     0.8661     53.7750   0.0000
15700     0.4008      0.8900     0.8636     52.7871   0.0000
15800     0.6294      0.7900     0.8568     56.3491   0.0000
15900     0.6097      0.8500     0.8618     55.6097   0.0000
16000     0.5860      0.8400     0.8652     57.5090   0.0000
16100     0.5157      0.8200     0.8656     58.5963   0.0000
16200     0.6361      0.7500     0.8722     51.4479   0.0000
16300     0.7058      0.7800     0.8613     51.8212   0.0000
16400     0.4756      0.8900     0.8655     51.2286   0.0000
16500     0.5318      0.8100     0.8603     54.4253   0.0000
16600     0.4708      0.8500     0.8634     52.0232   0.0000
16700     0.5036      0.8400     0.8688     52.2348   0.0000
16800     0.4583      0.8600     0.8600     52.9520   0.0000
16900     0.5285      0.8700     0.8651     52.8066   0.0000
17000     0.5649      0.8100     0.8684     53.6677   0.0000
17100     0.6702      0.8000     0.8632     53.2373   0.0000
17200     0.3912      0.9100     0.8631     56.4509   0.0000
17300     0.4640      0.8500     0.8633     54.8072   0.0000
17400     0.4299      0.8700     0.8548     51.4539   0.0000
17500     0.5867      0.7700     0.8654     51.4081   0.0000
17600     0.4207      0.8900     0.8670     56.6545   0.0000
17700     0.5962      0.8100     0.8672     55.8214   0.0000
17800     0.4943      0.8700     0.8625     52.3123   0.0000
17900     0.5965      0.7700     0.8602     52.3696   0.0000
18000     0.4745      0.8400     0.8634     52.5169   0.0000
18100     0.5734      0.8200     0.8564     51.5864   0.0000
18200     0.3860      0.9000     0.8575     52.0997   0.0000
18300     0.4536      0.8800     0.8653     52.2917   0.0000
18400     0.3463      0.9000     0.8523     53.5172   0.0000
18500     0.5051      0.8500     0.8621     52.5534   0.0000
18600     0.4558      0.8400     0.8681     50.3190   0.0000
18700     0.4983      0.8300     0.8624     52.3128   0.0000
18800     0.4046      0.8600     0.8663     51.2349   0.0000
18900     0.5674      0.8600     0.8661     52.0372   0.0000
19000     0.4642      0.8700     0.8716     53.9085   0.0000
19100     0.4860      0.8200     0.8636     52.7315   0.0000
19200     0.4807      0.8500     0.8651     52.4457   0.0000
19300     0.5597      0.8300     0.8629     52.9145   0.0000
19400     0.5129      0.8400     0.8749     52.2903   0.0000
19500     0.5319      0.8300     0.8744     54.0505   0.0000
19600     0.5451      0.8200     0.8635     52.9840   0.0000
19700     0.3891      0.8600     0.8647     54.3654   0.0000
19800     0.4944      0.8500     0.8671     52.8677   0.0000
19900     0.5032      0.8400     0.8603     52.4572   0.0000
20000     0.6922      0.8000     0.8689     51.6677   0.0000
20100     0.5198      0.8500     0.8694     51.5713   0.0000
20199     0.4852      0.8200     0.8706     51.1457   0.0000
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.5888      0.8200     0.8711     15.5301   0.0000
00100     0.5690      0.8200     0.8767     53.8479   0.0000
00200     0.6123      0.8000     0.8778     54.3826   0.0000
00300     0.3972      0.8800     0.8794     55.2190   0.0000
00400     0.5471      0.8200     0.8861     61.2053   0.0000
00500     0.4916      0.8200     0.8832     57.5713   0.0000
00600     0.5314      0.8400     0.8765     54.5011   0.0000
00700     0.5746      0.8800     0.8808     55.7820   0.0000
00800     0.5875      0.8200     0.8802     51.7435   0.0000
00900     0.4246      0.8700     0.8797     51.6388   0.0000
01000     0.6774      0.7800     0.8819     57.2519   0.0000
01100     0.3333      0.9000     0.8805     55.8057   0.0000
01200     0.4525      0.8700     0.8821     55.6678   0.0000
01300     0.4135      0.8900     0.8829     51.2052   0.0000
01400     0.5021      0.8300     0.8777     52.2686   0.0000
01500     0.3536      0.8700     0.8837     52.2622   0.0000
01600     0.5158      0.8700     0.8775     51.8982   0.0000
01700     0.5798      0.8400     0.8793     51.9450   0.0000
01800     0.5466      0.8400     0.8827     51.1392   0.0000
01900     0.3413      0.9100     0.8804     51.6526   0.0000
02000     0.4701      0.8400     0.8863     51.1189   0.0000
02100     0.4830      0.8700     0.8825     51.1409   0.0000
02200     0.3713      0.8900     0.8818     50.5194   0.0000
02300     0.3967      0.9100     0.8787     51.9481   0.0000
02400     0.5692      0.8400     0.8816     51.6325   0.0000
02500     0.4843      0.8800     0.8818     51.7450   0.0000
02600     0.4485      0.8600     0.8768     50.7720   0.0000
02700     0.4532      0.8500     0.8781     50.9855   0.0000
02800     0.4902      0.8300     0.8791     53.2714   0.0000
02900     0.3716      0.9000     0.8791     54.2761   0.0000
03000     0.3532      0.8800     0.8786     53.4931   0.0000
03100     0.4103      0.8600     0.8795     53.5956   0.0000
03200     0.4188      0.8700     0.8831     53.5578   0.0000
03300     0.5167      0.8200     0.8804     52.7336   0.0000
03400     0.5339      0.8700     0.8836     51.9302   0.0000
03500     0.4395      0.8400     0.8810     54.9787   0.0000
03600     0.4090      0.8700     0.8836     56.6351   0.0000
03700     0.4855      0.8700     0.8785     56.2140   0.0000
03800     0.4064      0.8800     0.8829     55.5886   0.0000
03900     0.6157      0.8400     0.8859     54.1718   0.0000
04000     0.4913      0.8400     0.8834     55.7898   0.0000
04100     0.3975      0.9000     0.8808     53.4100   0.0000
04200     0.4517      0.8600     0.8825     53.9427   0.0000
04300     0.3422      0.9100     0.8816     55.2138   0.0000
04400     0.4156      0.8500     0.8784     54.5014   0.0000
04500     0.4540      0.8700     0.8795     52.4642   0.0000
04600     0.3300      0.9100     0.8781     52.3957   0.0000
04700     0.5203      0.8500     0.8872     55.3305   0.0000
04800     0.5081      0.8100     0.8815     55.8593   0.0000
04900     0.4428      0.8600     0.8812     55.0398   0.0000
05000     0.5974      0.8300     0.8815     52.0560   0.0000
05100     0.3453      0.8700     0.8782     51.4951   0.0000
05200     0.5761      0.8200     0.8797     51.2545   0.0000
05300     0.6691      0.8300     0.8796     51.9392   0.0000
05400     0.5016      0.8300     0.8789     52.1493   0.0000
05500     0.3592      0.9000     0.8776     53.9428   0.0000
05600     0.5217      0.8400     0.8828     52.6093   0.0000
05700     0.3621      0.9000     0.8771     53.5323   0.0000
05800     0.4514      0.8600     0.8772     52.4896   0.0000
05900     0.4550      0.8700     0.8732     52.5399   0.0000
06000     0.5067      0.8200     0.8818     52.2082   0.0000
06100     0.3547      0.9100     0.8782     51.0802   0.0000
06200     0.5525      0.8300     0.8798     50.8782   0.0000
06300     0.3914      0.8800     0.8801     52.5231   0.0000
06400     0.5705      0.8600     0.8845     55.7051   0.0000
06500     0.4996      0.8400     0.8796     55.7893   0.0000
06600     0.5015      0.8700     0.8842     54.5272   0.0000
06700     0.4077      0.8700     0.8800     57.9906   0.0000
06800     0.4118      0.8800     0.8807     51.0376   0.0000
06900     0.4390      0.8400     0.8820     51.5588   0.0000
07000     0.4114      0.8700     0.8796     52.2882   0.0000
07100     0.4762      0.8300     0.8798     54.7766   0.0000
07200     0.4492      0.8300     0.8868     57.4546   0.0000
07300     0.4673      0.8600     0.8794     57.1450   0.0000
07400     0.3415      0.8700     0.8833     54.7684   0.0000
07500     0.4194      0.8900     0.8764     52.6704   0.0000
07600     0.5618      0.8100     0.8856     53.1450   0.0000
07700     0.3744      0.8800     0.8802     51.4788   0.0000
07800     0.5104      0.8200     0.8771     52.8344   0.0000
07900     0.4095      0.8700     0.8798     52.0932   0.0000
08000     0.5007      0.8500     0.8729     51.4401   0.0000
08100     0.4906      0.8600     0.8878     53.7968   0.0000
08200     0.4583      0.8600     0.8770     53.3176   0.0000
08300     0.3844      0.8900     0.8764     51.2639   0.0000
08400     0.6207      0.8200     0.8763     50.9506   0.0000
08500     0.3882      0.9000     0.8749     51.6543   0.0000
08600     0.4935      0.8500     0.8773     54.1310   0.0000
08700     0.2741      0.9200     0.8767     54.2368   0.0000
08800     0.4322      0.8600     0.8739     57.5944   0.0000
08900     0.4617      0.8800     0.8788     56.2698   0.0000
09000     0.4123      0.9100     0.8743     56.3348   0.0000
09100     0.4567      0.9000     0.8801     56.2259   0.0000
09200     0.5503      0.8500     0.8771     53.8418   0.0000
09300     0.3687      0.9200     0.8801     55.1117   0.0000
09400     0.3918      0.8800     0.8850     55.5851   0.0000
09500     0.2881      0.9200     0.8745     55.6172   0.0000
09600     0.3685      0.8600     0.8773     56.1145   0.0000
09700     0.3502      0.8900     0.8804     54.4243   0.0000
09800     0.4549      0.8700     0.8804     56.2923   0.0000
09900     0.4845      0.8300     0.8750     55.5993   0.0000
Start testing:
Test Accuracy: 0.8706
