Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=512, canonical_testing=False, cs=0.5, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=104, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=10, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1b6ebd10-12d2-496a-b98d-c7848e8cc902
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6509      0.0859     0.0682     10.8450
00100     1.6770      0.4219     0.4678     70.6586
00200     1.2540      0.6055     0.6637     69.5056
00300     1.0763      0.6660     0.7036     71.4823
00400     0.9842      0.7129     0.7382     68.7058
00500     0.8993      0.6973     0.7713     69.8254
00600     0.8433      0.7402     0.7713     67.1456
00700     0.8221      0.7617     0.7890     68.8748
00800     0.8043      0.7461     0.7890     67.9716
00900     0.7696      0.7734     0.7890     68.0970
01000     0.8391      0.7344     0.7890     68.1986
01100     0.7973      0.7617     0.7956     69.8340
01200     0.7842      0.7520     0.7968     67.6839
01300     0.8340      0.7344     0.8075     68.6951
01400     0.7201      0.7734     0.8096     69.7097
01500     0.7062      0.7793     0.8177     69.5587
01600     0.6749      0.7910     0.8177     68.8657
01700     0.7260      0.7871     0.8177     67.4751
01800     0.7227      0.7773     0.8177     69.0086
01900     0.7018      0.8027     0.8200     68.3278
02000     0.7512      0.7773     0.8332     68.7509
02100     0.6121      0.8203     0.8332     67.3633
02200     0.6730      0.7832     0.8332     68.4390
02300     0.7019      0.7832     0.8332     67.6462
02400     0.6713      0.8027     0.8332     70.1922
02500     0.7196      0.7754     0.8332     67.4649
02600     0.7729      0.7676     0.8332     70.3254
02700     0.6983      0.7812     0.8332     68.5921
02800     0.7174      0.7695     0.8332     68.9401
02900     0.7028      0.7852     0.8332     69.2999
03000     0.6821      0.7871     0.8332     68.7759
03100     0.7090      0.7773     0.8426     69.5409
03200     0.6330      0.8418     0.8426     70.0260
03300     0.6238      0.8223     0.8426     68.7758
03400     0.7090      0.7598     0.8426     69.6820
03500     0.6504      0.8086     0.8426     68.8513
03600     0.6411      0.8047     0.8426     67.4530
03700     0.6578      0.8105     0.8426     68.8512
03800     0.6280      0.8223     0.8447     67.7241
03900     0.5810      0.8340     0.8447     68.0633
04000     0.5839      0.8203     0.8447     69.8534
04100     0.6185      0.8184     0.8447     70.2524
04200     0.6071      0.8184     0.8471     68.6642
04300     0.6377      0.8008     0.8471     68.6703
04400     0.6437      0.8066     0.8471     68.1760
04500     0.6918      0.8105     0.8471     69.8617
04600     0.6511      0.8105     0.8471     70.5484
04700     0.5354      0.8242     0.8471     68.4143
04800     0.6273      0.8066     0.8471     68.3522
04900     0.5818      0.8242     0.8485     68.2152
05000     0.5756      0.8281     0.8485     69.3007
05100     0.6393      0.7930     0.8485     69.3832
05200     0.5979      0.8105     0.8485     69.8472
05300     0.6100      0.8105     0.8485     67.9256
05400     0.5668      0.8418     0.8485     70.1355
05500     0.6705      0.8125     0.8485     70.2993
05600     0.5151      0.8516     0.8485     69.6160
05700     0.5919      0.8066     0.8485     70.2945
05800     0.5873      0.8262     0.8485     69.3758
05900     0.5310      0.8535     0.8485     71.2348
06000     0.6415      0.7949     0.8485     70.9329
06100     0.5704      0.8281     0.8485     68.3408
06200     0.6370      0.7930     0.8485     69.2643
06300     0.5803      0.8359     0.8485     69.5048
06400     0.5620      0.8301     0.8485     69.6974
06500     0.5464      0.8477     0.8485     70.2007
06600     0.6064      0.8164     0.8485     69.4889
06700     0.6601      0.8008     0.8485     71.0653
06800     0.5068      0.8633     0.8542     72.3151
06900     0.5170      0.8359     0.8542     69.3442
07000     0.6599      0.7988     0.8542     69.7617
07100     0.5353      0.8457     0.8542     70.5227
07200     0.5268      0.8457     0.8542     71.8747
07300     0.5693      0.8320     0.8542     71.9686
07400     0.5265      0.8438     0.8542     69.1341
07500     0.5411      0.8438     0.8542     69.9757
07600     0.5556      0.8379     0.8542     72.0030
07700     0.6420      0.8184     0.8542     69.7254
07800     0.5702      0.8359     0.8542     69.7861
07900     0.5120      0.8516     0.8542     68.8626
08000     0.5408      0.8301     0.8562     70.8266
08100     0.5335      0.8398     0.8562     69.9735
08200     0.5770      0.8281     0.8562     69.6693
08300     0.5219      0.8555     0.8562     70.1862
08400     0.5254      0.8613     0.8562     69.6902
08500     0.4633      0.8652     0.8562     71.2718
08600     0.5683      0.8262     0.8562     68.7534
08700     0.5850      0.8223     0.8562     69.8243
08800     0.5635      0.8301     0.8562     68.0261
08900     0.5348      0.8184     0.8562     69.3902
09000     0.5841      0.8164     0.8562     67.7648
09100     0.6052      0.8164     0.8562     68.1024
09200     0.5344      0.8516     0.8562     68.4019
09300     0.6416      0.8223     0.8587     69.8302
09400     0.6070      0.8223     0.8587     68.9475
09500     0.5467      0.8359     0.8587     69.4356
09600     0.5544      0.8301     0.8587     68.2189
09700     0.5152      0.8555     0.8587     69.3456
09800     0.4953      0.8691     0.8587     69.6542
09900     0.5897      0.8164     0.8587     67.7650
10000     0.5631      0.8262     0.8587     70.6974
10100     0.4942      0.8438     0.8587     67.9960
10200     0.4638      0.8613     0.8587     68.7700
10300     0.5164      0.8477     0.8587     68.1599
10400     0.5078      0.8516     0.8587     69.8790
10500     0.4771      0.8672     0.8587     70.4477
10600     0.5617      0.8281     0.8587     65.9366
10700     0.4589      0.8477     0.8587     63.4141
10800     0.5072      0.8496     0.8587     62.3797
10900     0.4592      0.8887     0.8587     63.5502
11000     0.5364      0.8477     0.8587     63.2967
11100     0.4493      0.8711     0.8587     64.6872
11200     0.4525      0.8613     0.8587     64.2810
11300     0.4704      0.8535     0.8587     64.0991
11400     0.4692      0.8594     0.8587     64.5037
11500     0.4763      0.8691     0.8587     65.4848
11600     0.5307      0.8379     0.8587     65.6730
11700     0.4820      0.8574     0.8657     65.4453
11800     0.4654      0.8750     0.8657     63.7439
11900     0.4596      0.8711     0.8657     64.8148
12000     0.4305      0.8828     0.8657     66.6324
12100     0.5000      0.8516     0.8657     65.7317
12200     0.4466      0.8691     0.8657     65.0072
12300     0.4902      0.8574     0.8657     65.5739
12400     0.4480      0.8711     0.8657     62.8977
12500     0.5332      0.8516     0.8657     63.3172
12600     0.4996      0.8477     0.8657     65.3375
12700     0.4411      0.8750     0.8657     63.8408
12800     0.4777      0.8496     0.8657     64.6730
12900     0.4661      0.8691     0.8657     65.4934
13000     0.4822      0.8535     0.8657     64.7305
13100     0.4098      0.8828     0.8657     65.2485
13200     0.4691      0.8555     0.8657     62.1152
13300     0.4080      0.8809     0.8657     63.9608
13400     0.4886      0.8418     0.8657     63.9329
13500     0.4875      0.8574     0.8657     67.2535
13600     0.4706      0.8652     0.8657     64.5100
13700     0.4199      0.8770     0.8657     64.5113
13800     0.4605      0.8574     0.8657     64.3106
13900     0.5171      0.8457     0.8657     64.7262
14000     0.4603      0.8672     0.8657     67.9336
14100     0.5352      0.8379     0.8657     64.6169
14200     0.5635      0.8262     0.8657     65.5387
14300     0.4321      0.8633     0.8657     64.7600
14400     0.4497      0.8770     0.8657     64.1317
14500     0.4823      0.8516     0.8657     66.2258
14600     0.4718      0.8574     0.8657     66.1511
14700     0.5621      0.8281     0.8657     62.3455
14800     0.5217      0.8418     0.8657     64.0484
14900     0.4323      0.8828     0.8657     63.6941
15000     0.4307      0.8730     0.8657     63.4218
15100     0.4658      0.8711     0.8657     62.4827
15200     0.4431      0.8770     0.8657     64.2072
15300     0.5613      0.8496     0.8657     62.9642
15400     0.4675      0.8477     0.8657     65.1462
15500     0.4709      0.8574     0.8657     64.6736
15600     0.4507      0.8809     0.8657     64.3386
15700     0.4510      0.8633     0.8657     64.0138
15800     0.4939      0.8652     0.8657     65.6451
15900     0.5248      0.8477     0.8657     64.6660
16000     0.4021      0.8828     0.8657     63.4167
16100     0.4261      0.8691     0.8657     62.9067
16200     0.4339      0.8711     0.8657     62.9471
16300     0.4384      0.8613     0.8657     65.7406
16400     0.4411      0.8770     0.8657     64.9163
16500     0.4295      0.8711     0.8657     61.8508
16600     0.4741      0.8574     0.8657     61.3884
16700     0.3925      0.8809     0.8657     62.8667
16800     0.4927      0.8457     0.8657     63.3161
16900     0.4654      0.8691     0.8657     64.2568
17000     0.5032      0.8301     0.8657     63.5335
17100     0.5244      0.8438     0.8657     62.9537
17200     0.5137      0.8418     0.8657     64.0156
17300     0.4542      0.8652     0.8657     68.5719
17400     0.4945      0.8418     0.8657     64.8645
17500     0.4030      0.8809     0.8657     64.5305
17600     0.4393      0.8691     0.8657     63.0434
17700     0.3876      0.8887     0.8657     66.1316
17800     0.4330      0.8789     0.8657     65.5647
17900     0.4572      0.8633     0.8657     64.1697
18000     0.4040      0.8770     0.8657     63.9454
18100     0.4731      0.8613     0.8657     65.3172
18200     0.4081      0.8906     0.8657     63.9100
18300     0.4758      0.8711     0.8657     65.2903
18400     0.4316      0.8770     0.8657     64.7816
18500     0.4606      0.8633     0.8657     65.2577
18600     0.4789      0.8730     0.8657     63.8120
18700     0.4658      0.8633     0.8657     63.5481
18800     0.4731      0.8672     0.8657     64.6333
18900     0.4759      0.8809     0.8657     63.2256
19000     0.4509      0.8613     0.8657     63.7959
19100     0.4715      0.8691     0.8657     61.9153
19200     0.3942      0.8965     0.8657     65.7259
19300     0.5013      0.8535     0.8657     66.1695
19400     0.4070      0.8809     0.8657     64.5121
19500     0.4041      0.8711     0.8657     66.0914
19600     0.4899      0.8516     0.8657     65.7818
19700     0.4129      0.8750     0.8657     63.0987
19800     0.3871      0.9062     0.8657     62.8660
19900     0.4797      0.8613     0.8657     63.9468
20000     0.4383      0.8672     0.8657     66.1341
20100     0.4824      0.8457     0.8657     65.0094
20199     0.3853      0.9023     0.8657     61.6477
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.8085      0.7734     0.8137     8.9575
00100     0.4818      0.8457     0.8640     63.0673
00200     0.5013      0.8516     0.8724     65.1842
00300     0.5342      0.8418     0.8724     65.6857
00400     0.4518      0.8652     0.8724     63.9713
00500     0.4315      0.8730     0.8724     65.0385
