Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=512, canonical_testing=False, cs=0.5, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=106, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=8, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d4878365-dfad-4c05-9720-ee541a46e2b2
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6895      0.0625     0.0787     15.4828
00100     1.5762      0.4922     0.5110     68.4331
00200     1.1651      0.6445     0.6382     69.6702
00300     1.0859      0.6387     0.6997     68.6163
00400     1.0347      0.6680     0.7435     67.3590
00500     0.8827      0.7148     0.7641     66.8093
00600     0.8221      0.7539     0.7806     67.8468
00700     0.7761      0.7617     0.7887     68.6293
00800     0.7821      0.7754     0.7887     68.1094
00900     0.8439      0.7305     0.7977     67.6670
01000     0.8417      0.7363     0.7977     67.4243
01100     0.8884      0.7266     0.7977     68.0183
01200     0.7951      0.7500     0.7977     67.6265
01300     0.7898      0.7656     0.7977     68.2846
01400     0.7530      0.7754     0.8077     69.3629
01500     0.7159      0.8008     0.8077     68.1291
01600     0.6900      0.7930     0.8077     67.7080
01700     0.7280      0.7832     0.8077     68.1748
01800     0.6483      0.7949     0.8077     68.7720
01900     0.7326      0.7695     0.8077     68.0244
02000     0.7538      0.7598     0.8077     68.1951
02100     0.7019      0.7852     0.8077     68.1460
02200     0.7406      0.7598     0.8077     68.0544
02300     0.6597      0.7891     0.8077     67.6690
02400     0.6566      0.8008     0.8077     67.8601
02500     0.6652      0.7891     0.8077     67.8591
02600     0.6345      0.8184     0.8077     67.9819
02700     0.6110      0.8262     0.8077     67.5304
02800     0.6769      0.7949     0.8077     68.2937
02900     0.7481      0.7754     0.8077     68.6350
03000     0.6034      0.8184     0.8077     69.0659
03100     0.6875      0.8086     0.8077     68.4752
03200     0.6356      0.8125     0.8151     67.8778
03300     0.6694      0.8105     0.8151     68.1109
03400     0.6056      0.8301     0.8151     68.6814
03500     0.6598      0.8086     0.8151     68.1162
