Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=512, canonical_testing=False, cs=0.5, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=105, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=9, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
777ad892-b316-4fb6-94d3-edfc48e5367b
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5497      0.1172     0.1292     13.0481
00100     1.5235      0.4961     0.5038     53.5017
00200     1.2537      0.5996     0.6569     53.5898
00300     1.0518      0.7012     0.7045     53.8413
00400     0.8985      0.7285     0.7311     54.0896
00500     0.9104      0.7168     0.7596     53.4559
00600     0.8768      0.7012     0.7596     53.2529
00700     0.8360      0.7363     0.7892     53.5962
00800     0.8479      0.7441     0.8018     53.4157
00900     0.7136      0.7891     0.8018     53.1921
01000     0.8711      0.7227     0.8066     53.4458
01100     0.7027      0.7754     0.8066     53.9274
01200     0.7830      0.7578     0.8066     52.8260
01300     0.7986      0.7441     0.8066     53.8543
01400     0.6860      0.7812     0.8066     52.5160
01500     0.7276      0.7676     0.8066     52.4762
01600     0.7362      0.7656     0.8066     53.2022
01700     0.6552      0.8047     0.8178     53.4580
01800     0.7702      0.7500     0.8178     53.2449
01900     0.6753      0.8008     0.8178     53.7279
02000     0.7061      0.7812     0.8178     53.3200
02100     0.7253      0.7773     0.8178     53.8131
02200     0.7399      0.7852     0.8178     53.1612
02300     0.6852      0.7891     0.8202     52.7757
02400     0.7959      0.7891     0.8246     53.4957
02500     0.7349      0.7676     0.8246     53.1478
02600     0.6911      0.7930     0.8246     53.4349
02700     0.7401      0.7656     0.8246     53.1899
02800     0.6860      0.8105     0.8246     52.6681
02900     0.6266      0.8105     0.8295     53.7700
03000     0.5973      0.8086     0.8295     52.8776
03100     0.6868      0.7891     0.8295     53.2169
03200     0.6408      0.7930     0.8295     53.9523
03300     0.6422      0.8066     0.8328     53.6703
03400     0.5904      0.8184     0.8328     54.1217
03500     0.5946      0.8125     0.8405     52.8347
03600     0.6616      0.7812     0.8405     53.1810
03700     0.6631      0.7988     0.8405     53.7716
03800     0.6016      0.8184     0.8405     53.3357
03900     0.6891      0.7988     0.8405     54.2847
04000     0.6988      0.7949     0.8415     53.5501
04100     0.6156      0.8164     0.8415     53.1798
04200     0.6668      0.7891     0.8415     54.0666
04300     0.5502      0.8359     0.8415     53.5367
04400     0.5882      0.8223     0.8415     53.1701
04500     0.5766      0.8184     0.8415     53.7405
04600     0.6198      0.8105     0.8415     53.0338
04700     0.5706      0.8027     0.8415     54.1318
04800     0.6276      0.8066     0.8415     53.2430
04900     0.6757      0.7832     0.8415     53.0044
05000     0.5662      0.8301     0.8415     53.9697
05100     0.5150      0.8574     0.8415     53.3571
05200     0.5920      0.8125     0.8415     53.8324
05300     0.6341      0.8027     0.8415     54.0206
05400     0.6001      0.8105     0.8415     53.4591
05500     0.5779      0.8223     0.8415     53.9325
05600     0.5567      0.8262     0.8415     53.3470
05700     0.5504      0.8398     0.8415     53.4166
05800     0.5412      0.8379     0.8415     53.5541
05900     0.6482      0.8320     0.8448     53.0103
06000     0.6224      0.8027     0.8448     53.5963
06100     0.5319      0.8281     0.8448     53.3245
06200     0.5343      0.8398     0.8448     53.5557
06300     0.5451      0.8223     0.8448     54.3034
06400     0.6328      0.7969     0.8448     53.7437
06500     0.5990      0.8164     0.8448     53.7465
06600     0.6129      0.8281     0.8448     53.4424
06700     0.5816      0.8184     0.8448     52.9584
06800     0.5386      0.8457     0.8448     53.9089
06900     0.5570      0.8359     0.8448     52.7860
07000     0.6368      0.8047     0.8506     53.6048
07100     0.5884      0.8164     0.8506     53.8507
07200     0.6138      0.8164     0.8506     52.8139
07300     0.5784      0.8320     0.8506     54.4276
07400     0.5644      0.8301     0.8506     53.6290
07500     0.5039      0.8516     0.8506     53.2720
07600     0.5296      0.8281     0.8506     54.3368
07700     0.5077      0.8301     0.8506     53.2656
07800     0.5066      0.8496     0.8506     53.5519
07900     0.5487      0.8262     0.8506     53.4701
08000     0.5953      0.8164     0.8506     53.7178
08100     0.6149      0.8047     0.8506     54.3120
08200     0.5846      0.8184     0.8506     53.5184
08300     0.4959      0.8496     0.8506     53.4806
08400     0.4943      0.8496     0.8506     54.3367
08500     0.5077      0.8438     0.8506     53.7924
08600     0.4912      0.8535     0.8506     54.0336
08700     0.5992      0.8203     0.8506     53.3602
08800     0.4949      0.8457     0.8506     53.6429
08900     0.5830      0.8301     0.8506     54.5744
09000     0.5039      0.8496     0.8506     53.8452
09100     0.5428      0.8359     0.8506     54.6543
09200     0.5626      0.8164     0.8506     53.2210
09300     0.5923      0.8203     0.8506     53.1451
09400     0.5842      0.8320     0.8506     54.0693
09500     0.4979      0.8555     0.8506     54.0776
09600     0.4815      0.8555     0.8506     52.9395
09700     0.5027      0.8418     0.8506     53.9490
09800     0.5401      0.8320     0.8506     52.9921
09900     0.4778      0.8711     0.8506     54.4233
10000     0.5440      0.8340     0.8506     53.3899
10100     0.5142      0.8477     0.8506     53.3188
10200     0.4759      0.8594     0.8506     54.0395
10300     0.5457      0.8477     0.8506     53.3047
10400     0.3986      0.8867     0.8506     54.0740
10500     0.5056      0.8516     0.8506     53.5284
10600     0.4409      0.8750     0.8506     53.6492
10700     0.4808      0.8535     0.8506     54.3621
10800     0.4709      0.8535     0.8506     53.3378
10900     0.4569      0.8691     0.8506     53.0952
11000     0.4853      0.8691     0.8506     53.5203
11100     0.4520      0.8730     0.8506     53.7680
11200     0.4800      0.8594     0.8506     54.2377
11300     0.4403      0.8711     0.8506     53.9204
11400     0.4999      0.8477     0.8506     53.4022
11500     0.4490      0.8633     0.8562     53.2264
11600     0.4659      0.8633     0.8562     52.5759
11700     0.5411      0.8457     0.8562     52.6864
11800     0.4943      0.8574     0.8562     53.9670
11900     0.4949      0.8535     0.8562     52.9151
12000     0.4860      0.8633     0.8562     53.9883
12100     0.5061      0.8516     0.8562     53.2328
12200     0.4526      0.8535     0.8562     53.3455
12300     0.4651      0.8594     0.8562     53.7221
12400     0.4710      0.8711     0.8562     53.3502
12500     0.4617      0.8730     0.8562     53.4492
12600     0.4806      0.8496     0.8562     54.0032
12700     0.4130      0.8926     0.8562     53.2139
12800     0.4091      0.8770     0.8562     54.1426
12900     0.4912      0.8477     0.8562     53.5228
13000     0.5177      0.8496     0.8562     53.4822
13100     0.5078      0.8574     0.8562     53.4756
13200     0.4651      0.8594     0.8562     53.0573
13300     0.5491      0.8438     0.8562     52.9027
13400     0.4214      0.8730     0.8562     53.7206
