Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=12000, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=24000, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b8e1b5e8-ec38-4351-bd2e-b59fb27d75b6
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6702      0.0823     0.0730     7.7855
00100     1.9219      0.3397     0.3578     16.5599
00200     1.9219      0.3692     0.3863     14.9117
00300     1.9515      0.3143     0.3971     14.5000
00400     1.8641      0.3608     0.4080     14.8914
00500     1.9120      0.3418     0.4150     14.0579
00600     1.8960      0.3397     0.4150     14.1700
00700     1.7843      0.3797     0.4150     13.7938
00800     1.8213      0.3544     0.4150     14.7307
00900     1.9059      0.3354     0.4150     14.9196
01000     1.8400      0.3797     0.4150     16.5567
01100     1.8182      0.3734     0.4231     15.0386
01200     1.8173      0.3586     0.4231     15.2004
01300     1.8275      0.3671     0.4231     14.9444
01400     1.8867      0.3397     0.4231     14.4225
01500     1.8301      0.3713     0.4231     14.2124
01600     1.7754      0.3882     0.4320     15.5421
01700     1.7651      0.4072     0.4320     14.6968
01800     1.7631      0.4008     0.4320     14.3077
01900     1.8453      0.3882     0.4320     13.7960
02000     1.8758      0.3376     0.4320     13.3090
02100     1.7486      0.3966     0.4320     15.6384
02200     1.7838      0.3840     0.4332     14.6231
02300     1.7919      0.3924     0.4332     14.6117
02400     1.8447      0.3776     0.4332     13.9944
02500     1.8424      0.3586     0.4332     13.8531
02600     1.7608      0.4198     0.4332     13.6054
